"","TWIST1","ZEB2","SNAI2","ZEB1","miR200b","miR101","GSC","TGFbeta","miR200c","miR200a","miR34a","FOXC2","TWIST2","miR141","SNAI1"
"miR101",0.2788266855495,-0.151982339905096,0.0885538197590401,0.223897457770551,0.0507524915447787,0.157362305143762,0.00743182801788024,-0.00736321315836476,-0.039874111788088,-0.039874111788088,-0.0219442759971559,-0.312076060631864,-0.0332396205267318,-0.223826876033832,-0.306872888835686
"TWIST1",0.17076292736358,-0.141566390741869,-0.00413684329395705,0.163728595774902,0.00818109231184727,0.107477572606949,-0.010694642505041,0.01058903882629,-0.0184066512957521,-0.0184066512957521,0.000985018643544357,-0.370138395204361,0.0537335283481691,-0.163688925890567,-0.280901592112374
"TGFbeta",0.175737881560793,-0.123373762645837,0.0870384095804675,0.132757491317584,0.101774195749391,0.042979404653324,-0.0125551814604131,-0.0874561110478143,-0.00795042392054088,-0.00795042392054088,0.055403265913742,-0.12542770630556,-0.0710092409472306,-0.132713877864559,-0.175363900974674
"miR34a",0.038506304630243,-0.104169417180746,0.10534842248251,0.176578150435131,0.106890355038355,-0.00159759360723746,0.0547088695657277,-0.0543915479302168,-0.105080711800588,-0.105080711800588,-0.0419181918937019,-0.120824095308264,-0.0144753516896635,-0.176606931758411,-0.106967644459281
"ZEB2",-0.0888623596563233,-0.071687280728373,-0.0618806623609421,-0.0420988582017765,-0.0186658692925046,-0.01083352200832,-0.00333312340717425,0.00328238001650088,0.00422771145454904,0.00422771145454904,0.00886474935801388,0.0330417865550556,0.0343667848716471,0.0420933836856491,0.0837428314136098
"miR200a",0.130211135363872,-0.0397186692040782,0.0546679320967254,0.202515098001429,0.0776836996069966,0.0183227752532292,-0.0560813674483431,0.0563023500444705,-0.082214653318405,-0.082214653318405,-0.101171916945393,-0.0421693127768699,-0.0736772105063503,-0.20245400499195,-0.0921050173599607
"miR200c",0.139593436666798,-0.0149275408331185,0.133591507904001,-0.140873929915459,-0.0093967859483596,0.0172039802784611,-0.123542991183695,0.123322008587568,0.07527184183488,0.07527184183488,0.177158573939297,-0.0910994053216776,0.0101397677862954,0.140999818541051,-0.169606212176517
"FOXC2",-0.0510147481364439,-0.012422533534198,-0.136490439557971,0.114531486904696,0.135626184303668,-0.00331797171133957,0.0656292336112221,-0.0649650392236647,-0.147180279845051,-0.147180279845051,-0.168362227252368,0.125909770532702,-0.0675796231790783,-0.114632938192059,0.149392787133665
"ZEB1",-0.051241762892403,-0.0123428664183549,-0.13620965119479,0.0146247232588534,0.135768266452984,-0.00350638935860751,0.0649650392236647,-0.0647423762253923,-0.14728503794644,-0.14728503794644,-0.168315223201067,0.1263154156318,-0.0676298014439667,-0.114531486904696,0.149419831003525
"SNAI2",0.0665482258405751,0.0101108247208729,-0.08820575394588,-0.0732467442487213,-0.0213399106669259,0.00376564480920746,-0.0150447898867315,0.0146932283891308,0.0313237744138778,0.0313237744138778,0.0481285312415729,-0.0417986948052059,0.0126962286861261,0.0733582732680362,-0.0206061545216183
"miR200b",-0.0947790236609318,0.0247419997658016,-0.0368542977680705,-0.180300312324644,-0.101254592172019,-0.0137924123638799,0.0479698249179911,-0.0483222025712753,0.0773947877760376,0.0773947877760376,0.0948207087375257,0.0281501203486486,0.0607352782530614,0.180262360606634,0.0638595882399244
"miR141",-0.175025548369739,0.0299042102713951,-0.151405142232656,0.118659144238674,0.0329676785133824,-0.0217343431678103,0.131654533714047,-0.131302156060763,-0.0704519762925126,-0.0704519762925126,-0.17080736573143,0.105118597749899,0.00280216446699351,-0.118808174155736,0.197851641296553
"TWIST2",-0.30799109084693,0.0315100855537732,0.0239293346064196,0.00091011325412442,0.0184301532662181,-0.154962461534303,0.0147045213363397,-0.0144368465979309,-0.0114785001561382,-0.0114785001561382,-0.108270782205308,0.309471353660047,-0.0952917000953518,-0.000972998591726334,0.32234321213649
"GSC",0.0517622676370061,0.0583635272878177,0.105017462433849,-0.117005396335322,0.00225066993136978,0.0908282521802956,0.00274787919238578,-0.00296682735782731,0.0281224272870415,0.0281224272870415,0.132818826916734,-0.211704659513295,0.0121565873779084,0.117092365247621,-0.193087901119101
"SNAI1",-0.329890890978675,0.196388173161903,-0.124857619319058,-0.197629279369988,-0.0502041718903785,-0.18126262724841,0.000230993152124313,-0.00035351350279421,0.0166316690088067,0.0166316690088067,-0.106428752404305,0.400118777921179,0.0113787446719418,0.197522934540696,0.295890854846586
