"","ZEB2","miR101","miR200c","miR200a","TWIST1","FOXC2","GSC","TGFbeta","miR141","ZEB1","miR34a","TWIST2","miR200b","SNAI2","SNAI1"
"TWIST2",-0.114708293207477,0.0187359813386874,0.0920959839088019,0.0920959839088019,-0.0266890951675597,-0.0113512404657499,0.00612067153905601,-0.00617216921600147,-0.0672809143727192,-0.0673499563167996,-0.042342780968558,-0.101998686893527,-0.0379480266849606,-0.069129440791441,0.00535511994902082
"miR101",-0.0901933732059536,-0.0125321211201325,0.0431624484173002,0.0431624484173002,0.0215074517173765,-0.0247201853257498,0.0069688684896428,-0.00702692721692512,0.0044185119870029,0.00433838296222428,-0.0313413083246599,-0.0349740046376491,-0.01573788757239,-0.0847468600693441,0.00940175910643207
"miR34a",-0.086101991780723,-0.0424008751478971,-0.0121527081488476,-0.0121527081488476,-0.0217685203001863,-0.0938817479329389,0.0152767262802499,-0.0153052427560989,0.0107450441539634,0.0106874815074028,-0.0467314190963828,0.13940658915941,-0.020525708332312,0.0207873347796041,0.0817240591749691
"ZEB2",-0.0849197962976202,-0.0238173864114229,-0.00933663644515826,-0.00933663644515826,-0.00384717611051979,-0.00238604931503653,-0.00175865826075718,0.00180940165143054,0.00226053465975537,0.00244915662450944,0.00341746053649635,0.01146531984148,0.0123691170161379,0.0175077440737003,0.0302376330391588
"GSC",-0.0397460472444398,0.053353228954301,-0.0222145760901726,-0.0222145760901726,0.0833138871603931,-0.0767045096780595,0.00734872287904712,-0.00724713597807857,0.0929708242094195,0.0931467274331654,0.0628422942061721,0.0315611214162612,0.0169562663261697,-0.00211946711021238,-0.00495919707966001
"SNAI2",-0.0241182249056379,0.00226748639646375,0.0130400758212274,0.0130400758212274,-0.0756989265022893,-0.0210519046875223,0.0046285845128749,-0.00460719999355613,-0.00202198132362352,-0.00205848781943532,0.00857223701173485,0.0108928051439367,-0.014709812692981,-0.0855568615275391,-0.0222710485250913
"ZEB1",-0.0152742285353581,-0.0747392901755891,0.0044977823728635,0.0044977823728635,-0.00288898329006534,-0.0930668635385849,0.000804282243367512,-0.000781248140097949,0.0019189189228748,-0.0980164171540803,8.5767676308764e-05,0.0846161170411983,0.00162717740629144,0.0668865697573325,0.0844437236002797
"SNAI1",-0.0151312662435264,-0.00825404662249542,0.0642113212238261,0.0642113212238261,0.0275487056718115,-0.00720607019960551,-0.00705319866059822,0.00710355492122953,-0.0957801560880081,-0.0956852495107041,-0.096408751187047,-0.0890867981052888,-0.0116887508349216,-0.0830886713918544,-0.102386376238254
"miR141",-0.0081181510392023,0.0897929328208519,-0.000798404608584787,-0.000798404608584787,0.018706992441586,0.0123219453464004,0.0926133956270261,-0.0925811441129967,0.0088241889704564,0.00896859062922417,0.00578443801326891,-0.033907162856389,-0.00794341372341547,-0.0603184519099833,-0.118585048586519
"miR200c",-0.00351384524717289,-0.0356554581905337,0.0162242388180318,0.0162242388180318,-0.0149709550928049,0.0226573499037418,-0.0875309274900352,0.0875822910123783,-0.027690929920631,-0.0275465282618632,-0.113270212752902,-0.0563727760781359,-0.074564500650943,0.0162319818132889,0.0544995397350331
"TGFbeta",0.00778517163599063,-0.0418280560212079,0.0457324551743603,0.0457324551743603,-0.0247487101856338,0.0142037407611181,-0.0124900008300276,-0.0875083859545113,-0.0983910312337794,-0.098370636453588,-0.136932894901254,-0.00384229600148543,-0.0992000801405173,0.0129214450180057,0.0691445169595698
"miR200a",0.0141311664352716,0.0824184433273469,-0.0154065361032874,-0.0154065361032874,0.0172355316621554,0.0113749872530963,0.0864171436555971,-0.0864493951696265,0.0160705428790138,0.0160307398576868,0.00974957631068383,-0.0293267278797241,0.0385239264557433,-0.0553313739734877,-0.108864790129604
"FOXC2",0.0153550802923289,0.0748376465574963,-0.00436061292518756,-0.00436061292518756,0.00282924256481294,0.093173287537968,-0.000782142430448931,0.000804282243367512,-0.00203959255942289,-0.0019189189228748,-0.000138740496029575,-0.0846081941572686,-0.00171759331949216,-0.0668364482260928,-0.0844060973465612
"miR200b",0.018735472227301,-0.0430299476840387,0.00161610732332924,0.00161610732332924,-0.0164424158722355,0.0217103918104377,-0.0937271794614642,0.0937140399557485,-0.0204445760120736,-0.0204843790334006,-0.109305074455487,-0.051792341101471,-0.0280971604717843,0.0212190597497845,0.0642197981919477
"TWIST1",0.0367746708317907,0.0364944534300096,0.0415598184635311,0.0415598184635311,0.109655396941012,0.111998508736119,-0.0190938513106223,0.0190377075826787,-0.129270665279719,-0.12940626887127,-0.0957722208436242,-0.150162727565027,0.00549303795424223,-0.101370446691828,-0.00557150287443637
