"","ZEB2","miR34a","ZEB1","miR141","miR200c","TGFbeta","GSC","SNAI2","FOXC2","miR101","miR200b","TWIST1","SNAI1","miR200a","TWIST2"
"SNAI1",-0.15993330211148,-0.157565051607516,-0.0978296338625441,-0.0978701314574198,0.124507250978242,0.0450048195229435,0.0449140196514114,0.254632394057428,-0.046362929615843,-0.0320613882944104,-0.156641248531693,-0.0597370249169633,-0.00971660356105551,-0.0242260096901684,0.213648477005705
"ZEB2",-0.0715395049358983,-0.0620749361070494,-0.0257982743682478,-0.0247964379169287,-0.00758639201588871,-0.00724095986786629,-0.00658129578911255,-0.00353520634497462,0.00266541709161111,0.0117724649898697,0.0120117268986862,0.0159748863518813,0.0193047975988911,0.0258790991436226,0.0342878707579825
"GSC",-0.0576439710309083,0.0738054172969902,-0.0293461123156725,-0.0290930671753676,0.0408473562080835,0.00504547047780367,0.0051420095824508,-0.0758524705868276,-0.00361684605363479,-0.0939833609652482,-0.0390951687024514,0.0594350443353022,-0.166517596410923,-0.022817438224952,-0.0758054368409576
"SNAI2",-0.0334135909585061,0.0173670933604785,0.025811065291491,0.0256720726698222,0.00317864096467036,0.219139940572989,0.219036439499486,0.27126962027137,-0.0611715548609106,-0.290278738460827,-0.245209207136608,0.152182321596016,-0.00489049143159113,-0.0291051795529246,0.334456553273814
"miR200c",-0.0331465808747613,-0.00850680482174771,0.00439664006172086,0.0049298154171711,0.0142277894550707,-0.105612502479558,-0.105195621798215,-0.105745805226734,-0.0384712993825243,0.144115825273146,0.0199953545124983,-0.0829697457231789,0.181836773775482,-0.0184989426515205,-0.0606607907439737
"miR141",-0.0294806183449572,-0.096340404887354,0.000875077934814524,0.00130735725945907,0.0144741815586402,-0.104080381153128,-0.103778172521668,-0.0498291664208214,-0.0136625945751859,0.0846323207267323,-0.0196967472009421,-0.00859693216835394,0.11899068746072,-0.0147670405012647,0.0281202240187275
"miR34a",-0.0272764797452327,-0.053928255372608,0.056988334937391,0.0569345468906048,-0.0623286640332789,-0.0192637279791777,-0.0192339980362713,-0.101777230423622,-0.0549265303658118,0.125428554515272,0.0793459439438708,-0.170642500093061,0.16128953488609,-0.0863558904675226,-0.182405416176297
"TWIST2",-0.0146498548631313,0.0144364316828408,-0.0649730418768263,-0.0645337240288241,0.0387414045421083,0.00940548653056341,0.00969353397633522,0.0564061078206298,-0.057816978285136,-0.0608470919837825,-0.0467771930930006,0.202745337404381,-0.0710299191348179,0.025239616457808,0.0683006201987626
"ZEB1",-0.00415675166310789,-0.0118244010840174,-0.0951929548650815,0.00474639137764378,-0.000898079521120775,-0.00149445533442087,-0.00151109107567111,-0.0875581279132713,-0.0825795898983659,0.0921943276908044,0.00718027561161626,-0.0939233799201441,0.0973400680808069,-0.00463983879796933,-0.0869477990386132
"FOXC2",-0.00404036067230367,-0.0117908267616592,0.00474639137764378,0.00486279338103973,-0.000916021516386403,-0.00151109107567111,-0.00137825219815962,-0.0876535205049857,-0.0828217430563824,0.0923874854046703,0.00724024534996368,-0.0940727317332751,0.0975164411451126,-0.00474806954360393,-0.0871590759434066
"miR101",0.00297792391234497,0.0913568017887671,0.00378355858590227,0.00426262786170637,-0.00375055999630943,-0.0112953676111032,-0.0110209081730413,-0.193231665603165,0.0644034289021321,-0.0287282009000297,0.0198970878079821,0.136343113132733,-0.150569141680758,-0.00141699319504834,-0.124102297792775
"TWIST1",0.00819943411634742,-0.136014511255401,-0.13824439091374,-0.138724837290686,0.0595636858698167,-0.0130866959254214,-0.013384792385693,-0.0502306452625559,-0.14488097829969,0.0757548354295964,-0.0182530573020493,-0.127011876087571,0.133432270750373,0.0870468593412085,-0.0062629221367186
"miR200b",0.0144737645116466,-0.127644670570052,-0.028415949778048,-0.02878250783492,0.00725475025098829,-0.114099328843052,-0.114329867443337,-0.0505103125334138,-0.0126321757739399,0.0876823756766045,0.0211974215206442,-0.0020648674218462,0.125061982379622,0.0228870902462741,0.0408308383644839
"miR200a",0.0144737645116466,-0.127644670570052,-0.028415949778048,-0.02878250783492,0.00725475025098829,-0.114099328843052,-0.114329867443337,-0.0505103125334138,-0.0126321757739399,0.0876823756766045,0.0211974215206442,-0.0020648674218462,0.125061982379622,0.0228870902462741,0.0408308383644839
"TGFbeta",0.0268672172453691,0.155896059841505,0.0282631106863539,0.0284498013665669,-0.0279101040231539,0.0927434119507674,0.192791808414599,0.0452653243403495,0.00918105940520365,-0.104550166721239,-0.0667483777833306,0.048855220292506,-0.162691133280798,-0.00454194662822264,0.0137111196712639
