"","miR34a","miR200a","miR101","ZEB2","miR200c","FOXC2","TWIST1","TGFbeta","SNAI1","TWIST2","GSC","miR200b","miR141","ZEB1","SNAI2"
"FOXC2",0.236015668512356,0.26903219833383,0.027584995875779,-0.0808740881641401,0.201559097316041,-0.0944674454735011,0.00420509909100947,0.0202317745559292,-0.0947453551866569,-0.0883735427355812,-0.0204033581060482,-0.23898127521208,-0.261250412483981,-0.261336913055312,-0.148368575375063
"miR34a",0.0135517751531171,0.115614533924907,0.0486191870211205,-0.0787455295131592,0.0542833773576881,-0.0773816513364612,-0.00187640300224915,-0.00422127623353981,-0.0370213257547213,0.0244003161776923,0.00448399185146757,0.00630417446775012,-0.0755826316047774,-0.0756798275489699,-0.144664622319899
"SNAI2",0.0447844102148527,0.0433033781850114,-0.102098134696915,-0.0697715423190469,-0.0259332536554732,0.012137502790443,-0.148643555788173,0.217640223132719,0.0702257318830789,-0.149268939979981,-0.216866103533379,-0.205574359599431,-0.0145136264031277,-0.0148160609509998,-0.0168653210110037
"ZEB2",-0.161358258744296,-0.0961414665799765,-0.0892622557592437,-0.0609303382800772,-0.0526790664174384,-0.0517184912679581,-0.0445128405570174,-0.0131830911124052,-0.0116522477651001,-0.0113003041662321,0.0109224730579068,0.0712011944998816,0.161132774287791,0.162021138950288,0.16540758681541
"miR200a",0.251742940027784,0.170896496150293,0.115618156345158,-0.0389294273953508,0.133063472758961,0.0576393064705515,0.0735603218278963,0.101455882743577,-0.0042231096082926,0.0181627546528924,-0.102171388554822,-0.107082463585651,-0.298108606408058,-0.298138227261139,-0.23479985414347
"TWIST1",0.0266045958473009,0.00706388492343344,-0.00646630311095364,-0.0222486152200914,-0.0327182111902139,0.115703220036064,-0.0988524899832383,0.0250559119802743,0.0127837275435384,-0.0882490953811896,-0.025495704515832,-0.0340124920069028,0.0357572819090021,0.0358182127770985,0.0598370484118843
"GSC",-0.0332500754884794,-0.0417948919025139,0.101005165099215,-0.00714943648681417,-0.0619125132315887,-0.164878655084764,-0.0797137367213523,0.00462048550661645,0.00700570080330714,0.0619851199763865,-0.00532654601707485,0.0528485657465851,0.103980355861417,0.104144958040062,-0.0954322152434992
"TWIST2",0.0224260817353207,0.0346503595825658,-0.10090910332761,-0.00545223012417518,0.02997619054741,0.081186057956902,0.0690968401847174,0.0254297611296232,0.0174805446141188,-0.156859040080455,-0.0248678139515262,-0.0849931413836258,-0.0651905679629961,-0.0652925917274971,0.179337088102525
"miR101",0.0175932680172524,0.0371642656368969,-0.101190791596453,0.00131860045937413,0.0386348486892954,-0.0136825187980231,-0.0259881139086377,0.00391954618216489,0.0104221884539504,-0.0477489887403129,-0.00334247762008603,-0.0500866282716694,-0.0783585860627995,-0.0784653111043132,0.114450433160342
"miR141",0.184797334027269,0.102606939823727,0.0866038995778723,0.00971004245292501,0.113660451623279,0.0372194628430759,0.0554539844776829,0.0749719908640497,-0.0054868799109734,0.0145341534104036,-0.0743472670922949,-0.0245839256760377,-0.215194623085228,-0.215432515561532,-0.179280298046815
"miR200c",-0.251742940027784,-0.170896496150293,-0.115618156345158,0.0389294273953508,-0.133063472758961,-0.0576393064705515,-0.0735603218278963,-0.101455882743577,0.0042231096082926,-0.0181627546528924,0.102171388554822,0.107082463585651,0.298108606408058,0.298138227261139,0.23479985414347
"miR200b",-0.251742940027784,-0.170896496150293,-0.115618156345158,0.0389294273953508,-0.133063472758961,-0.0576393064705515,-0.0735603218278963,-0.101455882743577,0.0042231096082926,-0.0181627546528924,0.102171388554822,0.107082463585651,0.298108606408058,0.298138227261139,0.23479985414347
"ZEB1",-0.236138774361003,-0.26904666768485,-0.027771043489748,0.081082881162911,-0.201638389359634,0.094209868547458,-0.00414237132949444,-0.0205184211743949,0.0948876294585301,0.0884052342713002,0.0202317745559292,0.238959132539459,0.261336913055312,0.161502833664055,0.148471513143523
"SNAI1",0.107953076618592,0.0301978386203223,0.0969080256712743,0.0920905043071525,0.123229670619055,-0.00515992784427609,0.0243571221757626,-0.0508205224972698,-0.132980615144801,0.0180040767897066,0.0508003006918194,0.0225479824833526,-0.142905874506121,-0.142934933849009,-0.129706261538284
"TGFbeta",0.102842792272277,0.0127989217518955,0.0737905977407485,0.0935735106924396,0.106868464200058,0.0629714955599152,0.105926314808912,-0.145155203162086,-0.0125905964923143,0.111285878816615,0.0447389935731334,0.116578097811151,-0.116956012426604,-0.116914281568674,-0.163657331336784
