"","ZEB2","SNAI1","miR34a","miR200c","TWIST2","TGFbeta","miR200b","miR141","miR101","ZEB1","FOXC2","TWIST1","GSC","miR200a","SNAI2"
"GSC",-0.131972457139399,-0.0158248775332644,0.0150746774478708,0.02488049407056,-0.0100559356402911,0.0402189331224074,0.0208391339092034,0.0809788808871029,-0.0539559896356245,-0.0809631576939189,-0.0588212737904872,-0.082221730673828,-0.0401122984251174,-0.102309527982108,0.00558521060819804
"TWIST2",-0.119069345792278,-0.0442728090726347,-0.0436178713948529,0.0871213840765525,-0.117566224331214,-0.0165552770670321,0.105779866285963,-0.054600167178778,0.0536505104192867,0.054537281841176,0.0329088171220114,-0.00730716214571141,0.0165162293779197,-0.0336910108990786,0.160620230648953
"ZEB2",-0.0876429949232573,-0.0348054532506309,-0.0226315757843236,-0.00907592740432685,-0.00551285897109181,-0.00515510397909794,-0.00394835776745063,-0.00020751847756071,0.000136674160782407,0.00015227563300213,0.00242562302309735,0.00450872627196246,0.0050307826719482,0.00719382527382974,0.0350227841873059
"miR200b",-0.0270600243844042,-0.0592159542066943,0.0188085574761848,0.00744655529677464,-0.0398806478191181,-0.0973559301639665,0.0343597384817786,0.0115551766277341,-0.00349284026470531,-0.0115764666158857,-0.0179976396969804,0.0128674055215484,0.0973666806686429,-0.0196638095912804,0.0525874617193646
"miR200a",-0.0060115132616382,-0.070971237170108,0.00835652696533016,-0.00025951977764334,-0.0420164230836963,-0.106468453507804,-0.00336371381186397,0.00591836105067017,-0.00345571438145839,-0.00594242799379813,-0.0170237621107094,0.0146973088841633,0.106567597050931,-0.00650401900586439,0.0638474292826709
"ZEB1",-0.00412700242930261,-0.104365904598144,-0.00883362477629155,0.00152843212534677,-0.00334320597215594,-0.00209709470483166,0.00751286921094784,0.0014439775047738,0.00494410771654212,-0.101298608995603,0.0881647543918799,0.00876311628515323,0.00220970587637175,-0.00519821170760541,0.112432614926706
"FOXC2",-0.00404792763402341,-0.104428223080865,-0.00879109730130442,0.00150238729350957,-0.00306326407330476,-0.00220970587637175,0.00745105424988204,0.00143436633018147,0.00491685233360399,-0.0014439775047738,0.0881076864501817,0.00876610332141585,0.00206579709240097,-0.00516174894303332,0.112437465397471
"TWIST1",-0.00133023700341382,0.000833357294957933,0.0178595999592181,-0.0542274823312142,0.152243657925703,0.0422100145993403,-0.0944490323093626,0.0886627391039434,-0.137812834498038,-0.0885535821019495,-0.0664487202642395,-0.0144685564019516,-0.0420014807526928,-0.0354555696271226,-0.208679009958748
"miR141",0.0060115132616382,0.070971237170108,-0.00835652696533016,0.00025951977764334,0.0420164230836963,0.106468453507804,0.00336371381186397,-0.00591836105067017,0.00345571438145839,0.00594242799379813,0.0170237621107094,-0.0146973088841633,-0.106567597050931,0.00650401900586439,-0.0638474292826709
"miR101",0.00767278899933299,-0.0111202226690426,0.00942387439390791,-0.038029877195655,0.0442484250379124,0.0260678786662157,-0.0729116018694422,0.0725538315477267,-0.115869906893449,-0.0725234848106829,0.0333041259149646,-0.00555992579140315,-0.0259112960380907,-0.0311965142263404,-0.119643235055634
"miR200c",0.0264277618075973,0.128214637678857,0.0848535695687981,-0.00128806884302191,0.0239457110636633,0.105666661192477,-0.0697927670673471,-0.022183903192743,-0.000360317123629562,0.0222135240458236,-0.0116239786519468,-0.0205145473216883,-0.105553183643114,0.0236959188402923,-0.129390953374889
"SNAI2",0.0327644026565829,-0.0195629894670467,0.0489361260391101,-0.0659969749752353,-0.192135300632539,-0.175272154898757,0.141146397965729,0.0992515148567659,0.166214067512012,-0.0992290750841109,-0.0429941104467653,0.135880521413959,0.175249059617893,-0.0323303833651785,0.0526611054508735
"SNAI1",0.0762667865289187,-0.073107504677134,0.0461822078531584,-0.0257042822062391,-0.0864800799736795,-0.0308904793177596,0.0144706978306331,-0.0433909004841522,0.114169592790068,0.0434054301555962,-0.0495388956933974,0.00645984949531285,0.0309051500393609,0.0570435874762876,0.0992422755695057
"miR34a",0.0858494206856174,0.119317912199012,0.0786247962890971,-0.107460150491817,0.00146156286441186,0.0456921536941485,-0.120780583769612,0.0550683041941141,-0.0224289068840358,-0.0550432974706082,-0.0988612916937145,-0.0403549322102252,-0.0456248062724626,-0.0395080970266892,-0.154921864156323
"TGFbeta",0.092979147741046,0.0982261989727635,0.056660671129924,-0.0032748696385625,0.0750611155334062,0.0658160389166647,-0.100777256464758,-0.0889096747171938,0.00410420291482868,0.0888691989226602,0.00738338380882883,-0.0269538093297855,-0.165798293546593,0.0907936387083792,-0.0905631449511002
