"","miR200b","miR200c","miR200a","miR34a","miR141","TWIST2","miR101","SNAI2","FOXC2","TWIST1","SNAI1","GSC","TGFbeta","ZEB1","ZEB2"
"miR101",0.122337782935481,0.190121014580021,0.190121014580021,0.00614837712383362,-0.0687458168597621,0.0362950801431964,0.134688037349606,-0.100962348911883,-0.138585520920341,-0.0483673398059269,-0.065747894267113,-0.0546184516487235,-0.0549034672190185,0.0686527308011895,-0.328238700305835
"miR200c",0.186172450558583,0.135437329661633,0.135437329661633,0.129084039765902,0.0263364050295456,0.120987947427467,0.125874568247924,-0.114772489138872,-0.035715007318054,-0.0689527520825504,-0.137462154339572,-0.115945653188042,-0.116059130737404,-0.0264419293186452,-0.306615013674106
"miR200a",0.186172450558583,0.135437329661633,0.135437329661633,0.129084039765902,0.0263364050295456,0.120987947427467,0.125874568247924,-0.114772489138872,-0.035715007318054,-0.0689527520825504,-0.137462154339572,-0.115945653188042,-0.116059130737404,-0.0264419293186452,-0.306615013674106
"miR200b",0.0690772101972706,0.0835271007393986,0.0835271007393986,0.0257480350617922,0.0340615637352695,-0.0930527297705806,-0.143613607748913,0.20548866533227,-0.00734984051587384,0.00170789598393335,0.0823740451017681,0.0693049864089765,0.0692392888803981,-0.0339375264129946,-0.203657309898241
"TWIST1",0.106291848267312,0.0576767176886327,0.0576767176886327,0.0011447613458426,0.0123604166569037,0.107064122662405,0.0275697624156584,-0.129210491417095,0.221847970235245,0.0334138277209215,0.0356151979822214,0.00337300974329728,0.00347326640033931,-0.0125136513081587,-0.15457040450753
"ZEB1",0.0512157332535376,0.0278797110908342,0.0278797110908342,0.0134073392984496,0.0113287138770542,0.0229307633694125,0.0406444716464831,-0.134525923090185,0.0914774052773638,0.0651032015404956,0.0519421969202744,-0.000617385399443738,-0.000691606398867886,-0.111276581722041,-0.0814275207094331
"miR34a",-0.123316594892349,0.108790110860076,0.108790110860076,-0.0361600051684368,-0.118685819578984,-0.0388699335379573,-0.0433174545023356,0.140942581998107,-0.104831718059466,-0.00974777284703672,-0.0410216792784903,-0.0700258372058753,-0.070182981189809,0.118782071873233,0.0060957303517849
"SNAI2",-0.199708547918877,-0.0349364184195177,-0.0349364184195177,0.00975361826046148,0.0164274660782164,-0.161878598807787,-0.168233921319207,0.0431701623104637,0.051672805765424,0.130634678889231,-0.00308033829857322,-0.183680692657088,-0.183642200522314,-0.0164110549012,0.0548665213110905
"FOXC2",-0.0513744224073185,-0.0280932787118993,-0.0280932787118993,-0.0125276920526631,-0.0110969777785504,-0.0239026371314619,-0.0399891574393185,0.133993988129609,-0.0921946104905974,-0.0670865936188754,-0.0505947067089795,0.000606315492984448,0.000617385399443738,0.0113287138770542,0.0808633353723286
"SNAI1",-0.0457255532395439,-0.123581628333387,-0.123581628333387,-0.0314468456694186,0.0946666555527665,-0.0569557839929702,-0.114422184400692,0.0653689613845797,0.153860663180598,0.0491970210795236,-0.0418090443215482,0.0342402237281779,0.0341430797608183,-0.0944527293264004,0.159268987861924
"TGFbeta",-0.191579352086066,-0.0942646590027968,-0.0942646590027968,-0.106157350408047,0.00655205227715433,-0.192236418198298,-0.152139391731406,0.18239618716101,0.0400781881449338,0.075745866495316,0.12224814440134,0.0133683252175249,-0.086457447512681,-0.00645949135167058,0.191635980248072
"GSC",-0.163126999207388,-0.0801075078554312,-0.0801075078554312,-0.073821549341383,-0.0826841279030325,-0.0629900350813004,-0.110193243559868,0.0584082304714689,-0.0867641703390279,-0.0251505533273197,0.0697680923791368,0.00380946113360601,0.00402336150272612,0.0826035465379645,0.26268017405358
"TWIST2",-0.164952361632901,-0.113804698884739,-0.113804698884739,-0.0355321330023135,-0.0320059150020976,-0.153691918547369,-0.123782962498176,0.161222233084582,0.0122158135436328,0.0283472053589144,0.0497126742381678,0.00119444392766112,0.00140665962935942,0.0319478669981573,0.270197204952262
"miR141",-0.0811944541060205,-0.110146423454021,-0.110146423454021,0.067570934174812,-0.0433130951787312,0.0929311895908513,0.111560381582195,-0.110165819512743,-0.0257342846300355,-0.0533550373485492,-0.112961789755858,-0.0610382398867567,-0.0609629863540214,0.0433899242664089,0.270791527721178
"ZEB2",-0.400051793604651,-0.296694181355459,-0.296694181355459,-0.144142362091271,-0.133722555676394,-0.0774993087425211,-0.0436931268698559,0.0187506469097253,0.0230311853334257,0.037088316639307,0.0702013491386377,0.0743688133395341,0.0744804487990155,0.133967913535559,0.397924450381356
