"","miR200a","miR200b","GSC","SNAI1","SNAI2","miR34a","FOXC2","ZEB2","TWIST1","TWIST2","miR141","ZEB1","miR101","TGFbeta","miR200c"
"miR200c",0.0859856085722094,0.0829103546617379,-0.0808514685691576,-0.0729938914258328,-0.155756855883472,0.108316249708939,0.0197895169228251,-0.148986415593541,-0.0152285853961788,0.0291505445235204,-0.0182938887632734,-0.0182624166068753,0.114519665353512,0.0810891741725595,-0.0664580117806856
"SNAI1",0.0928232742299917,0.0354920817992748,-0.0116152747024572,-0.108069972666468,-0.0452467869131593,-0.00782095604835089,0.0199331517271917,-0.126049159427474,0.0151582156611939,0.0342070400927196,-0.0727733987369482,-0.0727591782074499,-0.0220754848928841,0.011732243969278,-0.0259770529432758
"GSC",0.02916028712139,0.100576121403638,0.0537878980148583,0.0644903599319672,-0.0603879588612695,-0.0662930767716976,-0.0596632702240091,-0.113486565382654,0.0590480329152439,0.0625683871394602,0.0589054990536745,0.0589733053242805,-0.0551294325918032,-0.0535008045990776,-0.0821325332532124
"SNAI2",0.01719906232002,-0.172019361902993,-0.182400001461493,-0.0318994445347978,0.0962778658023504,0.00169205053351719,-0.049301752547979,-0.0517261692049579,-0.12124655751047,-0.198251252910674,0.0189172495794966,0.0189323210685932,-0.183098280445401,0.182476130350268,-0.0358636301047908
"TWIST2",-0.0373664059105264,0.013622880489828,0.0521763139467439,-0.00628568186233943,0.122593944506794,-0.052251756497675,0.0645687203805312,-0.0480612090331103,0.109130351162512,-0.0936591648030256,0.125776526913532,0.125776966671137,-0.0515200970835902,-0.0521259480868742,-0.0874894170355422
"miR34a",-0.0437621082546885,0.0936322013671252,0.0578434060375319,0.0791380147633149,-0.164268926626993,-0.0366684446953353,0.0455206760882385,0.000398172260806066,-0.0246297544536997,0.0563140285957155,0.00620458333561912,0.00627535708139039,0.0509649321547892,-0.0576001058925226,-0.0431081870556232
"ZEB2",-0.157160434314416,-0.136046764756654,-0.0370838408398888,-0.0359036746822523,-0.0231029168743771,-0.0172616947209671,-0.00074843425245494,0.00718999638958262,0.00866098207126258,0.0205030320464665,0.0263350914763172,0.026339570625876,0.0297818788360313,0.0371041381961581,0.135730501614963
"FOXC2",-0.0228564501061605,-0.0259193245063278,0.00161192178561074,-0.0410286732335972,0.150642954340062,-0.0204291722044553,-0.0833262974486426,0.029173640438321,0.0665335627772551,-0.018143496055811,0.0211299607348965,0.0212570418211728,-0.0551264321880515,-0.00105842646264621,-0.00112463131534775
"ZEB1",-0.0224877710421538,-0.0255392086263411,0.00105842646264621,-0.0409628272895898,0.150828889052725,-0.0202568240163495,-0.0836332304323705,0.0292509382719085,0.0672623996253344,-0.0182253658564184,0.0212570418211728,-0.0787960928752827,-0.0547721122098558,-0.00131308127101527,-0.00163105860107113
"miR101",0.0119756663249289,-0.0595839673394831,-0.0539579817222037,-0.0222689177722214,-0.0978040560845202,0.0313795598099857,0.0121254879805935,0.0608698669920211,0.0129975179053212,0.0195562541231596,-0.0903940219559696,-0.0904291423370428,0.010838968049586,0.0537275061684466,0.0771581809139677
"TWIST1",-0.0841297711944669,0.0406097563974936,0.0420267121346524,-0.0083241740997354,-0.136834933622436,-0.0559119565437828,0.110222493005618,0.0971883586624577,0.0368891416252039,0.145980917750463,0.0760556736989745,0.0761228272940253,0.0728751427718334,-0.0417740653589065,0.0137470143464879
"TGFbeta",-0.0582966605056217,0.0591419289733393,-0.0175406094729328,-0.0784116003162204,-0.111799585909321,0.0943090631076343,0.0169158683206816,0.125892699544948,0.0114723487378109,0.0757528240121271,-0.00505206064318838,-0.00505676713092484,0.0954269780375327,-0.0824513244497619,0.0640583168170884
"miR200b",-0.0656868019429017,-0.0932243286889466,0.0664215256821617,0.0951955544985962,0.0472178620966017,0.00485804598521573,0.00618955641420406,0.127164114843873,-0.035194831200901,-0.0306850882880559,0.00124929279118504,0.00110766808739357,-0.0712016221879818,-0.0671370314934067,0.0646573460776011
"miR141",-0.0656868019429017,-0.0932243286889466,0.0664215256821617,0.0951955544985962,0.0472178620966017,0.00485804598521573,0.00618955641420406,0.127164114843873,-0.035194831200901,-0.0306850882880559,0.00124929279118504,0.00110766808739357,-0.0712016221879818,-0.0671370314934067,0.0646573460776011
"miR200a",-0.091684008617944,-0.050324549963585,-0.117698899205913,-0.0844865678740943,-0.161892606683482,0.100299104226161,0.019362665812931,0.187236764966937,-0.0116950782338032,0.0363735999082403,-0.00324952567841101,-0.00330599042959584,0.123531125546569,0.117437303592119,0.0955401778216559
