"","SNAI1","ZEB2","miR141","miR34a","TGFbeta","GSC","miR200a","miR200b","miR200c","ZEB1","TWIST2","FOXC2","TWIST1","SNAI2","miR101"
"ZEB2",-0.0916508380873765,-0.0869951237210709,-0.014163079002476,-0.0113930827547529,-0.000507696719545779,0.000358003717059352,0.000718858581032755,0.00187598545035735,0.0133210221086457,0.014148646187231,0.0315765389521398,0.0575574302344545,0.067916881220517,0.0727974743629639,0.0819790904480677
"SNAI1",-0.0527393157716444,-0.0575486011492963,0.108846720361082,0.0129582751362082,0.0162179155535931,-0.0161969007361643,0.0216493380435818,0.0357034265729236,-0.0883222438974219,-0.1088454837933,-0.0051472373406122,-0.0485517627627206,-0.0313285683970178,-0.0695150650087819,-0.109502789611349
"GSC",-0.101906715461654,-0.0158034167723555,0.0130662968865734,-0.0446512421394586,0.0143943101384619,-0.0145501608498857,-0.0133249549277649,0.0332230944641736,-0.014520667649419,-0.0131311550584573,-0.0263039854065052,0.0632606196652662,0.213075102812471,-0.0030077492297424,0.0995639144935512
"miR101",-0.0417164375711669,-0.0116612304830527,-0.109641944137547,0.0312870034916862,0.0117400803212357,-0.0116134067344379,-0.0604885991979788,-0.0263496601104071,0.0501959448554144,0.109611597400503,0.0134096804216592,0.0486723661172384,0.013037240084937,0.0523061090886541,0.0980559302954374
"SNAI2",-0.0408897789416984,-0.0101374255981483,-0.026063252139294,0.00566943769929936,0.0107920781948284,-0.0109605882070603,-0.0179251973346936,0.0140533646645312,0.00839893841326917,0.0261111459824233,0.0871835033222257,0.0523125552918386,-0.0681598596288052,-0.023273060485375,0.0614484594945734
"TGFbeta",0.132148914720818,-0.00267912577993616,0.0367677232859855,0.0910093592141264,-0.0993485768226754,-0.000803065430663931,0.0195337997064792,-0.0842896144803075,-0.02202855986125,-0.0368012962318389,-0.0715500232838237,-0.0702220889709206,-0.0958474748831585,-0.102489569266832,-0.118276675074371
"miR141",-0.101088009863375,-0.00101987048946517,-0.00980865572579927,-0.101665299968864,-0.0915121487760044,0.0913819482193671,-0.00599315888574647,0.0336596516972776,0.00502239377655927,0.0098308713656097,0.0193345026016571,0.0619468288625165,0.104101328003699,0.132981230527782,0.1170685663531
"miR200b",0.101088009863375,0.00101987048946517,0.00980865572579927,0.101665299968864,0.0915121487760044,-0.0913819482193671,0.00599315888574647,-0.0336596516972776,-0.00502239377655927,-0.0098308713656097,-0.0193345026016571,-0.0619468288625165,-0.104101328003699,-0.132981230527782,-0.1170685663531
"miR200c",-0.129161798884332,0.00241618129072084,-0.0207919374444859,0.00836940613472793,-0.0839912153769259,0.0840449679003082,-0.0100281309003161,0.0203188739085249,0.0121921643325834,0.0207401009515949,0.0453907436485495,0.0732639818946189,0.0781198817530934,0.0700204485417214,0.0997433817876433
"miR200a",-0.129161798884332,0.00241618129072084,-0.0207919374444859,0.00836940613472793,-0.0839912153769259,0.0840449679003082,-0.0100281309003161,0.0203188739085249,0.0121921643325834,0.0207401009515949,0.0453907436485495,0.0732639818946189,0.0781198817530934,0.0700204485417214,0.0997433817876433
"FOXC2",-0.0895163732052574,0.0146316919947565,-0.0160032329237188,0.0074055255547997,-0.00377728733340025,0.00407617480780109,-0.00373450624546524,-0.0145697565086523,0.01637240741398,0.0160235231811915,0.0192883824278342,0.0928764115968894,0.00210406227350022,-0.0687549750037595,0.011975474445498
"ZEB1",-0.0891812643830767,0.0146995126993218,-0.0160235231811915,0.00716602872197744,-0.00391037326340217,0.00377728733340025,-0.00384157944301819,-0.0145909765699137,0.0162873276299785,-0.0839839958796277,0.0192382041629458,0.0937910410408626,0.00268653434471116,-0.0685000558179919,0.0121496718929722
"TWIST2",-0.0420839220969136,0.0548996870780128,0.0613305587544746,-0.0472705808660972,-0.00414796592397318,0.00423568174734181,0.0585374427138591,0.0462835472050255,-0.00224256631992796,-0.0613072516013774,0.0957211109373063,0.052796344158106,-0.0693156903461609,0.1305986244512,0.0983677958032491
"miR34a",-0.108394008195075,0.0834559401564569,-0.0806293457739349,-0.013190170350949,-0.0305547393079541,0.0306135924602382,-0.0550777555442704,-0.0809522348037668,0.12056160059097,0.0806354794985683,0.0398799817309904,0.100635117783953,0.0251755392321199,-0.022354135809405,0.052179898716103
"TWIST1",-0.0317687874772757,0.0962527001953487,-0.0797627091406295,0.000174242789025291,-0.0403070341404847,0.0404514037266252,0.0110810777274449,-0.0673952587229343,0.0857829917181442,0.0798174172817713,-0.0794273224339404,-0.0758940072335276,0.114107009892129,-0.0427678571502484,0.0283053738702243
