"","SNAI2","ZEB2","miR200b","miR200a","miR200c","miR101","TGFbeta","ZEB1","miR141","GSC","miR34a","FOXC2","TWIST1","TWIST2","SNAI1"
"GSC",-0.0809362930678194,-0.0950951000501391,-0.0883201137349531,0.0609973617860323,0.0330955547309729,-0.0214947218309198,-0.0571264656211196,0.0373404769037045,0.0372210789054636,-0.0563573076566435,0.0364231690373176,0.0169892737396128,0.113348106757803,0.0608821958663992,0.0182218393882897
"ZEB2",-0.0989582247739541,-0.0883469472293847,-0.0110565432817593,-0.00862898298341849,-0.00753192800544486,-0.00137586148237911,0.000736675618893974,0.00113479128290819,0.00168970814491555,0.00205854094593513,0.0462269191722373,0.0651617926114436,0.0660913920631606,0.0709352093220446,0.100314671111051
"TWIST1",0.0133965025560899,-0.0806251939927126,-0.0120770749913541,0.0159322838001353,0.0673394321139282,0.0332117108196965,-0.0194391394464779,-0.058907659193341,-0.0586667878041431,-0.0194658745550224,-0.0796872594913484,-0.157518846534881,-0.133379892794969,-8.92109295970111e-05,-0.146415056458241
"SNAI2",-0.0432842311350145,-0.0347378115238987,-0.016428375628562,0.0326477975040119,0.00161520203043461,-0.0195836103621225,-0.0186222135685804,0.0298242717768477,0.030428136106652,-0.018039699262337,0.0148809251002137,-0.0326710770709352,0.0699691026097757,-0.0684601859625284,-0.0149778434494408
"ZEB1",-0.0415153794687177,-0.0238290670110617,0.0011906969077373,0.0014534165674867,0.0130520642706102,0.0797185645652275,-0.00118906994952126,-0.107942529956687,-0.00819918056598178,-0.0021206714595347,-0.0363491312407025,-0.103429867854349,-0.10874359359013,0.0511819049667915,-0.123305689043407
"miR141",0.12957266567912,-0.0214218621600526,0.00557279947364131,0.00744051973000859,0.0137650388214637,0.0344091638678261,-0.100353822852205,-0.00755012078325679,-0.00745940692069755,-0.0988451686959406,-0.0347032823326825,-0.120647161680786,-0.151075557758994,-0.0707309081165254,-0.198813918859223
"TGFbeta",-0.149139312101417,-0.0070067585139529,-0.126341113577424,0.0217156866004029,-0.0153188152685653,0.00414841456313262,-0.116182952739349,0.0439561157152717,0.0443706004019294,-0.015406996102581,0.144377217372119,0.0612383333840996,0.0597566302985287,0.177973041056278,0.135597676152419
"miR200b",-0.146828460080849,-0.00318203426771144,-0.0410618094605541,-0.00314608387842362,0.0067700370240618,0.0150730060214656,0.087276692025855,-0.008746419836372,-0.00883435674395494,0.0872014384931197,0.0973114527078163,0.0777211517581685,0.0644496160196461,0.126981797088632,0.116179839159138
"miR200c",0.0974565685652719,-0.00119692222317524,0.0365622434076167,0.00120059081619615,0.000618842207409452,0.0349451397299664,-0.0855845231424919,-0.000254489365096358,-0.000383154945665079,-0.0855116586107958,-0.0155502998268113,-0.0947044114798917,-0.125013300881965,-0.0445716624746509,-0.166244525032566
"miR200a",0.146828460080849,0.00318203426771144,0.0410618094605541,0.00314608387842362,-0.0067700370240618,-0.0150730060214656,-0.087276692025855,0.008746419836372,0.00883435674395494,-0.0872014384931197,-0.0973114527078163,-0.0777211517581685,-0.0644496160196461,-0.126981797088632,-0.116179839159138
"FOXC2",0.041854373481081,0.0244382687110217,-0.00138536790452661,-0.00106390163801032,-0.0126590766968888,-0.0800776246100212,0.0021206714595347,0.00819918056598178,0.00819597684111767,0.000460185490641137,0.0363856899472704,0.103783072142156,0.108818269496696,-0.0519002464430889,0.123319798888551
"miR34a",-0.0440611226415713,0.041045224158956,0.0341132434596967,-0.124085057753758,0.0883104874711168,0.0736954267018513,0.0430949084193153,-0.108490930974555,-0.108580105894226,0.0424802873547407,-0.11968379575725,-0.0409125041475896,-0.122168951899547,0.11979947933342,-0.126770318808373
"SNAI1",-0.133903445213336,0.0529097522661326,-0.0357071064609703,-0.0110055904610716,-0.0517792263189221,-0.0382786626413745,-0.00300124073477972,0.0499971879139273,0.0498435443669563,-0.00305952711519549,0.135354609765821,0.0439463813927356,0.090376870513488,0.129803602564573,0.0061424768468026
"TWIST2",-0.0313392754170498,0.0978560672356986,0.0445800118036644,-0.0737524599491492,-0.0203208432716853,0.0237878949454122,0.0474105212801804,-0.0547990990490744,-0.054605605702607,0.0470013694073061,-0.0517394090060573,0.0787913753926747,-0.155473559352211,0.0372915352328885,-0.031214581743195
"miR101",-0.143273222507249,0.107205135564963,0.0402646554608899,-0.0606822165340546,-0.0447917995899137,-0.0667665965215851,0.042214516642759,-0.0144694998324533,-0.0145312162302615,0.0415107744938824,0.0852643565052042,0.0832570719838334,0.171847854146134,0.0895966220091778,0.178546433258822
