"","miR200c","miR200a","miR34a","SNAI1","FOXC2","miR101","SNAI2","TWIST1","TWIST2","TGFbeta","GSC","ZEB2","miR141","ZEB1","miR200b"
"miR200b",0.00170866515625453,0.00170866515625453,-0.0692975468874145,0.231700322050927,0.194676472494254,0.113196917224479,-0.00413381973709843,0.0490992154470896,0.0248378595412158,-0.118469215966819,-0.11849668947877,-0.198735386742198,0.196807528820701,0.19635766211454,-0.0198384750430814
"miR200a",0.00170866515625453,0.00170866515625453,-0.0692975468874145,0.231700322050927,0.194676472494254,0.113196917224479,-0.00413381973709843,0.0490992154470896,0.0248378595412158,-0.118469215966819,-0.11849668947877,-0.198735386742198,0.196807528820701,0.19635766211454,-0.0198384750430814
"SNAI1",0.243923861832153,0.243923861832153,0.318747068609246,0.0715553388388958,0.216365002087089,0.111343417026754,-0.0536766828727659,0.231210669214044,-0.157292442594069,-0.0297668186258273,-0.0298576184973593,-0.175502106061534,-0.295270871835893,-0.295613401111635,-0.150644034652886
"GSC",0.0834261653295156,0.0834261653295156,-0.0619523768807113,-0.223470007339509,-0.248376105386185,-0.141725283698896,0.0349884989665338,-0.128209397264107,0.0461168703576495,-0.0127250672747713,-0.0126512432535706,-0.104366380283661,-0.0671658424691086,-0.0669388388675147,-0.0921401775624807
"TWIST1",0.104964105071658,0.104964105071658,-0.0168678007711264,-0.208654335665882,-0.111862809424466,-0.0661296690237977,0.0101230542064981,-0.130623038585778,-0.0358615657748994,-0.0134595956931069,-0.0134181562748629,-0.0917119902267726,-0.113248234706337,-0.113163968612161,-0.0656678443768706
"ZEB1",-0.276698183514839,-0.276698183514839,-0.280981545057785,0.139186821213562,0.128528777865238,-0.00281373487186414,-0.140583033112268,0.0178604922991218,0.11308485385323,-0.00702380734458791,-0.00696110339679854,-0.00939078545450017,0.340671264360563,0.240729411764231,0.283200809684623
"TGFbeta",-0.0704792177071552,-0.0704792177071552,-0.238046382837,-0.211754624052698,-0.183373347052353,-0.116195111756343,-0.0191050411143745,-0.0858975206717014,0.0433708031565302,-0.0885113489715895,0.0116419064972109,0.000509156350711519,0.125324875541992,0.125793955486392,0.124852344819982
"FOXC2",0.27664319998096,0.27664319998096,0.280925587853854,-0.139032788737401,-0.128187912591852,0.00288128082088472,0.140510276050791,-0.0176991923409403,-0.113108622505019,0.00696110339679854,0.00681719461282777,0.00932118778824319,-0.340437392445483,-0.340671264360563,-0.283116852050937
"miR34a",0.0722462752080718,0.0722462752080718,-0.0203434443185417,-0.114373736790737,-0.1248432648637,0.00442396675067041,0.116635103448796,-0.0456434649930281,0.0153530704008354,0.0264156797327114,0.0264102191309531,0.0262845791680659,-0.0734152069539369,-0.0732878142115486,-0.0899194437801831
"miR101",0.131678871117804,0.131678871117804,0.274052639890243,0.145646820229894,0.180823808036441,0.10120924608405,-0.0468595512764013,0.216145353642256,-0.138576086309741,0.00718316646818656,0.00703713997229465,0.0692464865023282,-0.32343008133217,-0.32378503586321,-0.0967227538822304
"ZEB2",-0.240073175937068,-0.240073175937068,-0.0969520344153401,-0.0482330361748874,-0.0482328132799039,-0.0438900424592864,-0.0392039606241499,-0.0095840263935703,0.02363464853778,0.0617159759767191,0.0617692565369262,0.0821285171043854,0.104076456737322,0.104429314185899,0.242685368330859
"SNAI2",-0.00235101535690742,-0.00235101535690742,0.0535804147985017,-0.0248666444852705,-0.0488839529859038,0.000408868562607763,-0.0769449736138003,-0.0678963996206518,-0.00885795491754655,0.0155637009540957,0.015545737957868,0.104089274067573,-0.0991292002813868,-0.0990364268929476,-0.00478001066611966
"miR141",-0.2191495725586,-0.2191495725586,-0.108567816999489,0.214888950236828,0.174882900044315,0.0983805868351265,-0.0171033959525335,0.044921465349263,0.0338656198634138,-0.0669802588510852,-0.0669910093557616,0.192156640000354,0.243569537824157,0.243476047006621,0.167124078092071
"miR200c",0.0489217458677185,0.0489217458677185,0.266140664261992,0.115242409639611,0.110019740931237,0.100469515892311,0.0841912882178358,0.0293167620981483,-0.0777059620100317,-0.0608653039021237,-0.0610002824608393,0.200197443624535,-0.291241791713543,-0.291538000244349,-0.0723297989946206
"TWIST2",-0.0966859965593936,-0.0966859965593936,-0.0576897079176381,-0.097017212408664,-0.129938690145439,-0.0531152242602551,-0.0275611021274617,-0.187522214760262,-0.0333485617495487,0.0233024848200118,0.0233437961432758,0.200895481796846,-0.0128235568300625,-0.012590925056696,0.0740756210434315
