"","ZEB2","miR200b","miR34a","SNAI2","miR101","FOXC2","TWIST1","miR200c","miR200a","TGFbeta","GSC","TWIST2","miR141","ZEB1","SNAI1"
"TWIST2",-0.126368021475141,0.0722792453550246,0.0944640978357479,-0.0247327454311727,-0.0323940566262364,-0.00554477436589451,-0.00472276997744705,0.00779833941821239,0.00779833941821239,0.0376267879862961,-0.0358368192810383,-0.0908988535044742,-0.114091058567224,-0.113102923227423,0.054555879719525
"TWIST1",-0.118116599005566,0.114149411356865,0.0935628867744085,0.0845176508916316,0.0265917438299006,0.00915545373259387,-0.0274476002548985,-0.00629485434269066,-0.00629485434269066,0.0611139357690558,-0.0603065354910107,0.0433921002727443,-0.123837706261697,-0.122964709526036,-0.00102283427300344
"miR101",-0.103194031472966,0.108538874314238,0.0504419295084267,0.0705851194415873,-0.000979718440786947,-0.0618071729761427,-0.000556227455887474,0.0103365713768817,0.0103365713768817,0.0381525881941096,-0.0362700779458645,-0.0300873801990162,-0.0850189185059556,-0.0836526333898367,-0.0260069427758491
"SNAI2",-0.074970396638613,0.059721755627445,0.0585452794686454,-0.074283676856728,-0.0116998456757485,-0.0347066751080103,0.0186078795921774,0.00573488519377616,0.00573488519377616,0.0250367443271452,-0.0246783397833625,-0.0106347730770015,-0.0619205652502975,-0.0623710353132963,0.0445308461495417
"ZEB2",-0.0710057572589144,-0.0431625663569571,-0.0402430705340732,-0.0277120493010101,-0.024107109587997,-0.0222018915600401,-0.0115114209248382,-0.0106560069104184,-0.0106560069104184,-0.00605144469967372,0.00316668293989293,0.0123898774265774,0.0175894510152416,0.0183742975546008,0.025023345212692
"TGFbeta",-0.0318489136480951,-0.0617204049567393,0.0544772938955559,-0.044354814553608,-0.016793320724132,-0.0730180424250167,-0.0489235412391177,0.00752930287690793,0.00752930287690793,-0.0837960041567223,-0.0120128620754517,-0.0781298974044651,-0.0330490572864819,-0.0332558289810371,-0.0106933051785075
"SNAI1",-0.0294480380072297,0.0415350689680927,0.0559134301936985,0.0572553974111509,-0.0144586617944331,-0.0640090092309086,0.000645318561906258,0.0147600622643741,0.0147600622643741,0.0118836683971183,-0.0129665262536862,-0.00884531711437896,-0.033361280621665,-0.0329176619297064,-0.106103258344724
"miR200c",-0.0265103398351019,0.0807080508280433,0.0254009768364921,0.0698327733998558,0.0602461012402041,0.0919932702640744,0.0625989464830181,0.00339534695845249,0.00339534695845249,-0.0763458451501194,0.0776968252377957,0.0108487559640941,-0.0174087602646086,-0.0166164024447034,-0.0480428549213903
"miR200a",-0.0265103398351019,0.0807080508280433,0.0254009768364921,0.0698327733998558,0.0602461012402041,0.0919932702640744,0.0625989464830181,0.00339534695845249,0.00339534695845249,-0.0763458451501194,0.0776968252377957,0.0108487559640941,-0.0174087602646086,-0.0166164024447034,-0.0480428549213903
"ZEB1",-0.0126064362471397,0.0171526710552387,0.0098593269780004,-0.0528734640424348,-0.055614137191876,-0.0503706819740005,0.0312546125664556,-0.000403713649373285,-0.000403713649373285,0.00701839385279607,-0.00690066399164052,0.0173204248529562,-0.00953499946818601,-0.107064737353726,0.057312027239955
"miR200b",-0.00747161105593858,0.0131128843554769,0.0831997323787146,-0.0352946808953791,-0.0189031300244748,-0.0859720644219143,-0.0843297027688014,0.00961233013581677,0.00961233013581677,0.0874877645157031,-0.0896056139369676,-0.0510490912159416,0.00403381386458177,0.00691259052334955,0.00365856437620123
"FOXC2",0.0150050383706089,-0.0139309121889435,-0.00780234016151764,0.0525732737961926,0.0572222047852257,0.050057579483062,-0.0306333090238306,0.000267701749779006,0.000267701749779006,-0.00690066399164052,0.00892645687369067,-0.0168952300820596,0.00621914423383354,0.00953499946818601,-0.0590451865518649
"miR141",0.0167824553747123,0.0096691550651522,0.00226329317974175,0.0626962474656431,0.0530411057263351,0.0834503766291615,0.0586443589739808,-0.00590995100461077,-0.00590995100461077,-0.0810814695830961,0.0849480677650663,0.0152204347959421,0.00874388035394752,0.00873925209565368,-0.0419617705795318
"GSC",0.0312731420534732,-0.0312753286871586,0.0390173160660006,0.067960685228774,-0.0569695223616976,0.0929172093777289,0.0267995507591594,-0.0118334311407254,-0.0118334311407254,-0.00238465159275273,0.00419744144668213,0.0132426681816982,0.0284097279199538,0.0274078657042611,0.0734929612372661
"miR34a",0.0686680096114347,-0.0237250766609025,-0.0838504637023525,0.065723500673198,0.0645417319199105,0.0829521769698715,0.0203700853509605,0.0721386717019911,0.0721386717019911,-0.0558356654025263,0.0537296933244033,0.00947342976387701,0.0954407598504353,0.0945107928310008,-0.0663877316901726
