"","miR200b","miR200c","TGFbeta","miR34a","miR141","ZEB1","FOXC2","miR101","TWIST2","SNAI2","TWIST1","SNAI1","GSC","ZEB2","miR200a"
"miR200b",0.144534648901792,0.113760196349985,0.14037511360233,0.120672908312594,0.0195553979288183,0.0195905726918515,0.0312665098283467,0.023556120526507,-0.0180647033821438,-0.0853266350591468,-0.12753685878478,-0.132839562571498,-0.14031419407583,-0.207246469675857,-0.113760196349985
"miR101",0.118017342064557,0.102381080855462,0.0315973359907846,-0.0790043443039517,0.013755166975114,0.0137595996445698,0.0623060346073206,-0.168681437320755,0.047853005599597,-0.0768078775336726,0.185980314664084,0.159552553068159,-0.0315973359907846,-0.188434120783127,-0.102381080855462
"miR141",0.0305774248934585,0.0922866664534408,-0.0867115982111043,-0.101155837192941,-0.00163726095838461,-0.00165855094653627,-0.0275179147919505,-0.0214962364308113,0.0164914408391929,0.0737215778118272,0.108611523573936,0.11620356945957,0.086691291702271,-0.185451275929084,-0.0922866664534408
"miR200a",0.0648231107464221,0.0909470564768525,-0.0876786916328589,0.0122762152211476,0.00408043126594118,0.00399156870669948,-0.0514415056644857,-0.0176607319792784,-0.0206247501547288,0.0277129249713227,0.0427743968708965,0.0624723682015059,0.0874290410242609,-0.175586438314683,-0.0909470564768525
"SNAI1",0.0196217452915015,-4.19706602642562e-05,0.0189292993526757,-0.183334124643412,-0.0914965226074262,-0.0915067242916315,0.0527450869955387,-0.159931293233478,0.0946436806944757,-0.0528197841223767,0.206984410493034,0.0637673692197279,-0.0189574512779106,-0.0890128889021249,4.19706602642562e-05
"TWIST2",0.0532897133948319,0.0679057832673686,0.009670373748883,0.134939923910217,0.0761065044208293,0.0760480166592835,-0.13357201407674,0.0911705353318006,0.0157639930676146,-0.0436230896612778,-0.0901774927047003,-0.230686526364862,-0.00986221674321826,-0.0576116984022472,-0.0679057832673686
"TGFbeta",0.102831451948835,0.0285766561675295,0.0973509684339941,0.108741255275415,0.0176571053859474,0.0175777226261257,0.0530620836709817,0.0206168854996355,0.0355858658972621,-0.0551625176887835,-0.0808081493927989,-0.0940271799412236,-0.197554233582087,-0.0425422798179045,-0.0285766561675295
"SNAI2",-0.0237561611696754,-0.0157418463107795,-0.00427074148476698,-0.0688594349648384,-0.0263144606157118,-0.0263777608699175,0.0749041121295873,-0.0354027021909965,-0.0508925833741177,-0.0373134343180367,0.0270665476276278,0.131476822945383,0.00411591756489905,0.00535851367893378,0.0157418463107795
"ZEB1",-0.00128823516026947,-0.00225525105343488,-0.00197633546852272,0.0131396867773788,0.00685687886821737,-0.0930990093083101,-0.0811701258582772,0.00612655812752561,-0.0177606541214824,-0.0752593961687368,-0.0831038788566573,-0.0837048061050761,0.00209150598487053,0.0143902613634519,0.00225525105343488
"FOXC2",-0.00106957626814119,-0.00214586275971863,-0.00209150598487053,0.0132254878234055,0.00693483617324402,0.00685687886821737,-0.0814678045811892,0.00583859908170102,-0.0172905630083173,-0.0749495049809643,-0.0833488158301922,-0.0836765864147872,0.00182582822984756,0.0144604513502728,0.00214586275971863
"miR34a",-0.0314500833390278,-0.110370466843576,0.00200366118816403,0.0145815757421894,-0.0640144287731008,-0.0640677449949152,-0.0426651602764996,0.0252645255800982,-0.0318500027645429,-0.0468030630898528,-0.0670440529375337,-0.0781369161598789,-0.00213774929800707,0.0817384861365241,0.110370466843576
"ZEB2",-0.214717627338055,-0.206722138599519,-0.066893049986379,-0.0473622947181418,-0.0330081310606001,-0.0329986750781982,-0.00858916360042046,-0.00611557275546719,0.00451956609913184,0.0358243726934988,0.0473039695503831,0.0481138178981135,0.0669133473426483,0.086366881360794,0.206722138599519
"TWIST1",-0.116152121216192,-0.122213074064374,-0.0339999920019854,0.0236736750786104,-0.0767670292428233,-0.0767569173115223,-0.145624660980557,0.10188008588193,-0.11057863234594,0.103810679412053,-0.154122779459187,-0.13236837894966,0.0340320741322388,0.192745915575871,0.122213074064374
"GSC",-0.0756081348444678,-0.0745589140508075,-0.0323405890229251,0.0969061830104217,0.050743608664379,0.0506836639903651,-0.207324725905402,0.179875087854834,-0.0831362429932553,0.0708973914483198,-0.127263667144377,-0.192256579718139,0.0321355222973675,0.209135274649132,0.0745589140508075
"miR200c",-0.110288963048828,-0.115099806326573,-0.141342207024084,-0.00724085589850494,-0.0138377057044925,-0.0139404530386157,-0.0551901007008819,-0.019720616074974,-0.0190514876117778,0.0393179822186423,0.0616997320817403,0.0791083613134343,0.14105194339782,0.217111307290258,0.115099806326573
