"","ZEB2","FOXC2","SNAI1","SNAI2","miR200c","miR34a","miR200b","miR200a","miR141","TGFbeta","GSC","miR101","TWIST1","TWIST2","ZEB1"
"TWIST1",-0.107278317230278,-0.113907191742624,0.0048545368519962,0.107490129739957,0.0868116711256523,0.0541036531927217,0.0482875050087119,0.0194303208841881,0.0733059729345546,0.000657460513245899,0.000664144290382034,0.0673617508573297,-0.0100514542543245,-0.0722305052554545,-0.0732481534299355
"ZEB2",-0.0849337559946227,-0.0216450154608784,-0.0205363305393353,-0.0183195297601883,-0.0100924306788744,-0.00723614629011043,-0.00687425301079214,-0.00629168930440521,-0.0059142363386152,-0.000788942376296501,-0.000748347663757809,0.00106933528531233,0.00235519930072085,0.00264200755801512,0.00593961818611509
"FOXC2",-0.034421383341042,-0.0788542511569857,-0.0824187044789446,0.0848670585987928,0.0294031028978492,0.0346535198704406,0.00413008823088264,-0.0053125339606898,0.0288160561164539,0.00271981508903092,0.00279730443424596,0.0836486658320719,-0.0845733846361387,0.0238090140260544,-0.0286227647163194
"GSC",-0.0305996398392811,0.15416608122724,0.0728184452455462,-0.0653733083230291,0.052765286090392,-0.0120330894213888,-0.0260690286571863,-0.0126480576621016,0.0693980001339789,0.0121232027010951,0.0121616921480459,-0.118706614973349,-0.0318246546031651,0.0253699614048334,-0.0692756540370159
"miR101",-0.0270213625598073,0.0127785904036971,-0.00623777098397823,-0.0514515798144027,0.0233488170968187,-0.0164229357724092,-0.0124933039139949,0.000717125284233289,0.0202434202371193,0.00887564781705951,0.00895130009806375,-0.0725275669734159,-0.0129793997435314,-0.00260354904068335,-0.0200848670604297
"miR34a",-0.0209325953662661,-0.0454174018383579,-0.0892920706277993,0.0747744236592724,0.127495041133069,0.114455906512861,-0.0149343129441033,-0.109196476978102,0.130557961852105,-0.013538668398647,-0.013542915533348,0.0787073153289032,-0.0786610779437499,0.0574600573678627,-0.13052021585436
"miR200c",-0.0204086475689512,0.0905067613595177,0.0800375295344097,0.0693722923212883,0.0194135220936484,0.0173316586535041,0.0313809184685201,0.000888530208959672,0.0180471233310524,0.0931607049304075,0.0932526814704173,-0.00524120548770706,-0.0130331239543944,-0.0141547453217271,-0.0179999150964553
"miR200a",-0.0120046515971889,0.0818633231186954,0.0734973632065878,0.0639110965329568,0.0112539746724855,0.011795073907636,-0.00217519546799424,0.00126911103641848,0.00952174451582349,0.0891760699944294,0.0892178775126156,-0.00473746141515951,-0.0122658888355859,-0.0134275518132868,-0.00949397496606045
"SNAI2",-0.00638617400686005,-0.0138717739338009,0.0346286315931119,-0.0348021259171071,-0.0096950294117363,-0.0241735604102997,0.0235716500445604,0.0152889531076154,-0.0247563659097364,-0.00272296077820936,-0.00273236996670962,0.0100177103747587,0.116044929211168,-0.0928481299417298,0.0246207225078669
"TGFbeta",0.00278415183221415,0.092379016272336,0.103764433499389,0.0151140873228827,-0.00471939996674528,-0.107081342643022,0.0726661067911767,0.00242909059031075,-0.00630864242929691,-0.0892861663750238,0.0106944750394435,-0.0458025714595566,0.0353736198218754,-0.0814817205462961,0.00637421949175828
"miR141",0.0120046515971889,-0.0818633231186954,-0.0734973632065878,-0.0639110965329568,-0.0112539746724855,-0.011795073907636,0.00217519546799424,-0.00126911103641848,-0.00952174451582349,-0.0891760699944294,-0.0892178775126156,0.00473746141515951,0.0122658888355859,0.0134275518132868,0.00949397496606045
"miR200b",0.0204086475689512,-0.0905067613595177,-0.0800375295344097,-0.0693722923212883,-0.0194135220936484,-0.0173316586535041,-0.0313809184685201,-0.000888530208959672,-0.0180471233310524,-0.0931607049304075,-0.0932526814704173,0.00524120548770706,0.0130331239543944,0.0141547453217271,0.0179999150964553
"ZEB1",0.0346023372733102,0.0788372850121565,0.0823763749435113,-0.085017423192512,-0.0291351305169465,-0.0345289218296889,-0.0040202974791389,0.0053709901388133,-0.0286227647163194,-0.00276332395076232,-0.00271981508903092,-0.0835029087841854,0.0844807865119975,-0.0240968788088353,-0.0712940243439484
"TWIST2",0.0655842763691821,0.0685749330539028,-0.0401852612141553,-0.093069166939542,0.00525923115599085,0.0568789796236019,-0.0748915611859012,-0.0711212318265863,0.0755077765289978,0.00165437087539211,0.00163795952779411,-0.0150787981507891,-0.200400938336285,0.123527921139504,-0.0755442764102632
"SNAI1",0.0659717391393019,0.0226782101328666,-0.0908852781402016,-0.0662367740160136,-0.0750274170100432,-0.092780344261355,-0.0217675764059458,0.00100396738180539,-0.0808540864404598,-0.00065446342640181,-0.000673892219873735,-0.0881792963903018,0.0141105010623549,-0.0207801684067609,0.0807684541215243
