"","ZEB2","SNAI1","miR200b","GSC","TWIST1","miR200c","miR141","ZEB1","FOXC2","miR200a","miR101","TGFbeta","TWIST2","miR34a","SNAI2"
"TWIST1",-0.0988637719169657,0.0539385758573522,0.150882023306655,0.0958068650359983,0.0422548291188109,0.114109884937975,-0.123690526395959,0.123707379614794,-0.106861405567781,0.0149320676517216,-0.140637879879731,-0.0959913372849557,-0.166365265729369,-0.0576192999514254,-0.265022965683614
"ZEB2",-0.0867859841461464,-0.0740403817454167,-0.0257750342813884,-0.0117893766033165,-0.00727559807486726,-0.00627826526678984,-8.75387765968841e-05,-7.32129242357401e-05,0.00353289122254429,0.0080679702560891,0.00981787516343535,0.0122181582545065,0.0277520204401186,0.0375066618145288,0.0934542134669864
"TWIST2",-0.0492143457559078,-0.0249040771709673,-0.0785492509149229,-0.0261459849071867,-0.189510512121169,-0.0178551936891268,0.0848122100984368,-0.0848192462201266,0.0848102848792756,-0.0689492267024293,0.101382873652445,0.026181637145072,0.155667119544369,0.0610645643056269,0.234332146065596
"ZEB1",-0.0141112387689596,-0.0498190451856162,0.0198043405298177,0.00996742638386483,-0.0656373723571191,0.00811750108368331,-0.00353040339692012,-0.0964756118517352,-0.0777065003249811,-0.00387004227028093,-0.0856866818373829,-0.010022452297231,-0.00786115030904552,-0.00403234383537685,-0.117137556991459
"GSC",-0.0139686389896192,0.0596195312197214,-0.0516892668475458,-0.0209229635906886,-0.0454957960760418,-0.031992687802074,0.091705788392275,-0.091775068712242,-0.0501889257722556,-0.0581290051305948,0.146088818026992,0.0208226386388004,0.0642042368775437,0.00335269835499458,0.128102675680061
"miR200b",-0.00940550791465517,0.100290491670927,0.0824299448899102,0.129083128894904,-0.00300283797704646,0.00429975623712343,0.000340429016456764,-0.000430217227357238,-0.0141015218824831,-0.00424155437635845,-0.0359917070702297,-0.128888425310208,-0.0402830344610171,-0.102699471290748,-0.170421451754323
"miR141",-0.00704467779733705,-0.103103285858437,0.0133023632609995,-0.0966358493829723,-0.0439380698283253,0.00700800331460015,-0.00786566417749268,0.00769441862062064,-0.00828770836036747,0.000574715208221139,-0.0223345731055273,0.0967636609385703,0.0410856822225136,-0.0126365390692519,0.0594015470608644
"miR200a",0.00263073335423024,-0.0763624052661454,-0.0362927772863486,-0.112068298913921,0.00568149602354989,0.00130034034231294,-0.00547026649098017,0.00537214741515079,0.0124747447402778,0.00360454057192467,0.0321508523703463,0.111823426307401,0.0292178304040002,0.0875853202730269,0.140295335627782
"TGFbeta",0.0040660974005947,-0.104644468410206,-0.0911365639236269,-0.189132917753015,-0.0351520003472707,0.0290396639778923,-0.0661799062410304,0.0662417181133026,0.00800507701302614,0.0326583390388945,0.0168025308007429,0.0891232384602486,0.0974100666251359,0.0718998010498289,0.137222803943873
"miR200c",0.00704467779733705,0.103103285858437,-0.0133023632609995,0.0966358493829723,0.0439380698283253,-0.00700800331460015,0.00786566417749268,-0.00769441862062064,0.00828770836036747,-0.000574715208221139,0.0223345731055273,-0.0967636609385703,-0.0410856822225136,0.0126365390692519,-0.0594015470608644
"FOXC2",0.0141233813405193,0.0497379135760357,-0.0197600551845765,-0.0103991527357772,0.0655776316318667,-0.00811692230964248,0.00361476815167498,-0.00353040339692012,0.0776216696008352,0.00377801719778949,0.0855978055886716,0.00996742638386483,0.00786907319297528,0.00407636350246879,0.117118694049595
"miR101",0.0150883215320748,0.0111762556659309,0.0432978501170886,0.0211692658310846,0.0168883437695844,0.0336423012809131,-0.082855700261258,0.0829658350485069,-0.00845031006311659,0.0470589570369411,-0.086449423978874,-0.0210689825748697,-0.0168132116792808,-0.0214692426082113,-0.0847721208528274
"SNAI2",0.0346388588838513,-0.110688617467162,-0.280736475267915,-0.240964516335832,-0.220469658967714,-0.035159942078018,0.035693713173827,-0.03576907061931,0.0153959791761421,-0.00156561012543514,0.261474836947069,0.24122198594843,0.346863537506544,0.0664645758196653,0.326288771618171
"SNAI1",0.0522404505212918,-0.122942917907887,-0.0561637337511572,-0.0427358691669409,-0.0269382823108725,-0.0517152932570609,0.0522780442948762,-0.0522177616154811,0.0160826589460343,0.0103821238340386,0.0726842674443112,0.0427013731458786,0.0509817047707999,-0.0144229993683792,0.0693251970329172
"miR34a",0.0836963258976981,0.0475601178643606,-0.117495286661356,-0.0762758679922838,0.0312195607349384,-0.108026149881506,0.0581529977961076,-0.0581926310937396,0.0359889261401368,-0.0423037937873903,0.0993454484105447,0.0762801151269848,0.0263155108343511,-0.00798595360506387,0.141398159400606
