"","ZEB2","SNAI1","miR34a","miR141","miR200a","TGFbeta","GSC","miR101","SNAI2","miR200c","TWIST2","FOXC2","ZEB1","TWIST1","miR200b"
"miR101",-0.143500942838075,-0.0369304123022759,-0.0361571729266571,-0.112596656354736,0.126659409846393,-0.0920064895407223,0.0916493404001674,0.114072767033642,-0.0860157892689204,-0.126659409846393,0.0343073565809863,0.0386453591353634,0.11277498605669,-0.00846808385409896,0.011724626848453
"TWIST2",-0.137738315639467,-0.0362703518028815,0.0561514760797315,0.075355018213984,0.0305606246379106,0.00683867526225334,-0.00659363686535905,0.0780029781455553,-0.0958445725887439,-0.0305606246379106,0.0693454599931398,0.0482501642521819,-0.0755515898636907,-0.0654156228571003,-0.0336729029028668
"GSC",-0.122171236763284,-0.0279771818786945,0.0834882634187429,0.11332989024547,0.00193201034604819,0.0459580127610516,-0.0455371527427534,0.0682374188329395,-0.0158301002338739,-0.00193201034604819,-0.0365043296996527,-0.0540265862685801,-0.113473855733061,-0.0665226068771831,-0.105372984776627
"ZEB2",-0.0749037559072535,-0.0226205688082472,-0.016883331405273,-0.0160608662836134,-0.00877914493956515,-0.00322929897944232,0.00133657050732581,0.00737220780393789,0.00804396653876292,0.00877914493956515,0.00910717547004965,0.0126550932800006,0.017156267192383,0.0185308009475761,0.0312383595745694
"FOXC2",-0.0544952180584085,-0.0723750343954802,-0.0279058554448287,-0.0185838326398131,0.0351070492873834,-0.0297082342585167,0.0287396174433287,0.107728092129814,-0.141735643442644,-0.0351070492873834,0.133469398253544,0.0774107096732623,0.0189266312002728,-0.0566407763301932,0.0172324702545605
"ZEB1",-0.0543888965171904,-0.0704361065085471,-0.0275872724304515,-0.0189266312002728,0.0354178509473074,-0.0288201416102346,0.0297082342585167,0.110234402343472,-0.141261914131249,-0.0354178509473074,0.135127921956172,0.0791335445618256,-0.081334029574792,-0.054227251029996,0.0179115122149251
"miR200b",-0.0126221014346934,0.0173946977177717,-0.0955590532779319,-0.00678375362653159,0.00838762023284071,-0.125593644013413,0.126065471718658,0.0446490067649606,-0.106495661013888,-0.00838762023284071,0.100622501929908,-0.015745618387339,0.00634314343695813,-0.104924191172383,0.0754555675549963
"miR200a",-0.00812812836968437,0.0733516013872358,0.0447696943340801,0.0425823017049287,-0.0175122809643898,-0.0806163735707802,0.0804025579777704,-0.0321043989436521,-0.0051379109044889,0.0175122809643898,-0.0341694196175151,-0.0433387402821511,-0.0423582940035069,-0.0650910675377995,-0.03465741385005
"TWIST1",0.0149789866071662,-0.0123155873286965,-0.00867152667815883,-0.0823785823370627,0.0225886521944763,-0.030700173639035,0.0314367258794371,0.0183459236849129,0.0444851799799022,-0.0225886521944763,-0.0769276627297968,-0.0925668896233987,0.0820552598157175,0.089658578916413,0.0265285198337217
"TGFbeta",0.0239891977188029,-0.025368496625368,0.00779731546727657,-0.101914413634702,0.0409190468675252,0.0448495112429528,-0.144102592484483,-0.0105883298855541,0.0529740271256709,-0.0409190468675252,-0.0760319802014463,0.0209400445914332,0.101643006175233,0.078744703021082,-0.0402985359747197
"SNAI2",0.0534468272632568,0.0475845930693426,0.00279515629788538,0.0254186961771371,-0.03934370994388,0.0301021150311982,-0.030611066590985,-0.077918941228972,0.000686891732071813,0.03934370994388,-0.0985166867380972,-0.0568521770720456,-0.0255992191243166,0.0700052516739172,-0.0176536121134289
"miR200c",0.0551021380562402,-0.0235083921528807,0.0855617385634672,-0.00807187504558791,-0.022023295837713,0.127943728903131,-0.126893762946395,-0.0419450104163375,0.107678852523862,0.022023295837713,-0.0980413492279243,0.0226354092698661,0.00755073316170166,0.113491076904318,-0.0148921216318018
"miR141",0.0551021380562402,-0.0235083921528807,0.0855617385634672,-0.00807187504558791,-0.022023295837713,0.127943728903131,-0.126893762946395,-0.0419450104163375,0.107678852523862,0.022023295837713,-0.0980413492279243,0.0226354092698661,0.00755073316170166,0.113491076904318,-0.0148921216318018
"SNAI1",0.0842151449683435,-0.0651327770144226,-0.0100239137573234,0.107195522484009,-0.0989584142796971,0.0726936444929897,-0.071924026367908,-0.0984637502485282,0.0577357362637731,0.0989584142796971,0.00593284711511878,-0.0329717329862172,-0.107507755849081,-0.0193296887685331,-0.0226813648148012
"miR34a",0.133283378094259,0.118575674482795,-0.0101237183165453,0.0907835422036018,-0.148424216184993,0.114927044440531,-0.114965268652839,-0.140535868734882,0.155531063784997,0.148424216184993,-0.229818548164647,-0.114214828025718,-0.0906717196852832,0.0435567989053167,-0.079017120326441
