"","ZEB2","TWIST1","SNAI1","FOXC2","TWIST2","miR200a","miR200b","miR200c","GSC","TGFbeta","miR141","ZEB1","miR34a","SNAI2","miR101"
"ZEB2",-0.0941235543572475,-0.0825179977304927,-0.0723685518523223,-0.0451724488246089,-0.0345583875778966,-0.0111086537517937,-0.00685823266276827,-0.00418442228465868,-0.00194204781242662,-0.00154117502610704,0.012589203338434,0.0128574546286779,0.0279130282529656,0.0482189485597909,0.0602315234031026
"TWIST1",-0.0851083082675072,-0.0135190160040028,-0.0041350904041492,-0.118745787384859,0.0526132715341044,0.043763336358721,0.00279610471120317,-0.0432293823940812,0.0212678583059322,0.0214523305548895,-0.0181790377078648,-0.0185153242436986,0.0141769950658362,-0.0635749578853233,-0.0144396165810305
"TWIST2",-0.0749768466369139,0.129189787527958,0.0189847641134946,-0.0587652277162702,-0.0777581325315231,0.0955020164462288,-0.0807798783516854,0.0215056914825705,0.0639521591701816,0.0638474660906771,-0.118725188393013,-0.1187555316678,0.0431240745022458,0.0424260947927398,-0.00189881761382321
"miR101",-0.0184532827884982,0.0297595789718032,0.0209631233165632,0.0286294728986401,0.0485792783877222,0.0026108716515509,-0.0133695070067297,-0.0137934329380346,0.00871545201901062,0.00839876805201613,0.00989055394255214,0.0100736572885356,-0.0132571938534794,0.0304440863977858,-0.0438474498503948
"miR200c",-0.00983936457245719,-0.117773882637057,-0.0963728201825158,-0.0483397249010553,-0.0674552761888967,-0.00726437929374176,-0.0543393798037038,-0.0170979914826275,-0.0829937307132745,-0.0831072082626373,0.0226943635658939,0.0222167273099698,0.0783842739248086,0.0604379079649235,0.0787421701691983
"miR141",-0.00983936457245719,-0.117773882637057,-0.0963728201825158,-0.0483397249010553,-0.0674552761888967,-0.00726437929374176,-0.0543393798037038,-0.0170979914826275,-0.0829937307132745,-0.0831072082626373,0.0226943635658939,0.0222167273099698,0.0783842739248086,0.0604379079649235,0.0787421701691983
"miR200b",-0.00740805569644854,-0.149931470368421,-0.118482644935707,-0.0654493859313065,-0.0808491205752278,-0.00844283592466041,-0.0263195226207591,-0.0161352115636678,-0.0926917047369866,-0.0928075712873886,0.0222770116886358,0.0219280410132803,0.0897038699353853,0.07484768874717,0.0973398589910774
"ZEB1",-0.00462254382300027,0.0651943176280121,0.0646017290634971,0.0648150001415608,0.0911191001746695,-0.00233015912030214,0.000871415602844464,-0.00659315568364204,0.000677681414534565,0.00106670182530941,0.00632943924708235,-0.0939161834063441,-0.0130118325035176,-0.0624331915658236,-0.0633281356847659
"SNAI2",-0.004557632875747,-0.0376156859520233,0.0258269303059755,0.0358851134319874,0.0119888684316521,-0.0215775983979977,0.0133164987428679,-0.0257593448763757,-0.0093889533161843,-0.00957286018232576,0.0471822668500109,0.0468905498054964,-0.0398073389696556,-0.0907366035022504,-0.00662001914081036
"FOXC2",0.00462520926553777,-0.0650001602709418,-0.064776926307374,-0.0645574232155177,-0.0912537892014753,0.00198463101792859,-0.000447014377616579,0.00610409161914347,-0.000893544590490728,-0.000677681414534565,-0.00555947737140823,-0.00632943924708235,0.0124201783339598,0.0630319552347197,0.0628600541082198
"miR34a",0.00800234628010932,-0.115309139012581,-0.0827347343603829,-0.0325514326241225,-0.187464621652513,0.0350635811713671,-0.0315477960505136,0.0421704344580959,0.0170931562745094,0.017358298826552,0.00231268228111772,0.00214188164132306,0.0327439311610643,0.0439070205828783,0.0543358918588539
"miR200a",0.0139346410072671,0.068011671650554,0.056286377174122,0.0387080172523333,-0.0234466777726819,0.0125562227413993,0.0164761539961347,0.0260551782285286,0.0920840067019163,0.0923838263323378,-0.0371202868855515,-0.0373100454755989,0.0409052514369829,-0.0243156614651613,-0.0407930513708846
"SNAI1",0.0522799902418116,0.00967626418734914,-0.094551189455949,0.0222341740239179,0.0111264505277001,0.0162871820324346,-0.0253674011266808,0.0783947424666094,0.0056640824849811,0.00593727511155573,-0.0953412516787105,-0.095263657050361,-0.00497810487952039,0.0433306150552615,-0.0289845559296205
"GSC",0.0590574163731002,0.0971865784253121,0.000753394153403976,0.027086910889697,-0.0157446493082934,0.0412180566819104,-0.0285900379748112,0.106436903357417,0.0105427209194593,0.0104083233424015,-0.141674468772718,-0.141575707465531,0.0603129251622856,-0.0236011657759306,-0.0630361534867455
"TGFbeta",0.0725012028878096,0.102336260754987,0.0707905375696701,0.0279565146852049,0.0648501549157518,0.0262049299979186,0.0576303168948434,0.102156923956524,0.0128753965638781,-0.0872552738884675,-0.124859472112631,-0.124965838735475,-0.0249947410967232,-0.0374861749429303,-0.0536611438010118
