"","ZEB2","miR34a","ZEB1","TWIST1","miR101","SNAI2","TGFbeta","GSC","miR200b","FOXC2","SNAI1","TWIST2","miR200c","miR200a","miR141"
"TWIST2",-0.127056348944278,-0.0347675987086491,-0.161370636659507,0.190764775947337,0.084872611526004,-0.0594504769780941,0.00791895585081661,-0.00787198544217406,0.0773427850317848,-0.143229860720988,-0.117940974491387,-0.0616385196081259,0.0179275600280339,0.0179275600280339,0.161093149610368
"TWIST1",-0.112012798186213,0.070789300003345,0.0769326571462525,0.106708042937412,0.0524243793826119,0.0172474543157551,0.017455941921741,-0.017414502503497,0.0221183569314427,-0.243756953728698,-0.0536912056131033,0.0197243942761087,-0.0907228257624731,-0.0907228257624731,-0.0769090626398833
"TGFbeta",-0.105146642730093,0.0816399370454921,0.0167962154485837,0.0893906441214811,0.00851379446073136,0.0346996626282005,0.103952885852844,-0.203928687620928,0.104203880872459,-0.0319198069717495,-0.0467459666858306,0.0281353132721155,-0.0614745383578775,-0.0614745383578775,-0.0167030269914017
"ZEB2",-0.0809928803120211,-0.0597961736127895,-0.055420059249815,-0.0210119440121279,-0.00931341386835732,-0.00674553234042276,-0.00495526162211464,0.00502122802999001,0.0052026770511504,0.00661177490583971,0.0255108940588737,0.0260826251307782,0.0370773378688722,0.0370773378688722,0.0550801415666302
"SNAI2",-0.0628156742638648,-0.0639606354521617,-0.115693603666894,0.101777852640258,-0.0135640279507296,-0.0661237459895184,0.0119805389063248,-0.011897566971368,0.0799902993512723,-0.0286010212338848,-0.010431742433553,0.0470787079703875,0.0282180385054536,0.0282180385054536,0.115359686452909
"miR200c",-0.0387013135079332,-0.158390166261245,-0.266411983520507,0.106186801655661,-0.0336804622490744,0.0898471121094313,0.120123004597826,-0.120085975081718,0.180664750547771,0.00626481927588871,-0.0238334938266846,0.117019054773907,0.116568119592356,0.116568119592356,0.265909354669796
"miR200b",-0.0387013135079332,-0.158390166261245,-0.266411983520507,0.106186801655661,-0.0336804622490744,0.0898471121094313,0.120123004597826,-0.120085975081718,0.180664750547771,0.00626481927588871,-0.0238334938266846,0.117019054773907,0.116568119592356,0.116568119592356,0.265909354669796
"FOXC2",0.011365065299358,0.351754831802924,0.385428380136011,-0.0321675014110962,0.111597905111735,-0.116376634336364,-0.00500565456534974,0.00489495550075684,-0.303134289575162,-0.0971133665538778,-0.10572369237304,-0.274334043706676,-0.299408196444888,-0.299408196444888,-0.383842536328277
"ZEB1",0.011728453965304,0.352512119296116,0.286370267821293,-0.033192054849175,0.111480588463436,-0.116332980099478,-0.00514129984015939,0.00500565456534974,-0.303942497125813,-0.096494873456014,-0.106606733514997,-0.276045386635502,-0.300327868395761,-0.300327868395761,-0.385428380136011
"miR101",0.0257359646262122,0.110379280892848,0.140333428582208,0.00298272748872251,0.133917288082255,-0.093992599317291,-0.0108374686902353,0.0108515435332128,-0.108362471242259,-0.152984596992771,-0.069092430197542,-0.101321504059498,-0.06038635264398,-0.06038635264398,-0.140067127440284
"miR34a",0.0281522744948584,-0.0728895915284679,-0.156175532322811,-0.0802192111939701,0.0386607217249755,-0.0564158684803965,-0.0176156301104307,0.0176793371309443,0.0276704376361211,-0.0413902073614077,-0.00636160481329968,-0.146598525116362,0.144720844965435,0.144720844965435,0.155899514714303
"miR200a",0.0286053449124475,-0.281249743404242,-0.306696308466779,-0.0781979464538242,-0.0435721861262794,-0.00881462871680231,-0.115502659025583,0.115561189551044,0.0762696108096286,0.0312462604676198,0.0970532866545813,0.128750198298363,0.170398080779964,0.170398080779964,0.30582434460422
"miR141",0.0286053449124475,-0.281249743404242,-0.306696308466779,-0.0781979464538242,-0.0435721861262794,-0.00881462871680231,-0.115502659025583,0.115561189551044,0.0762696108096286,0.0312462604676198,0.0970532866545813,0.128750198298363,0.170398080779964,0.170398080779964,0.30582434460422
"SNAI1",0.0593733196899212,-0.00823492935025937,0.122279049797463,-0.0154842458174171,-0.10733989942177,0.0642216046969878,-2.11238947021348e-05,4.61037720231818e-05,-0.0432081397417028,0.132196796037516,-0.056029009917276,0.0461686465281898,-0.0280504097477887,-0.0280504097477887,-0.122143645625283
"GSC",0.0883747566788139,-0.150869160561687,-0.276712630541214,-0.079128754193036,0.0746963790563681,-0.0317817844829351,-0.0166612654943949,0.0167691621407653,0.0717526051742182,-0.072788859301503,-0.0250399500683709,0.0544801277337637,0.194410673251468,0.194410673251468,0.275954477819873
