"","ZEB2","miR200b","miR101","miR200c","miR200a","GSC","SNAI2","TGFbeta","ZEB1","miR141","TWIST2","miR34a","FOXC2","TWIST1","SNAI1"
"GSC",-0.198518638068683,0.0126851210770135,0.326638388579829,0.121453095001204,0.121453095001204,-0.00489980145393319,0.187990648761974,0.00497236352605358,0.0635532113493793,0.0636224916693462,0.171113187471737,0.150676186807772,-0.191030943932703,-0.460387685183429,-0.372429297640234
"miR101",-0.1575835444296,0.0362183886846538,0.313402498141815,0.0671274198358088,0.0671274198358088,0.0128308081962405,0.166957683646726,-0.0127727494689582,-0.0152075097686704,-0.015287638793449,0.139489616674658,0.0978744846686331,-0.17148689333867,-0.347301165629486,-0.36169684642539
"ZEB2",-0.0798974569226011,-0.0266716328722157,-0.0216856461712899,-0.0103098032131706,-0.0103098032131706,-0.00691959149953556,0.00233729055696014,0.0071479367575657,0.00908599373913334,0.00911336631977048,0.0165742921501227,0.0232045726379264,0.0298250189991824,0.0314058875121029,0.0467539848852532
"miR200c",-0.0473830884896094,0.0774756439722903,0.0960880993668971,0.0186995489125752,0.0186995489125752,0.121882413958944,-0.0352766296903166,-0.122124897564425,-0.00611594835879884,-0.00604189622609742,-0.00834068871162062,0.0332385432749272,-0.127771668887338,-0.164699865126082,-0.231472744401344
"SNAI2",-0.0460835159544108,-0.198993175549239,0.20795958956198,0.0383193121610812,0.0383193121610812,-0.203808750323621,0.121355423560326,0.203679587826936,0.0315417155327681,0.0315775521846201,0.218768682953001,0.0152963055407584,0.0579811980955806,-0.120615100326775,0.0072742241776273
"miR200b",-0.0236471338093922,0.020872297223787,0.0875357671716057,0.017884161683812,0.017884161683812,0.108377127479947,-0.0351657743001586,-0.108827454175839,0.0151491514441658,0.0153574230673885,-0.00174499070990555,0.0489782437863009,-0.115049952320882,-0.151239928875102,-0.213334750661884
"miR34a",-0.0104776124652069,0.112711756365094,0.0331074893967904,-0.104322097238448,-0.104322097238448,0.0672089552933517,-0.0984696534137738,-0.0673187740620467,-0.114297915289946,-0.114222423294457,0.0100007622487399,0.0157501523250144,-0.10183450078562,-0.12026539539204,-0.174244215026117
"ZEB1",-0.00926684364211228,0.0167690709484916,-0.00823743433458742,-0.00451531175566945,-0.00451531175566945,0.00551855756008124,-0.0769290663539235,-0.0057911277821044,-0.109952182830479,-0.00996772222283854,0.00553952645614526,-0.0142716477095229,-0.0655610341597382,-0.0532375150233199,-0.0559952124216569
"FOXC2",0.00930267903622757,-0.0169554384430482,0.00804901668731947,0.00461543966473247,0.00461543966473247,-0.00570674596988918,0.0770417050639139,0.00551855756008124,0.00996772222283854,0.0103126565998742,-0.00581418643237661,0.0144454880897335,0.0658833909114927,0.0535302445770567,0.0561186735666709
"miR200a",0.0334685859472294,-0.00652524766075178,-0.0808792659219373,-0.0143437197659731,-0.0143437197659731,-0.108951302445066,0.0827181752430098,0.109239177070291,0.0021074984868551,0.00219821234941434,-0.0233793489535107,-0.134602025099944,0.12604288874777,0.19128561868194,0.245775190684411
"miR141",0.0572045406274467,-0.0631285944092551,-0.0894315981172286,-0.0151591069947364,-0.0151591069947364,-0.122456588924063,0.0828290306331678,0.122536620458877,0.0233725982898197,0.0235975316429003,-0.0167836509517956,-0.11886232458857,0.138764605314226,0.20474555493292,0.263913184423871
"TWIST2",0.102303386498977,0.0149523932369872,-0.156350781364573,-0.0533463827620562,-0.0533463827620562,0.00724926845668195,-0.144715421438021,-0.00726907525550713,-0.00758169052073644,-0.00742821511637933,-0.154053643348634,-0.0630482431182922,0.0877910655814654,0.0935478174416512,0.164920728980694
"TWIST1",0.152686649086932,0.0103532698589842,-0.285371027647281,-0.063046657466378,-0.063046657466378,0.00245807763642787,-0.255782651828025,-0.00247144519070014,0.000228135893848885,0.000351812592069963,-0.227652904123062,-0.0815336610906827,0.0324430676966618,0.314315056022448,0.315803908615965
"TGFbeta",0.159686203067933,-0.136228196530431,-0.192790336545735,-0.0682065219079722,-0.0682065219079722,-0.215316168497467,-0.00488893579998019,0.115492008982722,0.0150598673808635,0.0148348972670606,-0.0355213878283165,-0.199937128711894,0.176735772230586,0.300352662602648,0.386252486620175
"SNAI1",0.197621709387618,-0.0304715749053987,-0.375504569115588,-0.048094227902239,-0.048094227902239,-0.0220459516066196,-0.224869281767968,0.0221605418375051,0.0900798125643103,0.0899267873012305,-0.211107663706331,-0.181963311502035,0.183112223115521,0.416042960858544,0.330621492189317
