"","ZEB2","miR34a","miR141","FOXC2","GSC","TGFbeta","miR200a","miR200b","TWIST2","ZEB1","miR200c","SNAI2","miR101","SNAI1","TWIST1"
"miR101",-0.100686686061645,-0.00655312365692941,-0.00532988206659943,-0.123959168929504,0.037230018122547,0.0372071465027085,0.0532265583921938,-0.0198591920046559,0.0533799110532682,0.00443209601450533,-0.047193908548089,-0.0812669681863018,0.0208222170090221,0.0176280044779312,0.0352662406295869
"ZEB2",-0.0919887107170495,-0.0424556960353482,-0.0105180299854569,-0.00468764193222555,-0.00191475926532566,-0.00158746439548246,-0.00121852403476829,0.00265727517606991,0.00296990222028781,0.00916283840227661,0.00996721667027189,0.0411299465472756,0.0454038721218345,0.0475914631809328,0.0558112545798694
"SNAI1",-0.0538015756325905,-0.0293332013459769,0.0589903624017112,-0.107486086375311,0.015604724911148,0.0158557132023262,0.00707212253651827,-0.0158695599260816,0.0515537930267013,-0.0586815295980411,-0.0561771505333728,-0.0571568235674167,0.026488344724699,-0.0924192953565749,0.0181631139504984
"SNAI2",-0.0393160995764414,-0.0362864181047328,-0.0284684591053804,-0.0387826599159767,0.0123438225151186,0.0126098459354442,0.0342608273623919,0.00565643001480913,0.0294430000470392,0.0293248546080481,-0.00542345895632254,-0.119603816175831,0.0180963458814681,0.0558858743548662,-0.0272852969299124
"miR34a",-0.0193178343345499,0.00949028353783258,0.0126159243549323,0.0927766951400944,0.0197640585976924,0.0199114948451669,-0.0385737254337896,-0.056303846460525,-0.175476392279264,-0.012480982412995,-0.0555326472877078,0.0437237650149881,0.00606398761842918,-0.00264851257732212,-0.0652962993465939
"ZEB1",-0.0117830170701462,0.00298768730996467,0.00550842858176446,-0.08982701255777,0.00317395217282399,0.00308437510455347,0.000297903251879911,-0.00574276469950974,0.0854604213768206,-0.105110419629069,-0.00663278825655033,-0.0727391335453665,-0.00298051649728694,0.0631985273339939,0.0751304396835799
"miR200b",-0.0113714989710824,0.0133887746968195,-0.00616954022434943,0.0151420666627464,-0.079409830210292,-0.0790670085611646,0.00906928360011339,-0.0647332058841726,-0.042667597272012,0.00611492677648213,-0.00190939437956136,0.0615721947998756,0.0385766070846819,0.0164327563268686,0.00935973204572775
"miR200c",-0.00618757332960083,-0.103846499082901,-0.0113835559479178,-0.0176892335607838,-0.090702567115955,-0.0907013726154354,0.00916034308392071,0.00490138925351991,0.0445138990340565,0.0119898577844107,0.00296322953919323,0.0308063317760736,0.0504440612478547,0.0700253009445555,0.0905805809815657
"miR141",-0.00618757332960083,-0.103846499082901,-0.0113835559479178,-0.0176892335607838,-0.090702567115955,-0.0907013726154354,0.00916034308392071,0.00490138925351991,0.0445138990340565,0.0119898577844107,0.00296322953919323,0.0308063317760736,0.0504440612478547,0.0700253009445555,0.0905805809815657
"miR200a",0.00618757332960083,0.103846499082901,0.0113835559479178,0.0176892335607838,0.090702567115955,0.0907013726154354,-0.00916034308392071,-0.00490138925351991,-0.0445138990340565,-0.0119898577844107,-0.00296322953919323,-0.0308063317760736,-0.0504440612478547,-0.0700253009445555,-0.0905805809815657
"FOXC2",0.0118466915307643,-0.00218712624573326,-0.0048815664166872,0.0900753352229972,-0.00300236862270499,-0.00317395217282399,-0.000563560536619376,0.00550565358019764,-0.0847262341326638,0.00550842858176446,0.00621896481735923,0.0728970433158315,0.00216641005909149,-0.0625553535594927,-0.0763073319710523
"GSC",0.0286535568617929,-0.0300020902684125,0.0545711183245584,-0.133301507140593,-0.0239245758522095,-0.0242015736753473,-0.0428926165563056,0.011976935759546,0.0424088603154811,-0.0540719069409665,-0.00495107097799053,-0.0589053581252867,0.0714262458169784,0.0992769065249504,0.0207972796218754
"TGFbeta",0.0724875045946538,0.0674737409741294,0.0158457332485057,0.00429355681462566,-0.019198084622708,-0.11880446005021,-0.0474062893043926,0.0936803058405181,0.0308083223284219,-0.0154921191365729,0.0291405591137432,-0.0295885888981557,-0.024550647297198,-0.0169168532131608,-0.0279882655869217
"TWIST1",0.0912625556688748,-0.000109515954711308,0.00442890926739636,0.00146066126799385,-0.0230756152653498,-0.0230716049990681,-0.0384021614522687,0.00802794785667188,-0.101229002746208,-0.00398891061565387,0.0534633757113312,0.0801457086222473,0.0259768940057146,0.00850366785129221,-0.0992173365508935
"TWIST2",0.127566886444031,0.0641205799881843,0.0529331575594199,0.0350747620552533,-0.0323847343143294,-0.0324498137961835,-0.0897351991585447,-0.0145469890871149,-0.134656217129732,-0.0527554954867544,0.0382801962565296,0.115020731855408,0.0191048750878752,-0.0809438568299066,-0.0342464183543381
