"","ZEB2","miR34a","miR200b","miR141","TWIST1","FOXC2","GSC","miR200c","SNAI2","miR200a","miR101","TGFbeta","SNAI1","ZEB1","TWIST2"
"miR101",-0.126972179242795,-0.0749412116452838,0.00670043314713314,-0.0830436652304066,0.048806052087834,0.181727223049294,-0.0441670369916785,0.101810849837503,0.0309987893472611,-0.101810849837503,0.0825771895183029,0.045493590942311,0.0906354667643271,0.083513187218152,0.0717274852731684
"TWIST2",-0.116920073946599,-0.00449876135733833,0.0136407671034541,0.0269510262973029,-0.0188973563274269,-0.0243388406505824,-0.0203815390237059,0.0439034180391969,0.0911725324142074,-0.0439034180391969,-0.0276507158939906,0.0213656539710481,0.0149903280771078,-0.0265596420283119,-0.0902726508122671
"ZEB2",-0.0918856638132665,-0.0410144180813216,-0.0254556546784487,-0.0143891477981275,-0.0130464621302315,-0.0103715727113214,-0.0033620394696409,-0.00164151628527589,-0.000707476908549815,0.00164151628527589,0.0019745115883447,0.00268715237368515,0.00706588547026112,0.0138123328716104,0.0265756393190059
"TGFbeta",-0.0900120096566364,-0.111590801149033,0.0863381674572499,-0.0718814250166372,0.0491465950937787,0.140906594204518,-0.0354777468498374,0.0783674115973919,-0.0347288646251187,-0.0783674115973919,0.0546455231606814,-0.0617797868663657,0.0576007142588735,0.0731499803445382,0.103252967704221
"SNAI1",-0.0821551468869283,-0.117332558335707,-0.00685976092486489,-0.0746949462151431,0.0294940368570579,0.162178430504502,-0.0353549592418385,0.0796432713640702,0.0439692722276598,-0.0796432713640702,0.0592458736877418,0.0334790894068246,-0.0251098390298001,0.0737854506111416,0.0481146742243486
"ZEB1",-0.0380708204743518,-0.0217797650953197,0.0165610349729977,-0.004677272321434,0.0192886359727939,0.123746608996562,-0.00474455889491239,0.0176731738108559,-0.0779963605258023,-0.0176731738108559,0.0942495800689128,0.00486868711808726,0.111384350198573,-0.0951728477329037,0.0983284122190374
"FOXC2",-0.0378472194614836,-0.0214925181151434,0.0163765127011595,-0.0048128966740146,0.0183895380577452,0.123254590796516,-0.00480544338043849,0.0178763234991861,-0.0787374046704756,-0.0178763234991861,0.0930538982695836,0.00474455889491239,0.112193314653522,0.004677272321434,0.0979375499451697
"miR200c",-0.00483395291231989,0.0171028152356466,0.0689999125588189,0.00734376869749434,0.0483054682745337,0.0838895516596567,-0.0864104792518241,-0.000362032471387899,-0.0260721727663466,0.000362032471387899,0.0211232257468484,0.0848731570830889,0.024613341127342,-0.00813057260744695,-0.0140458654466559
"miR141",-0.00483395291231989,0.0171028152356466,0.0689999125588189,0.00734376869749434,0.0483054682745337,0.0838895516596567,-0.0864104792518241,-0.000362032471387899,-0.0260721727663466,0.000362032471387899,0.0211232257468484,0.0848731570830889,0.024613341127342,-0.00813057260744695,-0.0140458654466559
"miR200a",0.00483395291231989,-0.0171028152356466,-0.0689999125588189,-0.00734376869749434,-0.0483054682745337,-0.0838895516596567,0.0864104792518241,0.000362032471387899,0.0260721727663466,-0.000362032471387899,-0.0211232257468484,-0.0848731570830889,-0.024613341127342,0.00813057260744695,0.0140458654466559
"TWIST1",0.00643492337621478,-0.0576872305948846,-0.00645394726453472,0.0061187530047906,0.0409186889706839,0.227626947717085,0.00453696799877997,-0.00695306090912895,-0.0275025332308595,0.00695306090912895,0.0437162971845824,-0.0027831448782581,0.0479415525930132,-0.00522760664884543,0.0937977273603513
"SNAI2",0.0351610509544875,0.00997064695104684,-0.00730757244826405,0.00480685932921209,0.0489055599713523,-0.0108069239196188,0.00868166398233883,-0.0208724699627882,-0.103114203385761,0.0208724699627882,-0.0171848261167832,-0.00669119292414728,-0.045580063217242,-0.0039363971033876,-0.00230766344590624
"GSC",0.0366276557713324,-0.00229917795255171,-0.0120994013496171,0.0586232918576388,-0.0639692587388489,-0.122079738993798,0.0196871612666789,-0.0497022220482028,0.051896824134963,0.0497022220482028,0.0478453551582441,-0.0179387308158476,0.0360851558034277,-0.0577285438955121,-0.0213040953072336
"miR200b",0.0372158503238767,0.102609334581139,-0.0525149773015797,-0.00373330228651412,-0.0640838440221822,-0.144097246847853,0.0978259178426481,-0.0173447881861059,0.0750769340171316,0.0173447881861059,-0.0822378290919034,-0.0962360376510503,-0.100548703414789,0.00463766395713024,-0.0838228110357394
"miR34a",0.0940969743619335,0.0235110796848073,-0.0777960595843381,-0.0693084207976285,0.00876169712319373,-0.109939541992642,-0.0299678851311393,0.0446525032445981,0.0158414911358093,-0.0446525032445981,-0.0583089926794057,0.0288533156389146,-0.112881652986049,0.0687243014825296,-0.160814972062684
