"","ZEB2","SNAI1","miR101","ZEB1","TGFbeta","GSC","miR200c","SNAI2","miR200a","miR141","miR200b","TWIST2","miR34a","TWIST1","FOXC2"
"TWIST1",-0.098242874072317,-0.0108951600423285,0.0321975861080345,-0.0683577979748507,-0.000586499456525834,-0.000611897809643148,-0.0803001520259171,-0.10932222753376,-0.0182822944225381,0.0683933193745494,-0.0472193320007877,-0.0726382925781429,0.0541335077160189,0.0205880466757967,0.191737239257487
"miR101",-0.0916142251085479,-0.0154135338714063,-0.0154690222763488,0.016316491699376,0.00720845343164836,0.00722076891925371,-0.0372287492881907,-0.0843984229157172,-0.0554374192968895,-0.0163427467415375,-0.0824325713836426,-0.0146393443639651,0.0244547550856639,-0.00114993288089547,0.0951093837798694
"ZEB2",-0.0912588927570179,-0.018472716056215,-0.0113547617428309,-0.00911455336221676,-0.00037450057461636,-0.000356740387880683,0.0014341605241257,0.004230764272992,0.00841811517568414,0.00909215761442274,0.0122715537979611,0.0136158439488774,0.0260741537254093,0.0263932275129278,0.0281501964618813
"TWIST2",-0.0784771247508879,0.00761045602772605,0.0507526250392221,-0.0670503130937362,0.000487739675834227,0.000481514681917744,-0.0720987668183306,-0.0801261682599445,-0.0050542937237829,0.0670679033979606,-0.0292457479937037,-0.0824060502159427,0.0174429844695563,0.0354632472178225,0.0380622318044084
"miR200c",-0.0175612108947508,-0.0645532042512194,-0.031466610190995,-0.0242623803425157,-0.0875146629648338,-0.0875373584747064,-0.0211127429298255,-0.00141287737061525,0.00428895604294091,0.0243160681387242,0.023876820339062,0.0435769852941177,0.110400982521072,0.1067672590174,0.11466694973218
"miR200a",-0.0175612108947508,-0.0645532042512194,-0.031466610190995,-0.0242623803425157,-0.0875146629648338,-0.0875373584747064,-0.0211127429298255,-0.00141287737061525,0.00428895604294091,0.0243160681387242,0.023876820339062,0.0435769852941177,0.110400982521072,0.1067672590174,0.11466694973218
"miR141",-0.0175612108947508,-0.0645532042512194,-0.031466610190995,-0.0242623803425157,-0.0875146629648338,-0.0875373584747064,-0.0211127429298255,-0.00141287737061525,0.00428895604294091,0.0243160681387242,0.023876820339062,0.0435769852941177,0.110400982521072,0.1067672590174,0.11466694973218
"miR34a",-0.0117979432039073,0.0774604152688808,0.0712136647122474,-0.0691768515871154,-0.0141865448343991,-0.0141992862385018,-0.0865380531875685,-0.0704221740204335,0.076271316597874,0.0692108229850857,-0.00362769221526064,0.0151049916318026,-0.0105696689977388,-0.0114213097508656,-0.082593595184436
"ZEB1",0.00189911166665019,-0.0818007687398681,-0.0813755374452273,-0.0861048202231779,0.000602051788824269,0.000585416047574029,0.00978379738054811,0.0813507942235234,-0.00801602799573352,-0.0138615946384964,-0.00562809475712499,-0.0136839577383496,-0.0077643643793809,8.93662248452538e-05,0.0903190757350858
"FOXC2",0.00190888495595436,-0.0818066478420117,-0.081362502262083,0.0138615946384964,0.000585416047574029,0.000629695673411191,0.00979247899116051,0.0813168409281674,-0.00806406624112213,-0.0139139221446102,-0.00566038615469668,-0.0136126517829819,-0.00781882939120652,2.6638463330229e-05,0.0903483808943362
"miR200b",0.0175612108947508,0.0645532042512194,0.031466610190995,0.0242623803425157,0.0875146629648338,0.0875373584747064,0.0211127429298255,0.00141287737061525,-0.00428895604294091,-0.0243160681387242,-0.023876820339062,-0.0435769852941177,-0.110400982521072,-0.1067672590174,-0.11466694973218
"SNAI2",0.0218742568110383,0.0490006526582946,0.0188504633509312,-0.00406242650137709,-0.00139943689913375,-0.00142082141845253,0.00870496644938185,-0.085324852249799,0.0131253896574739,0.00409692346530934,0.0146401789564118,0.00210484059368366,-0.0147478717044588,0.0271420365094221,-0.0328069904717172
"SNAI1",0.0635010574586446,-0.0919489033690111,0.00648460180749017,0.0934050916986276,0.0030979615497126,0.00310153010361561,0.0821524856266434,0.0948620150561544,-0.0103506349107917,-0.0934057099825189,0.0255309454206184,-0.0018561292747339,-0.0975405295107318,-0.00610663584443243,-0.0869339790493528
"TGFbeta",0.0859812196254787,0.087087521633025,0.0329194834213751,0.100005209585728,-0.0965530481639042,0.00343243289694628,0.094008425104832,0.0206452517125114,-0.00609728723424264,-0.0999741467666678,-0.0653694926560506,-0.066298372199631,-0.143377646462659,-0.111374532798623,-0.139101357494613
"GSC",0.124458110551618,0.0769884953965079,0.0351639273892184,0.0996860061904448,-0.00922811330958556,-0.00922748233504538,0.110542850136358,0.107975457378692,0.0107198410159316,-0.0996727397461958,0.0314859587699937,0.00631400824242139,-0.0950346619465793,-0.183109698123377,-0.209774832684653
