"","miR200b","GSC","ZEB1","miR141","miR34a","SNAI2","TWIST2","TWIST1","miR101","FOXC2","SNAI1","TGFbeta","ZEB2","miR200c","miR200a"
"miR200b",0.0974042653665906,0.121437840725225,-0.0146349300047972,-0.0147663725403422,-0.105132510235948,0.0951744801688766,-0.0985833870578534,0.0680327100970492,-0.0807446214180598,-0.0964680820923945,-0.0655368217279373,-0.121310029169627,-0.262155113512403,-0.122170712286355,-0.122170712286355
"miR200a",0.0974042653665906,0.121437840725225,-0.0146349300047972,-0.0147663725403422,-0.105132510235948,0.0951744801688766,-0.0985833870578534,0.0680327100970492,-0.0807446214180598,-0.0964680820923945,-0.0655368217279373,-0.121310029169627,-0.262155113512403,-0.122170712286355,-0.122170712286355
"miR200c",0.139279852428483,-0.0607090058795732,-0.0114167891506841,-0.0114445587004472,-0.0138374048046342,-0.0113531928799661,-0.0193368639839754,0.0141249620552125,0.0609604291842025,0.099904008512805,0.109768277618994,0.060679143366583,-0.22188126468211,-0.104782924964785,-0.104782924964785
"GSC",0.0959335802929846,0.0245673144269529,-0.0184321239635204,-0.0185161447770974,-0.039911156405118,0.0186586840557045,-0.032238486409819,0.0433340171632162,-0.0916734416878276,-0.145672020142864,-0.0594908455691723,-0.0245237771836807,-0.203139815397066,-0.0899077737276565,-0.0899077737276565
"miR101",0.0287441579722506,0.0257249937567292,0.110680198037123,0.110717364265637,0.0371505468836183,-0.0865198668843119,0.039189404114086,-0.0147616059532073,-0.00988883429012513,-0.0163659514172896,-0.00865722770105592,-0.0258182395914554,-0.133581592990528,-0.126286458524167,-0.126286458524167
"TWIST1",-0.0216049658262995,0.0104339260240979,0.13825205335264,0.138288611873498,0.0535810775326766,0.0309579389217444,-0.0505329624138391,-0.0112824900932467,-0.00983504744452406,-0.107034622187004,0.00799855600500911,-0.0105301724148583,-0.132382372333566,-0.132526690694328,-0.132526690694328
"FOXC2",0.0554710531360875,0.00984711286336473,-0.0341163923798422,-0.0343224986794331,-0.0266492830295055,0.114060369665184,-0.121947755692937,0.103565796346439,-0.0118109160152398,0.0779350967379879,0.0900896250268057,-0.00971980893908289,-0.119627673351527,-0.0276402317135009,-0.0276402317135009
"SNAI2",-0.0246075889215469,-0.0114687524252083,-0.0214987092935311,-0.0215961715896892,0.00648834740674568,-0.0143721510463117,-0.0881895921364189,0.109268892253356,-0.0133252530509259,0.0129751193899454,0.0535734793896993,0.0114884261829816,0.0320833043787985,0.0272837635861474,0.0272837635861474
"SNAI1",-0.0247099867962471,-0.0149206747116052,-0.0521742559631795,-0.0521770382406901,0.0207839731067858,0.0580347716029709,0.00451945709760119,-0.00313237961507456,0.0182556940752044,0.0186566146959064,-0.100089930222418,0.0149551707326676,0.0439309237989946,0.0481651727629536,0.0481651727629536
"miR34a",-0.0145454492420775,0.0195618796569508,0.131912154523248,0.131909323573417,0.0187850602902435,-0.156148558225108,0.241236413127556,-0.145494901309545,0.0313949332433454,-0.0400150427054925,-0.101475234926052,-0.019606171204546,0.0606258868170213,-0.0925263488468839,-0.0925263488468839
"ZEB2",-0.167710709798279,-0.0615689160329878,-0.0392277837733,-0.0392183277908981,-0.0246927197111333,-0.0171735117860834,-0.00552761565716348,0.00347127106113465,0.0311080410898094,0.0435241538232942,0.0450173219748353,0.0615816018806562,0.0733700561986362,0.203663835397599,0.203663835397599
"TGFbeta",0.0443644768733212,-0.0206676171410387,0.00358396602841505,0.00349077757123311,0.0906546911504042,-0.047368124696808,0.0943572006685559,-0.0518558965320053,0.0608152592131708,0.0961477927010428,0.0767798377442211,-0.0792839863951295,0.0995850285849879,0.0478137168502074,0.0478137168502074
"ZEB1",-0.0552929891437636,-0.00971980893908289,-0.0658039055754746,0.0341163923798422,0.0265261771808586,-0.114058752841595,0.122016420686995,-0.103476185258561,0.011826321231683,-0.0778225032313942,-0.0901084381536649,0.00975052107677564,0.119671208912973,0.0276315501028885,0.0276315501028885
"miR141",-0.0532842149019911,0.0700508021564215,-0.0356275430185681,-0.0357784242389473,-0.116498878845336,0.0902288582465191,-0.100590493836301,0.0693473846831588,-0.0708909333123878,-0.0790688980020986,-0.0503237998791167,-0.0699110455956274,0.124417236149198,0.0827133698125516,0.0827133698125516
"TWIST2",-0.0307722456522711,-0.00363047008416496,0.061078696286796,0.0610611059825717,0.0077863124546005,-0.131904788589237,0.120229495866762,-0.192287676942288,0.0460998384707012,0.0778025047427793,-0.0281450396623855,0.0035642587852351,0.164014398745335,0.0500263288815231,0.0500263288815231
