"","miR200a","miR200b","GSC","TGFbeta","miR141","miR34a","FOXC2","ZEB2","TWIST1","SNAI1","TWIST2","miR101","ZEB1","SNAI2","miR200c"
"miR101",0.105717886120054,0.0824051930558798,0.0188055243967362,0.0187386688925929,0.0243736340121595,-0.0284578419913968,0.0631427766916239,-0.182435152702987,0.0223786484451167,-0.0581604990074384,0.0187642319833699,0.126924040426107,-0.0242055335474111,0.0951087518776519,-0.0785604425090191
"miR200c",0.115962375359077,0.0691594951652042,-0.0867752950622484,-0.0868529375960229,0.0463795364545077,0.12879492782401,-0.0741228974541446,-0.181587550747837,-0.0250809884120419,0.065922802868284,0.0935404622456844,0.00144885904511427,-0.0460814766203845,0.0695359149426801,-0.0674169144971225
"miR141",0.115962375359077,0.0691594951652042,-0.0867752950622484,-0.0868529375960229,0.0463795364545077,0.12879492782401,-0.0741228974541446,-0.181587550747837,-0.0250809884120419,0.065922802868284,0.0935404622456844,0.00144885904511427,-0.0460814766203845,0.0695359149426801,-0.0674169144971225
"ZEB2",-0.156249060482404,-0.125356296368489,-0.0536204362842459,-0.0535646185545052,-0.0317238587299149,-0.026269461162625,-0.0262265704126238,-0.000273887194445216,0.0114759796393044,0.012438749301979,0.0143333310584684,0.0201031243391469,0.0318139394043752,0.0533626531795598,0.129495626072318
"SNAI2",0.0601077503776168,0.218382169164977,-0.223304827414953,-0.223367270211364,0.120406653455393,0.0371584493651389,0.0925311545185684,0.000880606990699257,-0.102611779281104,-0.108732913050335,0.412590965148943,0.393085201485673,-0.120648802046879,0.366305366157682,0.0627883812685934
"TGFbeta",-0.0142582938459843,-0.10181074989301,0.203514182529701,0.103580324363605,-0.0238963913894902,-0.0673389790099534,0.0600036923810993,0.00153915637169898,-0.0186236556252291,0.000192805468179276,-0.153749101926969,-0.0729195821538882,0.0236488301345523,-0.147668788310954,-0.0126488393122463
"FOXC2",-0.0399026906862549,0.0257909830960511,-0.00738605366769692,-0.00737498376123763,-0.043598143828062,-0.0525025199658603,0.091622336615812,0.0335512528531338,0.0939560620634778,-0.0923384981323437,-0.0157953332761338,0.10698462444624,0.042595377945596,0.116188448033001,-0.0131609955772297
"ZEB1",-0.0389633404179931,0.0259026190705132,-0.00737498376123763,-0.00746712017431588,-0.042595377945596,-0.0504231502678054,0.0873977665533457,0.034004674244791,0.0907718814075247,-0.0951957417740948,-0.0166404408953072,0.105383666952787,-0.0568206416641146,0.115780469547534,-0.0130134081968189
"TWIST2",0.0283972664675745,0.0279755791002147,-0.0350780324936944,-0.0350853893046866,0.100728640189211,0.0268350755859455,0.070127577977314,0.0450197168843716,-0.0899035030289469,-0.0661477258190947,0.206364557526488,0.184148739863907,-0.100927410626946,0.262526957358627,0.07570069621107
"miR34a",0.0956893036633066,-0.149740409000192,0.0211619358841951,0.0212001600965033,0.137933701473099,0.1091084901829,-0.0698512114420952,0.0702709089484411,-0.056257789444425,0.0767561603643605,0.0050461956823208,-0.13639261605732,-0.137535953021865,-0.168768690002092,0.149358622429219
"TWIST1",-0.0998198528058048,-0.0276280881295583,0.00258604706821946,0.00268095670355258,-0.110574305712784,-0.0898215979830425,-0.0809647683058219,0.0890020598941057,0.143481863454231,-0.0291835002715719,-0.163441028041446,-0.0288539769590915,0.110092303654099,-0.122847014619294,-0.00926280984355055
"SNAI1",0.00668041459967884,-0.110255093050009,0.00440159470773224,0.00447415530376004,0.105477387262931,0.139390549026342,-0.0682963431184774,0.0916453791490622,-0.0521605308055919,-0.015946962378429,-0.0112813957353337,-0.170046476699341,-0.105661326720573,-0.15069388092172,0.099454198166921
"GSC",0.0113246387120488,-0.115299890009805,-0.0132290300669186,-0.013180445027325,0.122416378943278,0.132187217936485,0.094506852309621,0.103210078067671,-0.257558377100236,0.164025997827718,0.0505231463318517,-0.1426946965999,-0.122203624485507,-0.0241357510344819,0.114078058687751
"miR200b",-0.0617951614706159,-0.0595180803131752,-0.133386816329691,-0.133347397812544,0.0285797313457854,0.116449581185834,-0.0840968946910556,0.151080961125589,-0.0203262650794026,0.0692350238798956,0.0986230458344979,0.00907169960770926,-0.0284232962154537,0.0873483058562416,0.0917245710181599
"miR200a",-0.0730426237677534,-0.1269933560379,0.0941532423981113,0.0942213289277289,0.00912478946957825,0.0297432195577167,0.0414660459486727,0.152914568732352,-0.0506990619722346,-0.00157074508983043,-0.0577150749276314,-0.0754054943927794,-0.00855366239611853,-0.150441278252461,0.0818247640405768
