"","miR200c","SNAI1","miR200a","ZEB1","miR34a","SNAI2","TWIST2","miR101","miR141","TWIST1","ZEB2","FOXC2","GSC","TGFbeta","miR200b"
"TWIST2",0.215057491190928,-0.241765959200096,0.0581932818290673,0.154927881706368,0.18609758821872,-0.0405230557551667,-0.00678053816582409,0.125643456532963,-0.154754177452153,0.0763568466367382,-0.281138511917289,0.132741120554159,-0.14993819146218,-0.149673912174998,-0.166061250251297
"miR101",0.115060653327188,-0.19172231077997,0.122650119634587,-0.0065622514416442,0.0909241807792568,0.130552092428728,-0.0857025853575674,0.0804395345589686,0.00664101656812871,0.20838312342192,-0.242394114960792,0.206500254929644,-0.0855480035803521,-0.0857169016960825,-0.0669479594472975
"miR200a",0.139789411270883,0.213452369847574,0.0765406275725377,0.0600560867124996,0.0116424277408602,0.0132943003606381,-0.0117747257635424,-0.111253961111018,-0.0599301980869072,-0.158646567379094,-0.216928589376109,-0.249351634654865,-0.197000327210293,-0.196710063584029,-0.108172249886
"TGFbeta",-0.00268622103611072,-0.243654844613193,0.0381926424029137,-0.0364822156982689,0.143363120286157,0.0272183002722758,-0.0291628184896758,0.107193977104498,0.0364586832595866,0.200853918913497,-0.0408587386404165,0.260468281031131,0.0109381723422303,-0.088647231284278,-0.0585218342495784
"FOXC2",-0.00682273124033078,0.0526705136965124,0.00989084390576202,-0.0128529090505055,-0.0127709791291716,0.0606176732109227,0.0255984419688547,-0.0569137674473901,0.0128411620593371,-0.0590546216543324,-0.003587115469078,-0.0636882059823211,0.00194052438479529,0.00120437560525248,0.00398864882145153
"miR34a",-0.0973709168160363,-0.10238185632559,0.0983141725834337,-0.0984693093561663,-0.000264269668890777,-0.0129913873692191,-0.0488494989840964,0.0477655084081968,0.0984051411600003,0.0897628674146587,-0.00155765743124925,0.154193302747964,0.0325484189889109,0.0325575199918414,0.035240968321365
"ZEB1",0.00674228164865586,-0.0530150290821227,-0.00998402652633512,-0.0871430807837243,0.0127359126147085,-0.0610967919342788,-0.0263775255552802,0.0562845236065141,-0.0128529090505055,0.0583974736765559,0.00340793849850153,0.0639303591403376,-0.00120437560525248,-0.00155628551631525,-0.00370632974553907
"SNAI1",-0.0786022803695353,0.128369792947047,-0.0581992095242764,-0.0334649113923157,-0.173565864537397,-0.132407565378007,0.140157402342665,-0.097227796835555,0.0334788227798684,-0.26368763279622,0.146727176915237,-0.263736957847405,0.0416928696893368,0.0414387093502449,0.0110310208539512
"SNAI2",-0.10863189465492,0.095357222109178,-0.0512831723902399,-0.0565887299394739,-0.0730318542770535,-0.0590147853098114,-0.0359611484462025,-0.0652274916758011,0.0563948101130975,0.0210638071551059,0.162202543348307,-0.0367651745528605,0.0792908831693527,0.0796595522824084,0.0883109846105438
"GSC",-0.161154436872944,-0.118788785380556,-0.000200413195949261,-0.153540534347595,-0.034747550856776,0.0819439123411606,-0.0251245201921383,0.0683079176907346,0.153376423518737,0.24024210416445,0.17048043239639,0.271230165723101,0.117885109486907,0.117780998687778,0.168433691258875
"ZEB2",-0.319472901045036,-0.218820999500225,-0.191833712920507,-0.14030505955649,-0.0623668970580681,-0.0510032509557769,0.0563201333663487,0.134488851369684,0.140058706330756,0.178286659283474,0.201227402336454,0.246850573967616,0.277995243866996,0.278870567356112,0.298424475016987
"miR200b",-0.139789411270883,-0.213452369847574,-0.0765406275725377,-0.0600560867124996,-0.0116424277408602,-0.0132943003606381,0.0117747257635424,0.111253961111018,0.0599301980869072,0.158646567379094,0.216928589376109,0.249351634654865,0.197000327210293,0.196710063584029,0.108172249886
"miR141",-0.139789411270883,-0.213452369847574,-0.0765406275725377,-0.0600560867124996,-0.0116424277408602,-0.0132943003606381,0.0117747257635424,0.111253961111018,0.0599301980869072,0.158646567379094,0.216928589376109,0.249351634654865,0.197000327210293,0.196710063584029,0.108172249886
"miR200c",-0.129677156058322,0.130583231844193,-0.116675874899289,-0.0124564758266969,-0.0173988159717286,-0.00183909568056323,0.00884098438806062,-0.0641493242005891,0.0123129998195879,-0.0851085195880043,0.249784579069348,-0.145998953395925,0.0076355612810809,0.00774664982940442,0.112555153643664
"TWIST1",-0.195265526048652,0.225922984064396,-0.0410000419507068,-0.146426654120569,-0.164539707951734,0.000404224978491229,0.0206696058145495,-0.0794917656941298,0.146306088785825,-0.142367830114006,0.26310955288897,-0.117033516721943,0.130331965828592,0.130029859102039,0.140582628502615
