"","miR141","ZEB2","miR101","miR200a","TWIST2","SNAI1","GSC","TGFbeta","FOXC2","TWIST1","miR200c","miR200b","miR34a","ZEB1","SNAI2"
"miR101",-0.0781589437196283,-0.110889264744038,0.139440730035336,-0.0925596774558019,0.0709830454788497,-0.017107153227873,0.0581057433797827,0.0583942776608221,0.0873079794407539,-0.00221698341871464,0.0925596774558019,0.062571765581405,0.0137473017524316,0.078031078254556,-0.158801988806066
"ZEB2",-0.0968967607015095,-0.0940218925745767,-0.051811678199478,-0.03600303350894,-0.015824045849602,-0.0120871803316427,0.0254384586698609,0.0257657535397041,0.0277220560628919,0.0298454447768623,0.03600303350894,0.0543024756357782,0.0838995382205653,0.0966593657748929,0.115458908012947
"TWIST1",0.166292902335162,-0.0894965521088029,-0.0182797837697582,0.0430468728958885,-0.146984794064358,-0.00588858914151761,-3.17084744128216e-05,0.000135385953990558,0.0107424565891265,-0.123038350833701,-0.0430468728958885,-0.00409082124194694,-0.1244000217757,-0.166367315778327,0.0771012715815729
"GSC",0.095379629631084,-0.0580754602164687,0.164709156176295,0.0154851472022818,0.0444875049420282,-0.0667605703389143,-0.00966415202298865,-0.00957392266374329,-0.00207694937379956,-0.127017106496556,-0.0154851472022818,-0.0461946189944608,-0.0795917708400583,-0.095420903013192,-0.163869535555473
"ZEB1",-0.195868830826003,-0.035800301123225,-0.108765677267311,-0.212015902238154,0.106187679102969,0.116522283200471,0.113306352852324,0.113227013163284,-0.143805325487997,0.0888493046998748,0.212015902238154,0.2212627869811,0.216578909777891,0.0959796116554058,0.101854085192968
"miR200a",-0.15878115087386,-0.0228931116071851,-0.0683602132059064,-0.0892878458100455,-0.0221384743371111,0.00523051247219692,-0.0300470970656619,-0.029787890452907,0.0151386732053401,0.0422261368120473,0.0892878458100455,0.129022706075406,0.0927629501732735,0.158625641395187,0.13198445548003
"TGFbeta",-0.0327973549072386,-0.00166141373920136,0.0703628606178687,-0.0191969644942707,0.153266530194132,0.000344270222187445,0.00683100250407347,-0.093294828301889,-0.0476292919049941,-0.0144349173948021,0.0191969644942707,-0.0954479655782773,0.0733026463958735,0.0328604218429072,-0.142068989032721
"miR200c",0.211905719981747,0.00579019969184847,0.0873824227868287,0.108726226543236,0.0278059925384618,-0.0044266853168515,0.0293072681209024,0.0296285887606768,-0.0254570175346028,-0.0537703507763006,-0.108726226543236,-0.120676259167669,-0.131216075627156,-0.212097329875112,-0.170049164691033
"miR200b",0.211905719981747,0.00579019969184847,0.0873824227868287,0.108726226543236,0.0278059925384618,-0.0044266853168515,0.0293072681209024,0.0296285887606768,-0.0254570175346028,-0.0537703507763006,-0.108726226543236,-0.120676259167669,-0.131216075627156,-0.212097329875112,-0.170049164691033
"TWIST2",-0.0872623171786982,0.00734959304559625,0.168003611133054,-0.041589919521087,0.150892464269574,-0.136458708319678,-0.000240266533912718,-0.000368727772007417,0.0517205486429132,0.0280268288498247,0.041589919521087,-0.0271607541144631,-0.0155175554976418,0.0873995215516478,-0.19209414790074
"SNAI2",0.147234584058813,0.0100183158478638,-0.370980664779163,0.0787126397796962,-0.366338220005717,0.149907893688199,0.173963056040551,0.17395022532896,-0.0785959694101294,-0.0872824086349473,-0.0787126397796962,0.187549999331244,-0.0318016779337167,-0.147283817589862,0.29042922499162
"miR141",0.15878115087386,0.0228931116071851,0.0683602132059064,0.0892878458100455,0.0221384743371111,-0.00523051247219692,0.0300470970656619,0.029787890452907,-0.0151386732053401,-0.0422261368120473,-0.0892878458100455,-0.129022706075406,-0.0927629501732735,-0.158625641395187,-0.13198445548003
"FOXC2",0.195961738847062,0.0359267615636153,0.108548819220456,0.211913459232928,-0.106261626019647,-0.116618700475625,-0.113134769302205,-0.113306352852324,0.143816122125616,-0.0884550159132089,-0.211913459232928,-0.221165912788385,-0.216531905726589,-0.195868830826003,-0.101902050959423
"miR34a",-0.176332588188044,0.0581227932707227,-0.140070688086808,-0.124832125746128,-0.00833681047970811,0.0629962000222232,0.0762523581699413,0.0763961540162436,-0.138165092106939,0.0312198247422361,0.124832125746128,0.141747185615056,0.124664240388702,0.176215575595036,0.19112223428165
"SNAI1",-0.0993071974814141,0.0591781594383458,-0.178968232316704,-0.015822950838015,-0.0492607434116273,-0.0397188645866721,0.0199189129018164,0.0198431802578748,-0.138234531840824,0.0207624218709884,0.015822950838015,0.0679897448572803,0.122874913256856,0.0993631521735705,0.194898526597336
