"","ZEB2","FOXC2","miR101","TGFbeta","TWIST1","GSC","miR200c","TWIST2","miR200a","miR200b","SNAI2","miR141","ZEB1","SNAI1","miR34a"
"TWIST1",-0.140626533049243,-0.450628065436547,-0.168531375148881,-0.0202341381859417,0.307828226190402,0.0202127500991061,0.15370636837973,0.186139062493114,0.0173980139627603,0.0934164968176697,-0.0638384314630718,0.161522968191527,0.161651311934964,0.345347996802796,0.211457365930684
"miR34a",-0.135490417371297,-0.264269336110228,-0.160528092512783,-0.0307056341391869,0.228122336263546,0.0306443540527881,0.202891305430768,0.290539349057281,0.0913794967447978,0.0712582314012641,-0.11802672568567,0.182010776280418,0.182117408724047,0.214477123513604,0.18902340794718
"SNAI1",-0.115412908472926,-0.407280461573257,-0.212907281505444,0.032178406436175,0.351752243024317,-0.0321906981218409,0.00337537661734639,0.0510388475297674,-0.110290488522793,0.0260100803016507,0.0694771549045828,-0.10600463276344,-0.105878502849629,0.305138481500562,0.1665449460367
"ZEB2",-0.0959400384618161,-0.0380747095537501,-0.0107532116766082,-0.0104182216605507,0.0102250736648448,0.0103268835573386,0.0111690361976087,0.0129855419126731,0.0164400547684276,0.0167889886017152,0.0203170021240949,0.0323354240380233,0.0323717549177781,0.0421589263730206,0.0462679425715226
"TWIST2",-0.0954550180815927,0.0292056901935058,-0.0170518105806089,-0.0302780082630178,0.0389288100190436,0.0303102650496759,0.163842934030939,0.151308050723745,0.0712378796844178,0.0673035177715609,-0.137961316788638,0.232034507070731,0.232095633377911,-0.111249765278535,0.0798099741202611
"ZEB1",-0.0890883934448412,-0.209061712500429,-0.140396569102625,-0.108533491216999,0.160083507462671,0.108482304320844,0.274664252424167,0.235706284026335,0.199873601986753,0.257947386606869,-0.0887497275802983,0.264219751860197,0.164332036501764,0.198970865675695,0.294481909146398
"miR200a",-0.0409649774386635,-0.163130745707787,-0.0503545811007301,-0.156893103796366,0.0500085122490003,0.157023304353003,0.117447398851171,0.0633436715913172,0.0785199734793993,0.145420535790609,0.0728479758684837,0.195958968798671,0.196022838763126,0.175661728794599,0.216745272994589
"miR200c",-0.0322921994680527,0.0440867859051304,-0.0468597281876709,0.0521164400935197,0.0777754126058199,-0.0522203616387256,0.140358668765453,0.142699822018642,0.110872031283098,0.0949682431733646,-0.136509974743295,0.248213111468447,0.248278832736219,-0.0416237323851209,0.149663473465543
"miR101",-0.0208511196285036,0.288777418091055,0.149091457978846,-0.0511082470437215,-0.248556269215762,0.0511663057710039,0.120277352096293,0.0332566927503648,0.101598319881498,0.097332467391954,-0.0885350283923367,0.219879395650791,0.219853822557777,-0.289383477332701,0.0236111715072953
"miR141",0.0303991471640009,-0.028475781015079,0.0508145261221041,-0.0426856690088165,-0.0821026345720632,0.0427728675467479,-0.148706922926668,-0.147038368046001,-0.120985247022404,-0.0711099328325888,0.130269510648492,-0.265842279857331,-0.265908926776763,0.0266829105530077,-0.168671539477685
"SNAI2",0.0321395477732565,0.041903911598015,0.0569359080407447,0.00270234568179338,-0.112792952017765,-0.00268951497020212,-0.0438184932132174,-0.114325672537413,-0.0125881224830757,-0.0105128508526717,-0.00415275161656875,-0.0555261122318093,-0.0555780251386977,-0.0200196823967568,-0.0402899631704481
"GSC",0.0321504760139942,0.294607836932041,0.246107566240882,0.0339401077237596,-0.442565448997377,-0.0339079280222105,-0.0693475357337462,-0.100495727090365,-0.0555553252390185,-0.052902152036925,0.0121837175524063,-0.12195755581415,-0.122097590503445,-0.39220180712313,-0.20042215379219
"miR200b",0.0322921994680527,-0.0440867859051304,0.0468597281876709,-0.0521164400935197,-0.0777754126058199,0.0522203616387256,-0.140358668765453,-0.142699822018642,-0.110872031283098,-0.0949682431733646,0.136509974743295,-0.248213111468447,-0.248278832736219,0.0416237323851209,-0.149663473465543
"TGFbeta",0.0574363901539474,0.109413092777194,0.00335877983879219,0.061608250220195,0.0175336708740409,-0.161511457292532,0.0310384964633086,0.0921865113983922,0.0938887427356133,-0.0789633983653797,-0.11078132032209,0.122335137282258,0.122377495671886,-0.117972184380233,-0.0424039671573096
"FOXC2",0.0889388325024591,0.207961997840137,0.139819465994326,0.108482304320844,-0.159220253982774,-0.108532118899911,-0.27444258196653,-0.235259961564959,-0.199932058164877,-0.257789620064447,0.0886273879287777,-0.264069176791584,-0.264219751860197,-0.198324164439908,-0.294043950763636
