"","ZEB1","miR141","ZEB2","miR200a","miR101","TGFbeta","FOXC2","SNAI2","TWIST1","GSC","miR200b","miR200c","TWIST2","SNAI1","miR34a"
"miR101",0.0807649182022636,0.0807263880754551,-0.101944071662084,-0.0116417190525271,-0.0859158655949067,0.00159650770838837,-0.0706178207630827,-0.105841691733292,0.169776159298091,-0.00164049159269316,0.0299208202115718,0.0116417190525271,0.054127336235787,0.176654239238204,0.0415456964904487
"ZEB2",-0.0928053033540759,-0.0925380474304006,-0.0879196255053895,-0.0311491176526115,-0.0270055698578075,-0.020670644238271,-0.0125977505702996,0.0017338248121936,0.0189874216865097,0.0209877904299795,0.028774548578066,0.0311491176526115,0.0505595515137501,0.0517065276700312,0.108821338325266
"GSC",-0.123278564829894,-0.123121824247842,-0.0830216480696772,-0.105607757930258,0.0438887345057589,-0.0406775396374752,-0.154932035557714,0.0891422892954911,-0.173820002805725,0.0408397000943007,0.0837040898607622,0.105607757930258,-0.0350068202390007,-0.0736712379531473,0.0188817669740823
"miR34a",-0.210833877494934,-0.210803680696738,-0.0739977731832356,-0.194859407470324,-0.100061347303324,-0.0603951744129396,-0.107057381227907,0.102658606384506,0.0073314015737304,0.0604321851581904,0.0628691747371962,0.194859407470324,0.0606780309837083,0.101957034280929,0.168043782543489
"SNAI1",-0.158732040847994,-0.158643007967656,-0.0700235450749685,-0.124305283109811,-0.113085776706651,-0.0620777437976637,-0.0931844242910419,-0.0593133653870755,0.139836898814853,0.0621614065613897,0.109072290525537,0.124305283109811,0.122765320427752,0.0814722662780403,0.228924672265681
"TWIST2",-0.111317312642445,-0.111237276758224,-0.0671398744368616,-0.0879770667198198,-0.0219695797880823,-0.019354687797559,-0.0381257811585711,0.120398924579036,-0.152598537108869,0.0194333490843218,0.0150993199817229,0.0879770667198198,-0.109266675217412,-0.0811553810852691,0.00918857700651262
"miR141",-0.157375250691674,-0.157277131615845,-0.0209898893977195,-0.0876121675164442,-0.0551351860991648,0.0436319782265796,-0.0148024492548339,-0.0590066126533687,0.0909609046259704,-0.0435686696990404,0.116610259755836,0.0876121675164442,0.106497933330335,0.167821761100609,0.178575917533046
"TGFbeta",-0.01361558497995,-0.0136102509605153,-0.0150974317598099,-0.0142584552680763,-0.0420442169377252,-0.106170652024511,0.00860589913842579,-0.101511617770808,0.102033616342663,0.0061529066544395,0.112133763478249,0.0142584552680763,0.155102992235304,0.182846891608309,0.153841367365898
"miR200a",-0.208586398260313,-0.208596580428559,-7.96954497616844e-05,-0.103955164780539,-0.0646537415328511,0.0352577525634212,-0.020038814440995,-0.0572653607623934,0.0981274067901827,-0.0352685030680977,0.0968054030941316,0.103955164780539,0.124793767607949,0.185159319315025,0.224600357146378
"miR200b",0.208586398260313,0.208596580428559,7.96954497616844e-05,0.103955164780539,0.0646537415328511,-0.0352577525634212,0.020038814440995,0.0572653607623934,-0.0981274067901827,0.0352685030680977,-0.0968054030941316,-0.103955164780539,-0.124793767607949,-0.185159319315025,-0.224600357146378
"miR200c",0.147524050698133,0.14736113600619,0.0084032692451418,0.0766470176898397,-0.00420192080409224,0.126470252700801,0.021273105787875,-0.14415673315887,0.126842455304085,-0.126605231259517,-0.0398326384788494,-0.0766470176898397,0.0485736599668886,0.153148272083047,-0.0467429607125943
"FOXC2",0.156364389845398,0.156188184977872,0.0127755451403359,0.179127644673226,0.0934884898262576,0.0824678588293066,0.101743178785726,-0.124065710656247,0.03254185859711,-0.0826117676132774,-0.166096924428624,-0.179127644673226,-0.0732766344007968,-0.059326908904951,-0.167586233384366
"ZEB1",0.0562676445961917,0.156364389845398,0.0127853184296401,0.179232402774615,0.093425683943835,0.0826214195177704,0.101689195597633,-0.124152480188823,0.0325597808146857,-0.0824678588293066,-0.166171655948718,-0.179232402774615,-0.0733241717043753,-0.0595009303283992,-0.167655620317239
"SNAI2",-0.0275135357775451,-0.0274281306726642,0.0538205067689314,0.0125439098832488,-0.00260912600333322,-0.000968923218863704,0.0276273982303331,-0.101444365365132,0.0759926251145538,0.00106558124618457,-0.00846261180542381,-0.0125439098832488,0.00873507611718369,0.00780729526425837,0.0192974623393206
"TWIST1",0.197050228227708,0.196997594328884,0.0939858125132883,0.155907163427253,0.0858301297108577,0.0608403522711209,0.196565068294709,-0.0408076262124688,-0.151260313440224,-0.0608831284447922,-0.0932019421012357,-0.155907163427253,-0.0109961295826236,-0.194790604795433,-0.19629944305223
