"","ZEB2","miR34a","TWIST1","miR200b","TWIST2","miR200a","GSC","TGFbeta","SNAI2","miR200c","miR101","SNAI1","ZEB1","miR141","FOXC2"
"GSC",-0.0945955448295212,-0.130884438326323,-0.204005781578624,-0.00342029606800388,-0.0371991745643461,-0.119367974655651,-0.0186487106304468,-0.0188108710872724,0.0579864812615263,0.0245146402105617,0.139740446014658,0.127146991476798,0.138147965876595,0.138130277284263,0.252010399079409
"TGFbeta",-0.0924673935258244,-0.160146551568425,-0.12151037590912,0.0949236342258169,0.051704913261958,-0.104674857348345,-0.0127182414640632,-0.112561759564341,0.10621199105019,0.010840791972324,0.106451866981453,0.108991918564601,0.11353472032709,0.113487969215574,0.157124855576437
"ZEB2",-0.0923916989178832,-0.0501463264207723,-0.0287367247040488,-0.0221361454586966,-0.0148103230155928,-0.0115648230367612,0.000443505322914478,0.000537380595660202,0.0198453723763926,0.0229410038311296,0.0283875142802715,0.0370046555509033,0.0391884094193262,0.0391998561348653,0.0403154849081938
"SNAI1",-0.0721178579958639,-0.109200732958894,-0.00780145507322475,0.0181801310055428,-0.0316901523364593,-0.085373838223095,-0.0184124678362272,-0.0182011301439713,0.0606790996614591,0.00599418979338915,0.0977756528971355,-0.0685570161119476,0.0922265267765465,0.0922268359184921,0.112408779269566
"ZEB1",-0.0515137664162951,-0.208666919181135,0.00813026477392224,-0.184120775316152,-0.207923221655993,-0.211478303623142,-0.0025884944602663,-0.00254114658132331,-0.106057031319534,0.170034407737066,0.00544705153184084,0.118209764864919,0.0832728640741084,0.18324980562093,0.107239575919669
"TWIST2",-0.0345602327615655,-0.0531886939740733,-0.0666989905794376,-0.00811127079731153,0.0730208164164874,-0.0833224167486598,-0.0132624123886085,-0.0129573876867008,0.0815290695566338,0.0523335284413951,0.0124578735413175,-0.0329690195272213,0.135376146065853,0.135377465338669,0.0243096882422739
"miR200a",-0.0280803032792202,-0.233959213048188,-0.118274444127423,-0.070475987256773,-0.0724160867494089,-0.127642117245489,0.0864540318394085,0.0863286092848497,0.0704162132727509,0.10137042135286,0.109967507599147,0.150313642462061,0.227694819552527,0.227656867834518,0.174124165517966
"miR141",-0.00477733469455619,0.0962650861500174,-0.113626736450163,0.132424257306178,0.119987719102392,0.0862438189280141,0.0833462911639729,0.0833235956541004,0.136036198642456,-0.0913487503423623,0.0963977811203485,0.0564736104566899,-0.179048273812049,-0.179038091643802,0.111455046623723
"TWIST1",-0.00130881886741544,0.104456301997512,0.0901351599357619,0.0218603443969532,-0.0372978334134624,0.058502451184071,0.00892756348401958,0.00892087970688345,-0.0831838867459519,-0.0795231407698389,-0.0678432422285041,-0.019670503935758,-0.131396005187441,-0.131370336438753,-0.211086223268394
"miR200c",0.00477733469455619,-0.0962650861500174,0.113626736450163,-0.132424257306178,-0.119987719102392,-0.0862438189280141,-0.0833462911639729,-0.0833235956541004,-0.136036198642456,0.0913487503423623,-0.0963977811203485,-0.0564736104566899,0.179048273812049,0.179038091643802,-0.111455046623723
"miR200b",0.00477733469455619,-0.0962650861500174,0.113626736450163,-0.132424257306178,-0.119987719102392,-0.0862438189280141,-0.0833462911639729,-0.0833235956541004,-0.136036198642456,0.0913487503423623,-0.0963977811203485,-0.0564736104566899,0.179048273812049,0.179038091643802,-0.111455046623723
"miR101",0.00514982890194511,0.147887107131536,0.0156562843930216,0.0859482210048924,0.0875816793341316,0.101418806171086,0.00379098156791014,0.00403729132001697,-0.0461665324054251,-0.0968558069887842,-0.104349905040893,-0.0619202813829906,-0.198316707983016,-0.198280223703648,-0.139032033470197
"SNAI2",0.0067330936062891,0.00840842389565805,-0.029662341874679,-0.000504785106819036,0.0798778027022513,-0.00652075527846154,-0.00171293728102091,-0.00230058387190084,-0.0435959443067985,0.0149066828966143,-0.00858732533475335,-0.0647985636068981,0.0214952981252373,0.0214909441394983,-0.0434175152801406
"miR34a",0.0170465059810407,0.119251952755131,-0.026436418181806,0.0948041553815787,0.248447835898893,0.118048921586652,-0.0159876714134302,-0.0157880560824874,0.0982624608768831,-0.10333844421219,-0.0185140177723649,-0.131642473201693,-0.116652525350516,-0.116643560676052,-0.119379862433463
"FOXC2",0.0515614482216882,0.208669157469292,-0.00810039441129603,0.1841807450545,0.207965477036952,0.211396696483385,0.00252207502151056,0.0025884944602663,0.105987507905234,-0.170070870501638,-0.00541742611560374,-0.11815450130477,-0.18324980562093,-0.183208157197696,-0.10722877928205
