"","ZEB2","SNAI2","SNAI1","TWIST2","FOXC2","miR200b","miR200c","miR200a","GSC","ZEB1","miR141","TGFbeta","miR101","miR34a","TWIST1"
"SNAI2",-0.0969218197160655,0.348113882195342,0.0152119735009932,0.399584131928919,-0.0358696806425102,0.3184750636457,0.0772451604111718,0.0772451604111718,0.233049665927153,-0.0573577876176576,0.0572382204708244,-0.233281474116568,-0.32098392170145,0.0311787187905913,-0.213315998444086
"ZEB2",-0.0857756735356592,-0.0581217887668597,-0.0307563775046926,-0.0187586156577338,-0.0183855735144533,-0.0141656905453251,-0.00816562214776754,-0.00816562214776754,-0.00537991180880278,-0.00127794396053045,0.00128540920979513,0.00543065519947614,0.0137113771542313,0.022468026272851,0.0315430981035237
"TWIST1",-0.0791251333579578,-0.068294845542212,0.155879841273596,-0.129295136514973,0.175761373059828,-0.0295024897099748,0.00110405063445316,0.00110405063445316,-0.000863294118780757,0.0841121542532305,-0.0841144877758384,0.000855273586217395,0.0958234101200791,-0.100598771379738,-0.0582965606019607
"SNAI1",-0.0547526767935984,0.240380897347324,0.0376395928974254,0.10078162605522,0.0407741257852772,0.12608653761215,0.084240289668062,0.084240289668062,0.0332658471053364,-0.103695716464581,0.103661710850563,-0.0333590260128038,-0.00186894630813862,-0.0740592890531153,-0.19467621572652
"miR34a",-0.0439813853890763,-0.0585026548405489,0.0652158743546436,0.0381373722265323,0.0344604249166385,0.0338742499660303,0.135734204282184,0.135734204282184,-0.0112388707111267,-0.133444597922749,0.133462055446705,0.0112055003670481,0.0593529234107561,0.0318048908660491,-0.0554953788163014
"TWIST2",-0.0281325771757569,0.114828976788245,-0.16155961469068,0.153274934249492,-0.106347036908913,0.0789186428675676,0.0530957218083434,0.0530957218083434,0.0188742827334516,-0.0796893774767066,0.0796766245061439,-0.0188929577152011,-0.13196500156629,0.117898471000042,-0.014702976369249
"miR200a",-0.00858251323088039,0.249173723133486,0.121265607804278,0.0908695749766637,0.0666969865609522,0.0333252985429682,0.0108069357845932,0.0108069357845932,0.119314113972917,-0.0124207083841763,0.0123383253865459,-0.119413257516045,-0.064481760016953,-0.0935989313529954,-0.131214380433149
"ZEB1",-0.00683099301831128,0.0794720254975683,-0.0785070655074814,-0.0189496713124094,-0.0781988600196225,-0.00688524306027292,-0.0150031511097928,-0.0150031511097928,0.00159842780512808,-0.0724131445282617,-0.0275698122672148,-0.00164577568407107,-0.0788066399356696,-0.0178823598858866,0.0779548010202654
"FOXC2",-0.00677857264840709,0.0794186703191518,-0.0784859007397647,-0.0189179797766904,-0.0782620974685312,-0.00685387427406042,-0.0149539553163225,-0.0149539553163225,0.00158735789866879,0.0275698122672148,-0.0276242755899046,-0.00159842780512808,-0.0788054549190201,-0.0179084732477208,0.0780473991444066
"miR200b",-0.00546006632790635,0.219403344853286,0.18034860029739,0.135004909468348,0.0948819800200592,0.107185424907396,0.0220538108173072,0.0220538108173072,0.122303013687713,-0.0380662043754581,0.037994929197733,-0.12240454623188,-0.020358419833018,0.0135083307537601,-0.204881602318832
"miR200c",0.00546006632790635,-0.219403344853286,-0.18034860029739,-0.135004909468348,-0.0948819800200592,-0.107185424907396,-0.0220538108173072,-0.0220538108173072,-0.122303013687713,0.0380662043754581,-0.037994929197733,0.12240454623188,0.020358419833018,-0.0135083307537601,0.204881602318832
"TGFbeta",0.0161710828410928,-0.368862610927493,-0.162622818656222,-0.250091078026889,-0.0471687807985184,-0.220327745028705,-0.067815696888322,-0.067815696888322,-0.227672682831786,0.119463008379626,-0.119333423083949,0.127821098654204,0.104551438487824,0.0738582833380951,0.224712396136109
"miR141",0.0161963181648763,-0.268924654035544,-0.131242675523573,-0.0977555852687216,-0.0737785771744996,-0.0701220991897502,-0.0112113874543235,-0.0112113874543235,-0.125204268051119,0.00609717061800877,-0.0059786872056865,0.125315356599443,0.0697561440744062,0.104044928831393,0.143880874944778
"GSC",0.0821716876160072,0.153453476957878,0.0622324608553422,0.0882740318425729,0.0366448952282609,0.044975736808432,0.0169171148328898,0.0169171148328898,-0.0018475094014591,-0.115628490769345,0.115622594571901,0.00177116148209765,0.00394086677055057,0.0211414250788567,-0.207191393811733
"miR101",0.093895298094416,-0.222141117362659,-0.145069602214159,-0.0555599250416558,-0.0453512500006901,-0.0720796229708254,-0.0401361900647133,-0.0401361900647133,-0.0266007214887814,-0.0128219238993387,0.0128952334326468,0.0266922079681353,-0.0109714111593184,0.063104853984089,0.177736917600014
