"","miR200c","miR200b","miR200a","TWIST1","miR34a","SNAI2","miR141","TWIST2","FOXC2","ZEB1","miR101","SNAI1","TGFbeta","GSC","ZEB2"
"TWIST1",0.0753638666239044,0.0239451300914733,0.127795391177685,0.104081961643067,0.00812276350868047,0.0886856725323078,-0.0598551646952369,0.0889864025920172,-0.089034079135609,0.0598139391291632,-0.0675597815504683,-0.0127149311114115,-0.000636637152171937,-0.000654014972725889,-0.226082695863458
"TWIST2",0.115411227001762,0.0812277292990901,0.103644055608094,0.193333383656788,0.0524442513746976,-0.0161315013375542,0.0107222948439691,-0.0756691756091583,-0.0210621766084904,-0.0107390056329822,-0.0608198110799145,-0.119533415607591,-0.0313614791959023,-0.0311402089575982,-0.221236710675477
"miR200c",0.0999288042783622,0.0312875681713602,0.104710064390515,0.122905075109538,-0.00518669432660455,0.123374796441581,-0.00473864814539071,0.0765294574272603,-0.0532503322341175,0.00488304980415848,-0.102980973318646,-0.083010583764181,-0.109754927317338,-0.109959186906191,-0.205745393714579
"miR141",0.106261067377867,0.137992275328689,0.0868822928996085,-0.102720702610963,0.0224514304828716,-0.110084219523541,0.0187930047127296,-0.0761574538693129,0.0496631182109899,-0.0189364807198386,0.0873438635144956,0.0648054164193423,0.0535178022565687,0.0538773469129706,-0.191828834593625
"SNAI2",0.0601449094187563,0.0420425570261663,0.0486739324482873,0.0635871352375,0.00871758907150553,-0.088222339178749,0.0106790153254857,0.002189222759265,-0.016023058101774,-0.0105701656820102,-0.00792172884952939,-0.00324594768377401,-0.0158842554353439,-0.0159210368085722,-0.108546123297589
"GSC",0.0733763493547068,0.0966217771115001,-0.0242724647832388,-0.204964927899757,0.00138680309760393,-0.0755962648130958,0.0976682649160324,-0.0373189076032802,0.133737215155701,-0.0976746524632634,0.132433864902397,0.0903513774026729,-0.0415623011423132,-0.0414708098339875,-0.0408967767003719
"FOXC2",-0.0152198169707234,-0.00839209307932037,-0.0213224860016301,-0.0156465883204242,-0.00748730658464311,0.0514308776692472,0.00530967615699447,0.0798222990588496,-0.0808107341838043,-0.00519327415359852,0.0229067008390922,0.0919542617849541,0.000952370062270977,0.00048743399098078,0.0463206653200288
"ZEB1",-0.0152921637258268,-0.00854801439902366,-0.0212686600158332,-0.0156047698127476,-0.00759101393592752,0.0511403883645352,0.00519327415359852,0.0799966025053041,-0.0808739716327131,-0.10522535547976,0.0226898427922366,0.0919472068623819,0.000769376908518338,0.000952370062270977,0.0463653855226024
"miR34a",-0.132618534982243,-0.0498144363540961,0.0896844595747154,-0.087753911544955,-0.0504511553384208,-0.0422642152839338,-0.11755221823499,-0.152035495653048,0.0746665521365841,0.11754938728516,0.00359666402060494,0.00354073657516729,0.0414096775057617,0.0415110020050549,0.0489077499256355
"TGFbeta",0.0137571497543219,0.107925467912128,-0.0746308485699585,-0.132449375959169,-0.060897772381954,-0.107410743432803,0.0896395632091826,-0.0823026279766394,0.0489976694359284,-0.0895156256987891,0.108586744423622,0.107065797105586,-0.114713264337746,-0.0147777929561885,0.0698838883920602
"ZEB2",-0.207060115062036,-0.200572586546976,-0.187883090653121,-0.0500718995562228,-0.0421429450453228,-0.0399296112018922,-0.0242230062199104,5.65224822136533e-05,0.00818964096258366,0.0242125548709398,0.0457813488332537,0.0516538459199675,0.0691863477903237,0.069199033637992,0.096679219263138
"miR101",-0.0973658249040073,-0.112851037686203,-0.000110050269956612,0.00222189286907657,-0.0338058370017587,0.0696543533621874,-0.0973912443844876,0.0277748060497988,0.030035899184529,0.0973752185795318,-0.0845175205097165,0.00155047412506977,0.0467958777144314,0.0467202254334271,0.0971548875258022
"SNAI1",-0.0261383664480858,0.00485832629010831,-0.114135504965383,-0.0115358323792347,-0.018052325777812,-0.0730839664850738,0.0893372185469388,-0.00465334359870237,-0.0328409029773302,-0.0893508207925459,0.0975556005610741,-0.083536913837988,-0.0135197058521383,-0.013410666705102,0.150412922845788
"miR200b",-0.0911633339734279,-0.0943792377440232,-0.0671777861428681,0.116608194476381,0.0866458208636867,0.0837656211682073,-0.0230419767066454,-0.00442058640847314,-0.0263042689830902,0.0230845566829487,-0.105246767635609,-0.125898265878116,-0.0629356637540648,-0.0628938562358785,0.15531922414017
"miR200a",-0.0999288042783622,-0.0312875681713602,-0.104710064390515,-0.122905075109538,0.00518669432660455,-0.123374796441581,0.00473864814539071,-0.0765294574272603,0.0532503322341175,-0.00488304980415848,0.102980973318646,0.083010583764181,0.109754927317338,0.109959186906191,0.205745393714579
