"","ZEB1","ZEB2","FOXC2","miR101","TWIST2","miR200a","GSC","SNAI2","TWIST1","TGFbeta","miR200b","miR200c","SNAI1","miR141","miR34a"
"SNAI1",-0.220007439277997,-0.166377936241013,-0.184668982620049,-0.267988403094445,-0.111702251334846,-0.196230406477639,-0.0487894976681124,0.0693642892640276,0.268600803062073,0.0493069379840484,0.115210359013564,0.0417765373210089,0.274863470352136,0.219229019858936,0.333445098886683
"TGFbeta",-0.053172710702211,-0.136182896128742,-0.191501814603934,-0.209296888055569,0.0211547295454313,-0.0950699644894449,-0.198157137194189,0.104254519441857,0.153447498443329,0.0985846392913692,-0.0329312476895357,-0.0366008166380134,0.319824701319349,0.0525367073260905,0.224319753336896
"ZEB2",-0.130331681423935,-0.100459526443243,-0.0765249208705184,-0.0670329898946166,-0.0625993430077581,-0.0577356547201764,-0.0348920078537621,0.0214337818017725,0.0306264357772756,0.0355034657113762,0.0488396234216879,0.0593826672611465,0.115536914225624,0.129593617113301,0.154519340977059
"miR200c",-0.240472298886753,-0.0432305247377485,-0.209911544073075,-0.194623528407362,-0.0785447344490999,-0.141587094402865,-0.169674371495599,0.0913392486613756,0.0990188860292869,0.170268038253844,0.0984503196732064,0.101566407037197,0.303009966143484,0.239548498531303,0.279408881696445
"miR141",-0.307934136758666,-0.0427737908571063,-0.241564717524943,-0.219493934424553,-0.100919052692956,-0.176594716176536,-0.192721136793502,0.0993785332836833,0.111370446491254,0.193608650679571,0.0930529965227948,0.137169827502417,0.347499178975729,0.306533625798951,0.344428131460166
"miR34a",-0.306605748368703,-0.0394469601531135,-0.247369226593283,-0.180554263772938,-0.269563057988195,-0.235671156623528,-0.0866743151131305,-0.00419107016055325,0.115386814717899,0.0875838086726541,0.160377853363727,0.20085848896541,0.378417700994855,0.305303039621539,0.326935331168483
"TWIST2",0.22233230676108,-0.0236917096141577,0.200495861925724,0.222101124254296,-0.00522582888042302,0.10071631174871,0.0770337833183235,-0.120912996418248,-0.15134876677754,-0.0776376077282224,-0.0336983735830343,-0.129008877539354,-0.347541828193635,-0.221355165361419,-0.265082737955936
"SNAI2",0.0360724323344991,-0.0215425383553997,0.0219999483094746,-0.00132246396162011,0.0170773623516713,0.00766439258635919,0.0113011635402658,-0.0896293156457073,0.0604536898901703,-0.0113961108060411,-0.00934176595758284,-0.0293068657862058,-0.0095162273567894,-0.0358979379829583,-0.0258532569085212
"TWIST1",-0.0283948647639766,0.0198100057212544,0.203930781331776,0.145052854453125,-0.0546261940244048,-0.0102847462948013,0.0074885750820164,-0.0833528259328747,-0.213125160048872,-0.00769309866238214,0.0296939074561203,0.00765335586636941,-0.242496754504854,0.0287005562256174,-0.0894247866138539
"miR200a",-0.201555922169243,0.0219359820499029,0.0980142721846113,0.117578161362778,-0.105642384975404,-0.0904621863532374,0.0573374764012853,-0.111900890180922,-0.0583572847950983,-0.0572407218591971,0.123945001780782,0.111352452278419,-0.123037975530011,0.201376345747442,0.0955725024896036
"FOXC2",0.31998587304601,0.0240535138115234,0.218052514144375,0.120689801245199,0.231216721061595,0.27752815008113,0.133054611103178,0.0361934310614699,-0.0597103677746831,-0.134194811468485,-0.256680642215244,-0.256166651466859,-0.287387751431609,-0.318162953598332,-0.358263200007206
"ZEB1",0.221095686422921,0.0245282587434806,0.220213384044892,0.122899857296487,0.232555688445723,0.278863381793317,0.134194811468485,0.0359212657574262,-0.0612666136675083,-0.134930623100707,-0.257629086692492,-0.256807354330055,-0.289844040307172,-0.31998587304601,-0.360740984997245
"miR200b",0.307934136758666,0.0427737908571063,0.241564717524943,0.219493934424553,0.100919052692956,0.176594716176536,0.192721136793502,-0.0993785332836833,-0.111370446491254,-0.193608650679571,-0.0930529965227948,-0.137169827502417,-0.347499178975729,-0.306533625798951,-0.344428131460166
"GSC",-0.0800994705428966,0.101887021198725,0.227444360575539,0.206582605430186,-0.00802385419369511,0.0117252118328549,-0.0318858923677681,-0.0716948469325371,-0.141481466966191,0.0317161602164604,0.00681139797292925,0.0897650801685281,-0.246970335957489,0.0802999412559925,-0.0594613424550839
"miR101",-0.109416541736911,0.117419943250453,0.0794481582962504,0.186294435504285,-0.00297649780889474,0.00261257571026971,-0.0429877718256183,-0.0657973248148251,-0.218654038230765,0.0430159215115733,0.0114066570955073,0.112881267777099,-0.206931676764329,0.109307770847956,-0.0276230816142751
