"","ZEB2","ZEB1","miR34a","miR200c","miR101","TWIST1","FOXC2","SNAI1","GSC","miR200b","TWIST2","TGFbeta","miR200a","SNAI2","miR141"
"TWIST2",-0.113003505450118,0.232563770748449,0.152599662667876,0.171934551267167,0.0134654822920495,-0.161334251366826,0.0636224487337087,-0.0380421403712864,0.0235696768306218,-0.0151111410114422,0.0319949919220144,-0.0236845562638078,-0.0637196801899384,-0.0886041143611054,-0.232563330990843
"ZEB1",-0.0917491471648941,0.166586838426772,0.262583102851976,0.275237682842541,0.00755238869367935,0.0105460231248459,-0.0996848438094834,-0.0963741452649513,0.0134590251381996,-0.186593279024153,-0.121283359770038,-0.0134449487417571,-0.201835729821342,-0.111294381004983,-0.266566787597921
"FOXC2",-0.091728119784876,0.266566787597921,0.262658458553269,0.275231316328092,0.00711037748342184,0.0102323843172708,-0.100041132850896,-0.0962495082995087,0.0133981406526735,-0.186694766273664,-0.121491995713522,-0.0134590251381996,-0.201817787826077,-0.111524508895729,-0.266544361523872
"ZEB2",-0.0792043482046404,-0.0388278921750316,-0.0317297884323777,-0.0281073267303604,-0.0154538209208182,-0.014757080214438,-0.0075318046852492,-0.00640647772649409,-0.00500464540443098,0.00156469298986354,0.00442083271389824,0.00494375333562294,0.00621313665651725,0.0241291423013099,0.0388134593597866
"miR101",-0.0535813725217642,-0.218359928244691,-0.158043933434892,-0.0806825426686528,0.0276516882745643,0.0140471430070978,0.0595063507678969,0.0497972906558966,0.00198251186788437,0.110422953519226,0.0617690482277231,-0.00194380604969615,0.139507197353725,0.0943483866580195,0.218374590151353
"miR200c",-0.0523008678461512,0.247332945320125,0.151724704056698,0.150259181459622,0.0537015089424159,0.053543959305527,0.0145979205532727,0.00882093779341279,0.122702215919541,-0.0274526411782329,-0.0237568672934953,-0.122803748463708,-0.100034892021868,-0.0984260439494409,-0.247338499230078
"GSC",-0.0493373842994998,0.170254884244913,0.154756370123886,0.118331607331357,-0.0622289352357364,-0.00790721630367009,0.0159055803024543,-0.127336355872805,0.0163441508755553,-0.0248640701216223,-0.0238348700314455,-0.0163826403225061,-0.0618799704050034,-0.101161759986912,-0.170263728541079
"SNAI1",-0.0467688396743053,-0.104903035052812,-0.117854731735611,-0.0241400418531233,0.0262100623603239,0.0103312119282095,0.0404879373657854,-0.0698362279577896,-0.00230332262449735,0.0286110547925663,0.0262257031735162,0.00226882660343495,0.0813284209635537,0.0770581078843847,0.104888814523314
"miR200a",-0.0232164094408803,0.216663292508593,0.207835060962961,0.119828600179889,-0.0478181753740185,-0.0446044858666396,-0.0546154079613141,-0.0736773591660692,-0.109623283782411,-0.125133118598188,-0.0957279643941042,0.109672258303714,-0.0978808215184299,0.0216314210228136,-0.216638299913807
"SNAI2",0.0224210339847697,0.0231162843984385,0.0241847312401252,0.000371670362114685,-0.0412937851795982,0.0610951523569621,-0.0406166947703807,-0.0208068175649237,-0.00801092387598951,-0.0324073162795414,-0.0906325227637352,0.00793137346412367,-0.0228029564304418,-0.0335240437641638,-0.0231313558875351
"miR200b",0.0344907889440013,-0.237262697485833,-0.222365929878161,-0.135881221355466,0.0431565407328154,0.0386438270439604,0.0517510991877768,0.0723225924859638,0.103959534292048,0.0948553847868212,0.0973240593727112,-0.103934449781136,0.10348281378759,-0.0135611673776525,0.237231225329435
"miR141",0.0344907889440013,-0.237262697485833,-0.222365929878161,-0.135881221355466,0.0431565407328154,0.0386438270439604,0.0517510991877768,0.0723225924859638,0.103959534292048,0.0948553847868212,0.0973240593727112,-0.103934449781136,0.10348281378759,-0.0135611673776525,0.237231225329435
"TGFbeta",0.071760921256414,-0.01366194210844,0.0475338220574602,-0.0454860186098923,-0.0337231228213654,-0.0162660815952847,-0.0358075057592257,-0.0147309855842929,-0.202017790015695,-0.100097537549564,-0.0875964411270632,0.102017790015695,-0.030225923538216,0.0539782010204525,0.0136202112505101
"miR34a",0.113390790126777,-0.178848805441248,-0.0856824524200213,-0.191454439554344,0.0101107999063728,0.0231010377396577,-0.068560230094785,-0.0143268072760246,0.00379936332352088,0.088775337843498,0.00740313799282178,-0.00385700300874753,0.099344010285597,-0.0612998108237295,0.178813890393334
"TWIST1",0.1171258615582,-0.169142547823951,-0.0762540164387272,-0.147585393948062,0.0221441787491138,-0.105964180051936,-0.102325098862407,-0.000957448750851929,-0.00318695862523055,0.0540746335996917,0.116865882584299,0.00317091756010383,0.0321118870728336,-0.0796190056229677,0.169119471878161
