"","miR200c","SNAI2","miR141","TWIST2","miR34a","miR200a","FOXC2","miR101","TWIST1","SNAI1","ZEB1","miR200b","GSC","TGFbeta","ZEB2"
"miR141",0.105593204949561,0.181431763697981,-0.0939646227948743,0.0744989814161502,-0.0360717322356286,0.192334637722504,-0.0521791604014632,-0.0802272358380019,-0.0829103841146087,-0.0237377880100762,0.0933953470247322,-0.20725072387726,-0.234916016058975,-0.236245495137298,-0.30626270651383
"miR200c",0.263235090625971,0.257458833009612,0.246280311345278,0.244959007274226,0.227892648008382,0.0134606690896749,-0.0183593056974279,-0.0958296511337632,-0.107479371543361,-0.0678333012955914,-0.246761650207837,-0.0697167612507135,-0.230710963366516,-0.231653424276486,-0.282727601709797
"miR200a",0.263235090625971,0.257458833009612,0.246280311345278,0.244959007274226,0.227892648008382,0.0134606690896749,-0.0183593056974279,-0.0958296511337632,-0.107479371543361,-0.0678333012955914,-0.246761650207837,-0.0697167612507135,-0.230710963366516,-0.231653424276486,-0.282727601709797
"TWIST1",0.0279273605107841,-0.0869143726339864,-0.104536528468506,-0.0955184657877986,-0.0118257895110222,0.136164874042534,-0.0606885083414219,0.0942231924825352,0.133341049506105,-0.0677122971119414,0.104350105940161,-0.0642218122180488,-0.0510099716745847,-0.0510634418916737,-0.17152873288094
"miR101",0.131683384584528,0.156135947274777,0.110637136777622,0.129525029178934,0.0885281162768936,0.020370457707483,0.0747226627640162,0.00677705505076278,-0.0141802522352798,-0.0680901146197324,-0.110808646988106,-0.0484947900340701,-0.073869005386154,-0.0735593588406483,-0.157689512100699
"SNAI1",0.114079158162636,-0.0902114608077243,0.129472918372493,-0.0621837406624762,-0.000953533102099287,-0.021679804778728,-0.049569176709944,-0.0202648722994156,0.0014059412715576,-0.0755710433026167,-0.129393778034415,0.0455239897922902,-0.0234648113701869,-0.0228902741918028,-0.0864344294318556
"ZEB1",-0.149827631062568,-0.111374649945862,-0.137256645554007,-0.187861367473755,-0.158115231121052,0.176508434570418,-0.0926860458689408,0.0192766336210111,0.0280508361170802,0.0729144324343648,0.0373042662725283,-0.166810362635317,-0.00600701159714608,-0.0061004276826282,-0.0301699397781324
"FOXC2",-0.150068979837593,-0.111651126779475,-0.13735809684137,-0.188233743018453,-0.15830399342231,0.176377052863151,-0.0929683008238262,0.0192659684711657,0.0280388879720297,0.0728403557473564,0.137256645554007,-0.166636911699789,-0.00555868038554482,-0.00600701159714608,-0.030145358474731
"TGFbeta",-0.0247431163181358,-0.206574965111094,-0.0423257445678484,-0.197372000828965,-0.0743052939843211,0.0227312799498903,0.0269974126742422,0.111051879006783,0.140566302975705,-0.0200955384917685,0.0421390538876354,0.117013121440391,0.214288866530834,0.11336772050257,0.0020158875032098
"SNAI2",0.00760238275977718,0.0901501154156668,0.0860478131314023,0.195384020157498,0.00449949257564841,-0.0781565976777814,-0.0243107764507648,-0.257060651450271,-0.223815402389441,0.126045809696195,-0.0856301654224361,-0.138447569642354,-0.172068103335647,-0.171218710228305,0.0733767601309807
"miR34a",-0.160363620407301,0.103252975198595,-0.110141008762235,0.185684595050114,-0.0485054830934863,0.0534411105306468,0.0719884038609331,-0.0498031723405737,-0.103182391198645,0.0127428445405699,0.110435899369615,-0.0728016544222377,0.0158630629791316,0.0166475694317427,0.130350341919531
"GSC",-0.198663752192843,-0.0494811161257593,-0.225279129956142,-0.0657579107836973,-0.0830662141787164,0.0446873560175905,0.0820729174944539,0.132962719318835,0.236023394136013,-0.11492629454487,0.225322860087185,-0.0255257781018726,0.0667667177300434,0.0672317459661541,0.162775516206622
"TWIST2",-0.018245387194678,-0.141130784427695,0.151782540905918,-0.116375866132199,0.0258673236747647,-0.165589612273132,0.0307702311114809,0.0230071958193329,-0.149018735674961,0.101510351828402,-0.151520005615371,0.156470769251853,0.0866299781488834,0.0869361346678668,0.189329935579503
"miR200b",-0.263235090625971,-0.257458833009612,-0.246280311345278,-0.244959007274226,-0.227892648008382,-0.0134606690896749,0.0183593056974279,0.0958296511337632,0.107479371543361,0.0678333012955914,0.246761650207837,0.0697167612507135,0.230710963366516,0.231653424276486,0.282727601709797
"ZEB2",-0.488105926111323,-0.281717241439807,-0.267040156103002,-0.266791355218908,-0.250614615350863,-0.23913601536325,0.0128541943213458,0.0882705990660788,0.0986158658981077,0.104339581485961,0.267809076777263,0.283688249911589,0.349711415038745,0.35095970244931,0.411071463925175
