"","ZEB2","miR101","miR34a","SNAI2","miR200a","miR200b","miR200c","TGFbeta","ZEB1","TWIST1","FOXC2","GSC","miR141","TWIST2","SNAI1"
"TWIST2",-0.106728181887138,-0.0943926740635008,-0.0727516146248103,-0.0935000685293939,0.0235985520265022,0.0820917156197113,0.0794396961400036,0.00892240746945939,-0.0569615841238518,-0.0406703072220544,-0.0791364816689511,-0.00974354075789731,0.0570886740718724,0.127550020817397,0.100457717207477
"GSC",-0.0826407648736796,-0.0831087235295495,-0.0233271597802692,0.00782670945222477,0.066968108146993,0.0132580728366772,0.0181762799494906,0.0275179492275368,0.0555539312343512,-0.0145024629864487,0.0474702586338864,-0.0274668402897824,-0.0554423948327022,0.00688821555635445,0.0721591988784225
"ZEB2",-0.0763766397780474,-0.0311142119493997,-0.0275607568576768,-0.0238498091602294,-0.0160648527657999,-0.0139903416178427,-0.0126519505153416,-0.00523944302664265,-0.00523662350023475,-0.00490977829123315,-0.00464507441304993,0.00400637863327989,0.00537149567028318,0.0259174416258542,0.0372987912778593
"miR200c",-0.0240837785404033,-0.0406123087795359,0.00302420086773877,-0.0167200524546358,0.0100015038368465,0.0373442417384765,0.0128665572308549,-0.0823736013164002,-0.00378196375289014,-0.0140662539650808,0.0125934836176937,0.0830676061182923,0.00351074781687119,-0.0116954315803199,0.0632779546454174
"miR141",-0.0240837785404033,-0.0406123087795359,0.00302420086773877,-0.0167200524546358,0.0100015038368465,0.0373442417384765,0.0128665572308549,-0.0823736013164002,-0.00378196375289014,-0.0140662539650808,0.0125934836176937,0.0830676061182923,0.00351074781687119,-0.0116954315803199,0.0632779546454174
"FOXC2",-0.0214220001029263,-0.0918509493063792,-0.00621035401065218,-0.0884527507129453,0.0057031105462693,0.0119841576013147,0.010378516366825,0.00345299341459194,-0.00740146930882154,-0.00755444392466027,-0.0906434818014681,-0.00540129695142706,0.00792794809482339,0.0928972024751927,0.0976966865582437
"miR200a",-0.017292870354405,0.0507874479874972,0.00954591086399975,0.024990799941669,0.0152876511568454,0.010771327830577,0.00436818379887565,0.0931047447775251,0.0118086510407871,0.0161377688130111,-0.0106350459612917,-0.0947854070086132,-0.0115642790028725,0.00205499647964891,-0.076290047951512
"miR200b",0.00306500313724951,0.109849900829888,0.105378827089394,0.0817353384617892,-0.000147142324920762,-0.0310368258973719,-0.000692951875882296,0.0924145347639635,-0.000602988148101147,0.022704578547394,0.0213090768264991,-0.0924133402634439,0.000391013918243327,-0.0907264595202082,-0.139243074702703
"ZEB1",0.0213654334890748,0.0926911261108634,0.00613947488567363,0.0881590277610566,-0.00580671109957728,-0.0117553499842353,-0.00991144571587783,-0.00450488413056865,-0.091598495602228,0.00748872912688262,0.0909843470748544,0.00345299341459194,-0.00740146930882154,-0.0923610873292796,-0.0976143791282344
"miR34a",0.0216462462122797,0.0896248664638468,0.0525082084166396,0.0875059306356851,-0.0545816045638383,-0.0335767393558935,0.0352123263325998,-0.0336735176141237,-0.0091985371467779,0.0340523035106725,0.108534834723124,0.0336389338029877,0.00900839168313909,-0.210774585518011,-0.0966655619518736
"TWIST1",0.0265142511631704,0.0091911045148108,-0.00114233997503233,0.0313949461565918,-0.0504843232795646,-0.00731715734093804,0.00645288424556306,-0.023619530583299,-0.0640980910081822,-0.0114770554990963,0.115155330441155,0.0239096065110073,0.0642658453556645,-0.0713624602194309,0.0130713370798868
"TGFbeta",0.0321739086519652,0.0698388357304356,0.102433566716818,0.0373082867872571,-0.0126547196279897,-0.0886207835282981,-0.0160863105907954,-0.0936468244355781,0.00301350849616785,0.0290381059323785,0.0119648346907703,-0.00594503205277448,-0.00296926751144511,-0.0943623620370249,-0.103246976165033
"SNAI1",0.0658348296592508,-0.032383719082354,-0.0893953784135364,0.0558874144637673,-0.0691589110050122,-0.0242645449878782,-0.00498116802987848,-0.0334034157917743,-0.0705673482770015,0.00307356923297536,-0.0314013365561226,0.0336044443283103,0.0704755331191536,0.0253029969121163,-0.0761933177714303
"SNAI2",0.069042083963672,0.0326093944175773,0.000162558752035764,-0.0270539010865065,-0.0316078722026391,-0.0435260367866509,-0.03432387632544,-0.0136702304319401,0.00204206573776255,0.0757051049200861,0.0323762648517282,0.0132433954263373,-0.0024603832906886,-0.0853415096236112,0.00419080298853162
"miR101",0.123092712103283,-0.0107505573814057,-0.033469837142014,0.0762341141374026,-0.0589522650759939,-0.085635064561305,-0.0617661315549376,-0.0196561413855642,0.00286826134147033,0.00324707480979844,-0.00883370565724369,0.0201100550715896,-0.00277517528289771,-0.00581035252478342,-0.00167293141554314
