"","ZEB2","SNAI1","SNAI2","miR141","miR200c","miR34a","GSC","TGFbeta","miR200a","miR200b","TWIST1","ZEB1","miR101","FOXC2","TWIST2"
"GSC",-0.10766176510449,-0.0758729553436116,-0.022015285664476,0.0374313989168085,0.0682754691867524,0.0569323398587246,-0.00590599742001231,-0.00570093069445469,0.0390386902100375,0.0790278560045726,-0.00238435185110835,-0.0373090528198456,0.0768648260437838,-0.0860665242610499,-0.0180694003009522
"ZEB2",-0.095378507071478,-0.040477995512819,-0.0221870224767888,-0.00527479129812503,-0.0043157457308678,-0.00332515852108467,-0.00271804958355728,-0.00251507602086382,-0.0011963847943927,-0.000501584225330253,0.00342420785980667,0.00537582100484027,0.00927354669906284,0.0104644452054272,0.0140981966416795
"TGFbeta",-0.0900452797675995,-0.182400809344498,-0.137652720918339,0.0086023280708837,0.0501998016658396,0.151506120965108,-0.0122331936893195,-0.11237193021897,0.0407471573581155,0.143911635238086,0.0318425223918082,-0.00863401842164254,0.0234135954512193,0.0520605265212184,0.0759784674832207
"TWIST2",-0.0800010083554453,0.217130918924166,0.03294353636128,-0.0966431615179625,-0.010443084119332,-0.146845562713223,-0.0330939155933942,-0.0329382907454821,0.0892467659337637,-0.0153271991084604,-0.296560395051069,0.0965824749683886,-0.0706833625548716,-0.231385434950389,0.0790696915331656
"ZEB1",-0.0451344912111058,-0.0474661174035697,0.0961675507307455,-0.021738963725198,0.00267735511864409,-0.0238384034601518,-0.0104533173519909,-0.0105736065579542,0.0298223046242558,-0.000519857324462771,-0.00443007843394534,-0.0782134155562806,0.0728790631989072,0.0838131555349975,0.0112517098422115
"miR200c",-0.0359404682647437,-0.179279245753027,-0.0878648281973696,-0.0154098394662357,0.00962671827495113,0.00145185142656675,0.0758074150413072,0.0755362634233562,0.0254178369963829,0.0113574202428701,0.01824174679893,0.0152746943240556,0.0459439610458953,0.0559377431438914,0.0514064263587163
"SNAI2",-0.00514339680653024,-0.0359718978402347,-0.0587724164637106,0.0281173930829219,0.0166669659723029,0.0318503022056621,0.0088511466513757,0.00904018580215366,-0.0118826528185563,0.00670691824855378,0.0944953142073395,-0.0281478709830951,0.0346509502298259,0.0447169027684576,-0.0796826089336703
"miR141",0.00420654868177554,-0.154569605497331,-0.151817626108934,0.0111875590118955,0.00354819838102079,0.123338986870979,0.0940378110089658,0.093957779474152,-0.00824641133241231,0.0440012225614131,0.0224459073251037,-0.0111014734076301,0.000765521737331854,0.0301259978172553,0.0208115740914321
"miR101",0.0125327138792467,0.205469093192665,0.12326233642964,0.0833849820250596,0.0355202892974958,-0.0458977108258838,0.0320314028323761,0.0322020603034787,-0.0461974785999158,0.023530883417058,-0.196963396422411,-0.0833321309661631,-0.0912694301003357,-0.228369866127974,-0.029310102590104
"TWIST1",0.0290916839933884,-0.192709756541253,-0.160689086618079,0.0877131695366203,0.0188926516859313,0.11332680535832,0.0115619480513465,0.0115819993827549,-0.0645063923948082,0.0558337448893921,0.102916316160152,-0.0876755738946034,-0.0004983008556754,0.290418151488294,0.0842422999306962
"miR200a",0.0359404682647437,0.179279245753027,0.0878648281973696,0.0154098394662357,-0.00962671827495113,-0.00145185142656675,-0.0758074150413072,-0.0755362634233562,-0.0254178369963829,-0.0113574202428701,-0.01824174679893,-0.0152746943240556,-0.0459439610458953,-0.0559377431438914,-0.0514064263587163
"miR200b",0.0376420845486877,0.166026168380056,0.0807718086859591,0.0072732143301212,-0.0145131978757751,-0.00520621811462084,-0.0750335576418192,-0.0749798051184369,-0.0221791512491297,-0.0473129799182974,-0.0168720173531548,-0.00711492789647191,-0.0432563152622522,-0.0517645316399302,-0.0456425556373356
"FOXC2",0.0450441623251127,0.0474049747412771,-0.0960710802566389,0.0219941938060386,-0.00251356206509013,0.0240003063035238,0.0102319192228051,0.0104533173519909,-0.029935165562217,0.000673010810088486,0.00431059698344053,-0.021738963725198,-0.0729631993810206,-0.0838486302014585,-0.0110747654344471
"SNAI1",0.0858519686597665,0.0955697624331641,0.146887195320867,0.0281200844716485,-0.0365410469473265,-0.142274054677141,0.0315177900837239,0.0315705253802906,-0.0507145844815981,-0.0727638422483774,-0.194355174420048,-0.0280548555211235,-0.0745834408652017,-0.218739378726888,-0.0133834170241313
"miR34a",0.113961096451246,0.0779802323797008,-0.0367692287037283,0.115541136525687,0.0640182477621642,0.0151208569024223,0.0466346444682709,0.0468039231227786,-0.155877644133366,0.046491229582412,-0.00807554928833538,-0.115570861498911,-0.0487928881768493,-0.0904370497471352,-0.0395924824750644
