"","miR200c","miR200a","FOXC2","miR141","TGFbeta","miR101","SNAI2","TWIST1","GSC","TWIST2","ZEB1","ZEB2","miR34a","SNAI1","miR200b"
"miR200a",0.117718274029043,0.0796808625511714,-0.179746490080344,0.0359542498495839,-0.086012058677129,-0.0202086055473715,0.121595274345773,0.128591212206425,0.0858316890986682,0.049229746202363,-0.0358598333803896,-0.197254556875924,-0.00958068826307853,0.163111487814647,-0.0160692167953482
"miR200b",0.117825075473438,0.0632137216043072,-0.226797754411343,0.0524679973918823,-0.0883365865128736,-0.0738914864969838,0.0857015260344706,0.139494872762993,0.0882374429697462,0.0870038117710282,-0.0522800901051524,-0.179269497209472,0.0916003706653497,0.234765098528217,-0.0348254693914071
"miR141",0.117825075473438,0.0632137216043072,-0.226797754411343,0.0524679973918823,-0.0883365865128736,-0.0738914864969838,0.0857015260344706,0.139494872762993,0.0882374429697462,0.0870038117710282,-0.0522800901051524,-0.179269497209472,0.0916003706653497,0.234765098528217,-0.0348254693914071
"GSC",0.11255033330526,-0.0079532260381332,-0.361284480359211,0.117769932609034,0.0145273133840697,-0.168215804465313,0.00689732925249495,0.321446564677439,-0.0146061852015918,0.0183859206723332,-0.117748313218406,-0.105870948332793,0.0319704366175924,0.247487692914688,0.00805746915404114
"TWIST1",0.0805697786866899,0.00105006927795059,-0.306916113147703,0.0838685196640561,0.0149326245525195,-0.084078082988959,-0.0420406523908612,0.177930595911304,-0.015047585519261,-0.0651333937771655,-0.083684689938608,-0.0792472210876839,0.0357995060542773,0.193040144029935,-0.0107204038590746
"miR101",0.0471440493026107,0.0178390649189132,-0.28228137948466,0.0260321621914001,0.00376755689632393,-0.154667573259393,0.0694419526880368,0.217952353307522,-0.00378866916079023,0.0653104684242184,-0.0258729270655635,-0.0609602613828394,0.0681246615515108,0.282003161506191,-0.0156186192757461
"TGFbeta",-0.044065545445633,0.0710069626401025,0.324720492761469,-0.113457045012049,0.10507550462069,0.101370321384871,-0.122593919722291,-0.209070941783293,-0.205115835007216,-0.161339678430433,0.1135609015081,-0.0303006236445045,-0.136266141560168,-0.331108469177762,-0.15464376887019
"FOXC2",0.00390462363696275,0.0164891353082901,0.108201247047527,-0.00902273319381861,0.0035478741333136,0.0836140442655344,0.0629332022450901,-0.0131562739263021,-0.00364196833821756,-0.0196357304380498,0.00891487445672695,-0.0234253864455561,-0.00519015465062615,-0.107450060107637,-0.0170605240600145
"SNAI2",-0.000343024254423256,-0.0073562240245441,-0.106733953429307,0.00658919203346075,-0.0108571042940772,-0.0200401049508177,0.00682028475855657,0.00859337730291574,0.0106030562045702,0.12419141716899,-0.00645421847555106,0.00836633048413535,0.049409495321436,0.150312694625133,0.0331735734663458
"ZEB1",-0.00405336856545521,-0.0165209678805356,-0.108279908264462,0.00891487445672695,-0.00356706921937157,-0.0833545256192974,-0.0632226136674098,0.0130965332010497,0.0035478741333136,0.0200160288666779,-0.109031670534785,0.0233972512187714,0.00519686951509781,0.107527664255931,0.0171444816937009
"ZEB2",-0.224092235870702,-0.168001060787255,-0.0988129933835504,-0.0711512036973751,-0.0678938496865506,-0.0388810870075082,0.0309409304566624,0.0624659333468653,0.0677771398880018,0.0694516842005884,0.0711059145185027,0.093949597706121,0.109466507111904,0.110227719669031,0.17351448059531
"miR34a",0.0546991632504043,-0.174061205733616,-0.182795911091564,0.123165051224516,-0.00765425056798407,-0.0961344061838854,-0.0140422671074584,0.0899260681967621,0.00750560085345219,0.06174524956121,-0.123044735856705,0.144899374454648,0.0323446621888445,0.218546460978796,0.0819550556955373
"SNAI1",-0.0208042440908632,-0.144007351886811,-0.317799030139903,0.11851457056036,-0.0309302626752647,-0.160231342712931,0.0887916473052725,0.248094684815968,0.0309203500255341,0.101218835438634,-0.118652138726159,0.178018631225569,0.130294796543979,0.217711315714168,0.125801100578134
"miR200c",-0.117825075473438,-0.0632137216043072,0.226797754411343,-0.0524679973918823,0.0883365865128736,0.0738914864969838,-0.0857015260344706,-0.139494872762993,-0.0882374429697462,-0.0870038117710282,0.0522800901051524,0.179269497209472,-0.0916003706653497,-0.234765098528217,0.0348254693914071
"TWIST2",-0.0783188611999201,-0.131722699233954,-0.0803257690306877,0.0547462785760793,-0.0435445917507376,-0.00721789871963728,0.139898408599166,-0.00225357129215063,0.0435372349397454,0.14157390240101,-0.0547876157910064,0.211229334293477,0.0474748497131316,0.164777267885829,0.133765882546067
