"","ZEB2","miR34a","miR141","TWIST2","miR200c","SNAI2","FOXC2","GSC","miR200a","TWIST1","SNAI1","TGFbeta","miR101","miR200b","ZEB1"
"TGFbeta",-0.0777617639060038,0.0370366525394593,-0.00868739620606106,0.187242839861786,0.0352713125102879,0.217393437829369,0.0290828829538814,0.00133848995490478,-0.0445886920646992,0.0207843218611431,0.021898445700142,-0.101130385160428,-0.118473746508522,0.114767503441104,0.00858291217831161
"ZEB2",-0.0771781126861336,-0.0436219609665756,-0.0420761232295337,-0.0337066129419333,-0.0318053416306149,-0.0267204739445036,-0.00838110102558804,-0.00824271102792246,-0.0057806059534496,-0.00370986909042345,0.000301486529386193,0.00812092689030639,0.0127591461900088,0.0300582554364592,0.0421950695344842
"FOXC2",-0.0559321273690745,0.227342231924831,0.270324619396199,0.0567158592623403,0.263092438108829,-0.198205126719943,-0.139063677602617,0.104821558712373,0.218051960406275,0.0078895095193334,0.132102162446163,-0.105148120952923,0.0369191101326936,-0.285112494377629,-0.270750714803125
"TWIST2",-0.0319992953681149,0.00444496980364351,0.0638634443855383,0.0920088082305652,0.0467006834718593,0.0815007617505571,0.00765380468532708,0.0207890493056075,0.0169863075233603,-0.0632216570192491,0.0535061682170216,-0.0210793603855307,-0.0739730099177702,-0.00936035389344362,-0.0636180596416092
"TWIST1",-0.027022727669396,-0.0313318082272042,0.0409986503733889,0.111543749113774,0.0380981639958694,0.137663967042855,-0.232757295739567,0.0160301470927031,-0.00617723546720578,0.0310159264403019,0.0531991090741501,-0.0162627425370406,-0.113113175327456,0.0153926220050695,-0.0407137013349298
"miR34a",-0.0164584989756966,0.0308189439538564,0.145034514428465,-0.0313363609710376,0.133553885299507,-0.169133687754454,-0.104835564203142,0.0234557677439928,0.119252912801198,0.0362154613443112,0.0920343873960791,-0.0235121939621621,0.0427578999633135,-0.143607072025186,-0.145126520297968
"miR101",-0.000922867326723878,0.156699997208416,0.242659310070575,0.0609732348511585,0.123316288752419,-0.00149833946160548,0.0735948798185654,0.0696423746025613,0.123663764218497,-0.0317223374132408,0.0181012240426709,-0.0695614442554405,0.0450054656958121,-0.0951892474613121,-0.243106327736467
"miR141",7.25907620496655e-06,0.122347633476361,0.224999042424544,-0.0812172549221803,0.112404455877351,-0.2525637764786,-0.0905664638469452,0.142500871646385,0.114355721917738,-0.0131843847398918,0.0699818021550511,-0.142566569174964,0.0926168936337477,-0.132450758378832,-0.225345236144924
"SNAI2",0.00335139377881209,-0.117973864258994,-0.1259096811886,0.262489362686062,-0.0663641347409252,0.218239083747683,-0.0462359380064119,0.176232863699059,-0.0625510655659604,-0.0883509719711635,0.0983462560667667,-0.176079750540737,-0.30773995685337,0.276400420092578,0.125982359258244
"miR200c",0.0188352049878476,-0.185593424985724,-0.220051413011804,-0.131349440089686,-0.119851588487653,-0.0941585861168781,-0.0139206405194182,0.0308595726806477,-0.101560018558073,-0.0183735630824312,-0.0193221078254446,-0.0307126491167359,0.056025314051219,0.0548134376939056,0.220110654717966
"miR200a",0.0188352049878476,-0.185593424985724,-0.220051413011804,-0.131349440089686,-0.119851588487653,-0.0941585861168781,-0.0139206405194182,0.0308595726806477,-0.101560018558073,-0.0183735630824312,-0.0193221078254446,-0.0307126491167359,0.056025314051219,0.0548134376939056,0.220110654717966
"SNAI1",0.0445213318171652,-0.141284284627297,-0.156563047852568,-0.0778743178485664,-0.113018379593009,-0.0384252679288314,-0.0968535823431838,-0.0406431300252728,-0.05292011455303,0.027792716701395,-0.102144888836851,0.0409432850591146,-0.0310655669243974,0.0614812461615389,0.156436917938756
"miR200b",0.0451350822482352,-0.203394036436582,-0.24227105714866,-0.143359646512077,-0.144610787136564,-0.101743401102692,-0.0166889767691494,0.031097047363082,-0.100198697939499,-0.0200131958689404,-0.0205074099473004,-0.030880842769033,0.0606389515865071,0.108752106511684,0.242294198440129
"ZEB1",0.0558115901343231,-0.227495181615575,-0.270750714803125,-0.0568162157921171,-0.263522467221163,0.198587236027996,0.139324339282266,-0.105148120952923,-0.21808379297852,-0.00815834278296922,-0.132025734118297,0.105308080003406,-0.0368326039172812,0.2855110624848,0.170894078229411
"GSC",0.0734717337850539,0.120843349278253,0.131939681250273,0.0190860710332981,0.0291905537093097,-0.071980161358046,0.0233531088264573,0.045032048347442,0.106747346548841,-0.21315226487201,-0.0906099062396722,-0.0450352032201429,0.134187792418766,-0.0364024467857394,-0.132179951296116
