"","ZEB2","SNAI1","miR34a","miR101","SNAI2","FOXC2","miR141","ZEB1","TGFbeta","GSC","miR200b","miR200c","miR200a","TWIST2","TWIST1"
"ZEB2",-0.0899587809348422,-0.0365711035681718,-0.0251486525622079,-0.022380417987547,-0.00796842294773041,-0.00172826488091785,0.00235667143423562,0.00244077990928427,0.00274984726868999,0.00283103669376738,0.00505960139531306,0.00549471206028992,0.00570327297797201,0.0155283435285564,0.0239837687317569
"ZEB1",-0.0162246403543295,-0.11643138080752,-0.0237642164323129,-0.0124838404340233,0.0916310607232826,0.104210395348816,0.00597059050819856,-0.0940259005967525,-0.00309784977003154,-0.00306201894272333,-0.0154674706996127,-0.00886043656748429,-0.00203224508552636,0.0138079454829776,0.0184139595070516
"miR200a",-0.0104325782364569,-0.148608052566062,-0.106920087535588,-0.0815310764662386,-0.0150265878456415,-0.0093209304058686,-0.00688666776851825,-0.0069255451381865,0.106952478092521,0.106850945548355,-0.0100207648899523,-0.00160825687596906,-0.00878592712412794,0.0513361395525899,0.0929388339740132
"miR200c",-0.00536526516672547,0.0689409034625402,-0.0149279765267713,0.071954349858276,0.0749192380989097,0.0529307866368241,0.0116920405724482,0.0116966688307421,-0.110927470510717,-0.110830715968629,-0.0394338868898867,-0.0090480917766023,0.00334641694254528,-0.0183915296497956,-0.0772632781081767
"TWIST2",-0.000908428657464972,-0.274902602667602,-0.111596180957783,-0.118865733270566,-0.006447533065739,0.161266193714601,-0.0134578393264671,-0.0133931949584428,-8.622016012192e-05,3.31865413669854e-05,0.00621902846993844,0.00702121950282688,-0.00784985589301378,0.0870461205720159,0.092289471164154
"TGFbeta",-0.000414330157994337,-0.136251602530989,-0.10667118183321,-0.081937477783724,-0.0298030618413533,-0.026024163934756,-0.0115493647997123,-0.0114335852013953,0.0903739499841965,0.190572375485907,0.0797612785857517,0.00646226665031834,-0.006774739546875,0.0917071620107431,0.0944624765144898
"miR34a",0.00465882373408675,0.228914203886395,0.0710903552773779,0.0537017822102013,-0.104455092356417,-0.144186479775403,0.0636930763397968,0.0637548854111037,0.018741635199105,0.0188502405007426,0.0118429132241213,-0.076151547392352,0.080360233810424,-0.0191213949811836,-0.109009742589479
"miR200b",0.00536526516672547,-0.0689409034625402,0.0149279765267713,-0.071954349858276,-0.0749192380989097,-0.0529307866368241,-0.0116920405724482,-0.0116966688307421,0.110927470510717,0.110830715968629,0.0394338868898867,0.0090480917766023,-0.00334641694254528,0.0183915296497956,0.0772632781081767
"miR141",0.00546351506143597,0.161147509403898,0.118558384833236,0.0887184969996516,0.0175219939157981,0.00988904844550707,-1.82899777655212e-05,0.000121483422708412,-0.111578661888022,-0.11140307031164,-0.0223827355583886,0.00278595554473616,0.00316110543512515,-0.0575182214548378,-0.102699179673582
"FOXC2",0.0161657044582225,0.11643138080752,0.023791821986252,0.0124068143518069,-0.0915313566019993,-0.104199598711198,-0.0060101031148559,-0.00597059050819856,0.00306201894272333,0.00306755389595297,0.0155643448923277,0.00894435880340416,0.00207333804242505,-0.0136442058817627,-0.0183303224916982
"SNAI2",0.0440484619515128,0.159213870292786,0.0630148741195092,0.0953030963596011,-0.0594227487359871,-0.0931804825924808,-0.0070499811042414,-0.00689156300773698,0.00356723442244175,0.00376995966558373,0.0103947820536359,0.0250344803906067,0.0190842771808757,-0.0906752640600106,-0.0300299437223934
"TWIST1",0.0982907945909081,0.212850464975906,0.0999032903638147,0.0224416879871147,-0.135219147709089,-0.194632410701112,-0.0617344816879974,-0.0617082943787304,0.026473312665086,0.0265281196376023,0.088415803717376,0.0763856830350919,0.0219237932476706,0.0733770918052898,-0.190530909878597
"SNAI1",0.102521057041907,0.187673573060305,0.21356389668965,0.129401871292293,-0.12404190191274,-0.132732503065883,-0.0702394504929256,-0.070219047124515,0.0269632218183233,0.0269842366357521,0.0932655088072062,0.0831096453803798,0.0190979501052156,-0.0253463974138683,-0.245093869649267
"miR101",0.111575803294304,0.280002000644932,0.144674064091063,0.123661259123916,-0.130899990727706,-0.141617222248509,-0.0876493936156416,-0.0877029266236852,0.024129896924385,0.0240630414202417,0.12380999230296,0.098186108443805,0.0120143474289934,-0.032041424237754,-0.23344802914007
"GSC",0.141948624010949,0.279892594114661,0.143536324586235,0.122520039811876,-0.127449600467539,-0.261326229901151,-0.0875367065112643,-0.0875809279920943,0.0280139132545343,0.0279438750805746,0.135404790082389,0.110573932615698,0.0250442960715592,-0.00473804532984238,-0.142845348899556
