"","miR200b","miR200c","miR200a","TGFbeta","ZEB2","SNAI2","TWIST1","SNAI1","miR101","FOXC2","GSC","TWIST2","miR34a","miR141","ZEB1"
"miR141",0.0979228035650983,0.0872409521839715,0.0872409521839715,0.137583214000515,-0.159608957282878,0.159795588299924,-0.0155343837502521,-0.0697815694416508,-0.115356719153452,-0.084806381953636,-0.137641744525976,-0.0384677305350039,0.0926681708013282,-0.00964551440317559,-0.00943724277995285
"TWIST2",-0.00377058531899538,0.0905251903423819,0.0905251903423819,-0.00787645139082939,-0.116585970418938,-0.22821998794376,-0.188218840958147,0.0162379914203715,0.137476923102782,0.0767254006648066,0.00771629927461441,0.160767139665439,-0.0408507914729764,-0.0627272472124837,-0.0626296210240388
"miR101",0.00415302623550806,0.0198012744349978,0.0198012744349978,0.0114353953423449,-0.114400796112687,-0.0508548197674813,-0.0191959750614864,-0.014113541146701,-0.0313773383681656,-0.0949686155303686,-0.0112559410943814,0.0485339205957643,0.0506839537202495,0.0756265052089817,0.0753608860162049
"TWIST1",0.14444931234167,0.120330740870928,0.120330740870928,0.0343398022042043,-0.0945830301028598,0.221971440788904,0.0286068308351164,0.0122283283403639,-0.105891667464015,-0.0237685182336432,-0.0343077200739508,-0.216423071987466,-0.112054343074548,-0.146693521238063,-0.146673038095171
"ZEB1",0.0255499545523753,0.026389947137743,0.026389947137743,0.0111069712214779,-0.0900561293869944,0.0964392148267371,-0.00583537125419293,-0.0774131462745529,-0.0877243004001218,-0.0900060928346209,-0.0111274459799398,0.0152909967098469,0.0258427704267628,0.0118603875345472,-0.0882654314164937
"FOXC2",0.0254337055211172,0.0263048673537414,0.0263048673537414,0.0111274459799398,-0.089983570117918,0.0965938909500253,-0.00593991752338464,-0.0776012775431456,-0.0874221211545034,-0.0898287195023159,-0.0111219110267101,0.0155999891831071,0.0254271949255728,0.0114257488613165,0.0118603875345472
"GSC",0.106920360427338,0.0969699252194186,0.0969699252194186,0.0153345651212708,-0.0876199763608763,0.0461420362183364,0.113598704139161,-0.00671233455165789,-0.077892707911697,0.0483729232750798,-0.0150929018723829,-0.0426184390126031,-0.039806587688785,-0.10323551846026,-0.103735221193639
"SNAI1",0.0523209121188133,0.0464764097754412,0.0464764097754412,0.0179525122325507,-0.0688424313876235,0.0705245277189087,0.0163945503762381,-0.0962530910217995,0.0156166878549948,0.0722130841524781,-0.0179687689781089,-0.0632666501650105,-0.0659858563523606,-0.0348711397533898,-0.0350835202700279
"ZEB2",-0.172852227525646,-0.158173481680424,-0.158173481680424,-0.0463285901873505,-0.0460314369382794,-0.0205985323856783,0.000734650576702879,0.00458542775759167,0.0123678202215864,0.0183434276690599,0.0460697988949163,0.0540129390757738,0.0882433750879345,0.0896570805064208,0.0897680638788223
"miR34a",0.0758132798852762,0.0767314220936467,0.0767314220936467,0.0112677772215396,0.0459205360693153,0.0805325464902648,-0.0268183527204151,-0.0117480067294975,-0.0526849813190649,-0.0527554038018214,-0.0111082063034911,-0.00292529181219801,-0.0350651536223354,-0.0959018160215661,-0.0962254879522267
"TGFbeta",0.0526846650152768,-0.093104118945519,-0.093104118945519,0.0898372884327314,0.126022635798222,0.159478018244801,-0.0135501815415187,-0.0224178998180293,-0.0909979013040153,-0.0642918313833935,-0.189658221516554,-0.109138701250053,0.0927512600646164,0.068883598209228,0.0684553078252099
"miR200c",-0.0979228035650983,-0.0872409521839715,-0.0872409521839715,-0.137583214000515,0.159608957282878,-0.159795588299924,0.0155343837502521,0.0697815694416508,0.115356719153452,0.084806381953636,0.137641744525976,0.0384677305350039,-0.0926681708013282,0.00964551440317559,0.00943724277995285
"SNAI2",0.205484280447359,-0.068237547506244,-0.068237547506244,0.197419693267133,0.173006432931537,0.331510186377793,0.16248843548847,0.00969099588983232,-0.315034396099008,-0.0567811956811235,-0.197300795339721,-0.386753828105185,-0.023094208129817,-0.0355883686036234,-0.0356670752689058
"miR200b",-0.0473907538543895,-0.117066438725388,-0.117066438725388,0.0834667436076208,0.221849602369091,0.0892379522479138,-0.0103858840989838,-0.0178871104990833,-0.0539991649271786,-0.046225979295154,-0.0837426732276502,-0.0550858014827463,-0.00405370632818864,0.0123906317202756,0.0125637285804652
"miR200a",-0.0473907538543895,-0.117066438725388,-0.117066438725388,0.0834667436076208,0.221849602369091,0.0892379522479138,-0.0103858840989838,-0.0178871104990833,-0.0539991649271786,-0.046225979295154,-0.0837426732276502,-0.0550858014827463,-0.00405370632818864,0.0123906317202756,0.0125637285804652
