"","ZEB2","TWIST2","SNAI2","TWIST1","miR200b","GSC","miR200c","miR200a","ZEB1","TGFbeta","miR141","miR101","SNAI1","FOXC2","miR34a"
"ZEB2",-0.0908240019086194,-0.0547359860034446,-0.0524535071192517,-0.020665679186252,-0.0127496465703229,-0.00887600468962085,-0.00530821410447607,-0.00530821410447607,0.00858028609169337,0.00862482490578769,0.00923573497713165,0.0163825380599799,0.0207511054853129,0.0476189164286091,0.0585974374611057
"TGFbeta",-0.079726949535889,-0.106286705331263,-0.0782283448589757,-0.00405336653441827,-0.0551895155379808,-0.156631909053992,0.0620451697751637,0.0620451697751637,0.0480493482941145,0.0572013741117452,0.04792227312523,0.0354587413997764,0.0060236737430349,0.0683780940603152,0.0716907780443281
"TWIST1",-0.049689410897099,-0.158157804715775,-0.239420106391779,0.172139392360004,-0.0351878779801055,0.0095763140895087,0.0521618254113664,0.0521618254113664,0.0497897539771054,-0.0101457719015074,0.0499621753698035,0.190918851935205,-0.0756948011173207,-0.0646665278656965,-0.033736229754904
"miR101",-0.0356880037329867,-0.0239028340464874,-0.17242532390856,0.0139933579785482,-0.0539126101963304,-0.0209778223131603,-0.0289734850970697,-0.0289734850970697,-0.0905708742947687,0.0203726040651264,-0.0903536734914326,0.147266323977252,-0.0218469310691494,0.0306511470789329,-0.065595050772175
"SNAI1",-0.0109919407825076,0.0530873251095089,0.184198822870238,-0.0398740946691468,0.0835640866927285,0.0465674772066596,0.0462268161696596,0.0462268161696596,0.06993173550643,-0.0469857910252898,0.0700992904409537,-0.164397140579887,-0.0593605164330333,-0.0454210219995446,0.0997113036304787
"FOXC2",-0.00352936018963242,-0.0103754516134476,-0.0988246854488129,-0.0841790448978663,-0.00291134626632778,0.000895964942506887,0.00615683581221002,0.00615683581221002,0.00590073483234258,-0.000884895036047596,0.00574375231400126,0.00439909247744953,0.0909082073811245,-0.0703273096867409,0.02367474234563
"miR200c",-0.000349760165055796,0.0748877782355955,0.0655335293259473,0.0141680179508625,0.0266076672308625,0.112181907406875,-7.57020181556373e-05,-7.57020181556373e-05,-0.00167833816033543,-0.112199824914669,-0.00124605883569088,-0.027226868982605,-0.0106501387473123,-0.084173552392978,-0.0889893245669637
"miR200a",-0.000349760165055796,0.0748877782355955,0.0655335293259473,0.0141680179508625,0.0266076672308625,0.112181907406875,-7.57020181556373e-05,-7.57020181556373e-05,-0.00167833816033543,-0.112199824914669,-0.00124605883569088,-0.027226868982605,-0.0106501387473123,-0.084173552392978,-0.0889893245669637
"miR141",0.000349760165055796,-0.0748877782355955,-0.0655335293259473,-0.0141680179508625,-0.0266076672308625,-0.112181907406875,7.57020181556373e-05,7.57020181556373e-05,0.00167833816033543,0.112199824914669,0.00124605883569088,0.027226868982605,0.0106501387473123,0.084173552392978,0.0889893245669637
"miR34a",0.00330517965277365,0.0238425606924956,0.0846580682538617,0.0422904970784452,5.57689717806896e-05,-0.0210943295755277,-0.104414468519699,-0.104414468519699,-0.103104647212992,0.0210160609503252,-0.103100872613218,-0.00252091319329372,-0.0820200637082371,0.0545044357960347,-0.0938415567172177
"ZEB1",0.00345383931773655,0.0097838762800262,0.0990030749847307,0.0837668338936248,0.00275819278070206,-0.000884895036047596,-0.00623960050004824,-0.00623960050004824,-0.105920785661194,0.000785080588546157,-0.00590073483234258,-0.00444530812677941,-0.0912268547173034,0.0700944107895403,-0.0236143085653851
"miR200b",0.0180718991585876,0.0540094712052549,0.0505017188331923,0.00437358157350015,-0.00883336289137833,0.0988484839832877,0.00157462061302552,0.00157462061302552,0.0203897039703732,-0.0983002082447878,0.0202693692547334,-0.0220000598206128,-0.00651446557369496,-0.0661411773365713,-0.0618211221257737
"GSC",0.0330489524042589,-0.0220022468177095,-0.0112665259808396,0.0759176094158101,-0.0411722927381675,-0.0231198331646482,-0.0205458752571772,-0.0205458752571772,-0.0126153917129948,0.0237892971517763,-0.0129283815273138,-0.0633040969864102,0.0431916406689522,-0.1502530515373,0.0336601567258456
"TWIST2",0.0754930729181103,-0.0757827881240322,-0.0121136984529314,-0.166305096522538,-0.0161595397888634,-0.0171081719874072,-0.00550471532712179,-0.00550471532712179,0.0640080643550946,0.0172026787132302,0.0638849322255244,-0.0438179503935775,0.089150035410958,0.036663523166646,0.0756249661471178
"SNAI2",0.110594592587671,0.226137233224953,0.195833609882334,-0.207462434495554,0.198755138439021,0.177279670558454,-0.0301180130847953,-0.0301180130847953,0.0485841617022906,-0.177629521294509,0.0485938744397084,-0.309551465523159,0.118323846130262,-0.0233723213399324,0.0752524659670694
