"","ZEB2","ZEB1","SNAI2","FOXC2","SNAI1","TWIST2","miR101","miR200c","miR200a","TGFbeta","GSC","miR200b","TWIST1","miR141","miR34a"
"ZEB2",-0.0881501088928258,-0.022490380195768,-0.0184549144308912,-0.0105190508716125,-0.00671492392536359,-0.00662804532672455,-0.00636222503489337,-0.00220410107828872,-0.00220410107828872,0.00505480536849542,0.0051918125233135,0.00892373507118159,0.00959186678715063,0.0226093265007185,0.0302961567971745
"TWIST1",-0.0774465757937823,0.168572985367115,0.0895458370331948,0.0272155052892534,0.00677915157024621,-0.0661334523096843,0.0575361278346538,0.0523034079323979,0.0523034079323979,-0.0478787755057119,-0.0480137878038618,-0.0690158172273552,0.0040470716836227,-0.168714293125041,-0.0779694742046637
"GSC",-0.0547086186601611,-0.100567127798803,-0.0402735763163447,0.0803308045429409,0.0163461613747346,-0.0122471925981107,0.0206970728912696,-0.0815833206437925,-0.0815833206437925,0.0401724369102687,0.0402172361026212,0.0917253383179078,-0.0859589851497672,0.100641812966427,0.0645313422319398
"miR34a",-0.0197717350072984,0.14218405245844,-0.0503339398754499,0.085532231383934,0.0466597579618051,0.0109113159458159,-0.0465224492688276,0.116774523811733,0.116774523811733,-0.0363071950875559,-0.0358915826203954,-0.0266923543023212,0.0316573026798139,-0.142293515851899,-0.107580191530998
"miR200c",-0.0100022601486536,-0.175022114790648,0.0325192623476192,0.0985550831385794,0.080431404315886,-0.0504021442229489,-0.0242454884816182,-0.0911974258190009,-0.0911974258190009,0.137575246528612,0.137906123172543,0.0630099262185855,0.0137407381117202,0.175263709873587,0.0835802813472628
"TGFbeta",-0.00928222580132668,-0.0871229679013942,0.0348531467221466,0.0641960772714097,0.0268438153550249,-0.0544241817058861,0.00217669113762758,-0.0466903725754755,-0.0466903725754755,-0.0688859064240269,0.0306785254014878,-0.0468911007274981,-0.0221530924393647,0.0871019455895047,-0.0189033736631603
"miR200b",-0.00479565675660417,0.161541720195206,0.0703782962215819,0.032739667890401,0.011288257506463,0.0389352114154983,0.0291725552537719,0.077645059719405,0.077645059719405,0.0473513933192669,0.0477730520026884,-0.0798512516587076,-0.0496873560334625,-0.161745363560135,-0.153425971901485
"miR141",-0.00479565675660417,0.161541720195206,0.0703782962215819,0.032739667890401,0.011288257506463,0.0389352114154983,0.0291725552537719,0.077645059719405,0.077645059719405,0.0473513933192669,0.0477730520026884,-0.0798512516587076,-0.0496873560334625,-0.161745363560135,-0.153425971901485
"miR200a",0.00377212271228459,0.188196772223237,-0.026634593963344,-0.0948590841155653,-0.0791233401286794,0.0524269386247639,0.026497241273094,0.0951280875819999,0.0951280875819999,-0.137677682988629,-0.137934500600345,-0.0353792231477996,-0.0176848555784756,-0.18833747127537,-0.0954284170622918
"ZEB1",0.00574064418547593,0.0330810513627832,0.0668746856112123,-0.130752933968129,-0.108401624820526,0.0881343961965562,0.0854554649008332,0.16363684469605,0.16363684469605,-0.0802354873401545,-0.0801574273235188,-0.170806276996996,-0.0824142954161979,-0.133031425561377,-0.130049738008725
"FOXC2",0.00601340780514689,0.133031425561377,0.0663061026492993,-0.130615662432693,-0.108235834140079,0.0873949270297796,0.085579891649029,0.163844624576707,0.163844624576707,-0.0801574273235188,-0.0800522632121555,-0.171141184920383,-0.082169358442663,-0.133545089447922,-0.130604087375662
"SNAI2",0.0180925079297753,-0.0289613051388466,-0.0273976730891653,0.0581742571190359,0.0327102872353078,-0.0858191373802822,0.0138030762936098,-0.00452266794755429,-0.00452266794755429,0.000740153652320425,0.00141504908202096,-0.00888738627521836,0.109284386404453,0.0290031703863372,0.0067636405358808
"SNAI1",0.0213182933350023,-0.0590358745938091,-0.0424281540656144,0.0531246394789494,-0.11329524983503,0.0309566458970091,-0.0650935437672938,-0.00638082277950008,-0.00638082277950008,0.0132459826119585,0.0132535162257537,0.0175809952538533,-0.0182043933978725,0.059289370989214,-0.015938313347755
"TWIST2",0.0738495369692374,-0.138185006690273,-0.116045982193531,-0.0517606515003603,-0.000266472072139442,0.0801099181474425,-0.0461523773419021,-0.0330270016237874,-0.0330270016237874,0.0366440508751627,0.0367872257352418,0.0527396082932621,-0.157733494260601,0.13826944015055,0.0838617818215208
"miR101",0.0778161933509381,-0.163678159830187,-0.0541231746044272,0.0852918203552863,0.00209632182974823,-0.022650054339395,-0.078389636358107,-0.0395699136200706,-0.0395699136200706,0.0378711646370484,0.0378342181742323,0.0463005806121352,-0.00543946361832744,0.163762380549848,0.0719878260403553
