"","TGFbeta","SNAI2","SNAI1","TWIST1","miR141","FOXC2","ZEB2","miR34a","ZEB1","TWIST2","miR101","miR200b","miR200c","miR200a","GSC"
"miR200b",-0.105207148288054,-0.136831251126897,-0.0176820104731724,-0.0545704850703279,0.224955425488744,-0.0874124145675326,-0.257132257030907,0.203827468712792,-0.225035031531398,-0.0198142307787188,0.0768582475034882,-0.0502007288933426,-0.0135025028987969,-0.0135025028987969,0.105440075889378
"miR101",0.0319708685500005,-0.109308993357319,-0.01078827388053,-0.0154271175513776,0.11291523701951,0.0271755286814234,-0.219218189163355,0.0783234245573793,-0.112950357400584,-0.0192608691778351,0.110187739542366,-0.0624507849853988,-0.0513268852130597,-0.0513268852130597,-0.0317245587978937
"GSC",-0.0285213834402703,-0.0202487294159283,0.0545588843182195,-0.0752783563670157,0.160352603514444,-0.166782047562597,-0.160436554477784,0.0616835381629996,-0.160383558551025,-0.0176543993627413,-0.0644600321489185,0.00263458832893108,0.00837202137046809,0.00837202137046809,0.028538419752855
"TWIST2",-0.00816347674033754,-0.0901609581557292,-0.0260032053728961,0.0624635711782279,0.146677371248156,0.0408764744725913,-0.152082400802052,0.0957743452334981,-0.146577986029289,0.0565959039383345,0.0652812379539884,-0.0271531890401587,-0.00107003667657429,-0.00107003667657429,0.00816404264887541
"miR200c",0.0608178115165686,-0.0436590749772002,-0.0600366930293793,-0.0176760611090381,-0.178442691814415,-0.0229717303311441,-0.135339158903897,-0.0940811975141247,0.178354754906832,0.0641629367483729,0.0514375298856836,-0.1564710854399,-0.158105681872153,-0.158105681872153,-0.0611247981501077
"miR200a",0.0608178115165686,-0.0436590749772002,-0.0600366930293793,-0.0176760611090381,-0.178442691814415,-0.0229717303311441,-0.135339158903897,-0.0940811975141247,0.178354754906832,0.0641629367483729,0.0514375298856836,-0.1564710854399,-0.158105681872153,-0.158105681872153,-0.0611247981501077
"miR141",0.0608178115165686,-0.0436590749772002,-0.0600366930293793,-0.0176760611090381,-0.178442691814415,-0.0229717303311441,-0.135339158903897,-0.0940811975141247,0.178354754906832,0.0641629367483729,0.0514375298856836,-0.1564710854399,-0.158105681872153,-0.158105681872153,-0.0611247981501077
"ZEB2",-0.114889362467903,-0.105835202617488,-0.0822460999775136,-0.073181844987065,-0.0511922382047723,-0.0332976863003496,-0.0156535640791054,-0.0153650766913994,0.0511041482634491,0.0625647587124438,0.0942573513710198,0.102948242994452,0.114065567912751,0.114065567912751,0.115650513328003
"SNAI2",-0.0079815968684473,-0.0273785787869448,0.0410580832729265,-0.0604730722899953,-0.0264506300544691,-0.0662817146113715,0.0433284035544899,-0.0265564839362295,0.0266418705050062,-0.0713639366469884,-0.0575031268777201,0.0210827461392053,0.00829614310754971,0.00829614310754971,0.00784045904094338
"miR34a",-0.104737108676207,-0.040587044706392,0.0949229435850083,0.00439403354756142,0.127699692079828,-0.103540632015619,0.0685590191361324,0.0178522726334948,-0.12757513028727,-0.0384159374022808,-0.0356580080425963,0.0523723904420923,0.142883528081326,0.142883528081326,0.104755917415597
"SNAI1",-0.100188912761499,0.085165980555332,-0.065403652417018,0.00661495837986795,0.094547628142127,-0.0549808171739594,0.119092406868883,-0.0192636042778183,-0.0945145499539461,-0.0164011169177087,-0.109821706194866,0.0980280723271429,0.103314174256432,0.103314174256432,0.100296365884579
"TGFbeta",-0.134541146337754,0.115166276980723,0.0357863818456142,0.0282576986447826,-0.0283412347800217,0.0480985002296465,0.135702533496767,-0.0852413587706985,0.0282725200590693,-0.0794527815895209,-0.0774609763951008,0.137192737215874,0.0495748450705078,0.0495748450705078,0.0344266080400187
"ZEB1",0.145453056085954,0.131301054135951,-0.0673743657538006,0.0429937604849632,-0.203511725072272,0.127862956729475,0.156809866165041,-0.200621611715829,0.10358942203407,0.0820835731996188,-0.0316964958499842,-0.130576325278825,-0.137069844898914,-0.137069844898914,-0.145848474858748
"FOXC2",0.145848474858748,0.131367343903074,-0.0673285087570811,0.0428324605267817,-0.203521336246865,0.127602295049826,0.156867025099456,-0.200576099856632,0.203511725072272,0.0823054139496518,-0.0315128182693142,-0.130612307121834,-0.137065793480628,-0.137065793480628,-0.146473924573698
"TWIST1",-0.124071932520402,0.0892968784169871,0.0323504651003894,0.00493674488056277,0.115353977930797,0.0255839529718825,0.159208901013975,0.0302736723352584,-0.115406093269041,-0.104715085066885,-0.0786946969943862,0.11691781555031,0.131727663965293,0.131727663965293,0.124255068013932
