"","miR200c","miR200a","miR200b","TGFbeta","TWIST2","SNAI1","miR101","TWIST1","FOXC2","SNAI2","GSC","miR34a","miR141","ZEB1","ZEB2"
"miR200b",0.187681236773204,0.187681236773204,0.122909146034866,0.136042356113934,0.0374654116275776,0.0828260480710042,0.0720446868004408,0.0809573681841185,-0.0261961588970743,-0.0616340677456778,-0.135570528408689,-0.135572386395665,-0.0493549291803439,-0.0493715909102017,-0.332433529514706
"miR200a",0.187681236773204,0.187681236773204,0.122909146034866,0.136042356113934,0.0374654116275776,0.0828260480710042,0.0720446868004408,0.0809573681841185,-0.0261961588970743,-0.0616340677456778,-0.135570528408689,-0.135572386395665,-0.0493549291803439,-0.0493715909102017,-0.332433529514706
"miR200c",0.161147887982492,0.161147887982492,0.0640016201491316,-0.0825478823426197,0.0720318012047221,-0.140379255063485,-0.125549242964914,-0.159585671900332,0.0735731206447036,0.111331782961767,0.0828524799751196,-0.0118624112911905,-0.0242532455185229,-0.0239959143573854,-0.303973724436113
"TWIST1",0.160194364166489,0.160194364166489,0.050709244203061,0.00695228484209664,0.120078444274894,0.0106342836959769,0.0153099718625369,0.00230510901129154,-0.187875780790112,0.0485602394166123,-0.00683197685364621,-0.062684097519685,-0.0817749497909581,-0.0821947245800984,-0.272026531907448
"miR34a",0.19239195282924,0.19239195282924,0.0127885631986025,-0.0212504729968403,-0.117546564751618,0.0206292299066719,0.0328957826596908,0.050891717139119,-0.106867377622388,-0.0337500605107459,0.021238945059795,-0.0906455793246847,-0.138361747806641,-0.13871372923561,-0.167216422238595
"SNAI1",0.109067077734828,0.109067077734828,0.0342707506224132,0.00233902697592112,0.0458089916119903,-0.0689475132440399,0.0897221109980909,0.00318140936868887,-0.112803020937014,-0.0425998104801551,-0.00216575385863068,-0.108214496331257,-0.0857279055355218,-0.0852286412933523,-0.141287216226815
"GSC",0.057679978096885,0.057679978096885,0.0286614749877543,0.00528112796443931,-0.0298114168292639,-0.121960658535721,-0.102492250346984,-0.205554866332459,0.0524691645245231,-0.0141067890094949,-0.00498267700693545,0.0463584573345381,-0.0327963318926991,-0.0323231620478182,-0.0903006351688935
"TGFbeta",0.0347573261005902,0.0347573261005902,0.092573858295204,0.0930491936767049,-0.0314536359812034,0.126079548849616,0.0979299500314153,0.133413127143278,-0.0767985501856348,-0.0685223601104915,-0.192923362870742,-0.12747017620118,-0.0297187788325103,-0.0297410562077962,-0.0407247741505298
"FOXC2",0.0143722448248189,0.0143722448248189,0.0089627656576856,0.00292879222682778,0.0849564530246299,-0.0965767901119017,-0.0912295053694193,-0.106148222780081,0.105917687861196,0.0855434346254053,-0.00252474064106368,0.0124767768225394,0.00167990766313954,0.002135904502131,-0.0387332803851957
"ZEB1",-0.0139607364817911,-0.0139607364817911,-0.0089424682077834,-0.00283537614134566,-0.0853156237627785,0.0969507010082296,0.0911169287877184,0.10570315437695,-0.105616924384679,-0.0852195309665336,0.00292879222682778,-0.0125849607501382,-0.002135904502131,-0.101792534058055,0.0391073308212918
"SNAI2",-0.0625657550956793,-0.0625657550956793,-0.00685462879873475,0.00502357234093264,-0.0153877436600714,-0.0137000385588597,-0.0093237034183604,-0.0782256975678318,0.0284670062629163,-0.0943694418791529,-0.00470280455115102,0.0423823450179901,0.054760912789581,0.0552040145690215,0.0723959951241086
"miR101",-0.0345203434220044,-0.0345203434220044,-0.0912800849540335,-0.0355600256720726,0.0603439434369734,0.00828117957151655,0.0680532406271825,-0.0180486332082649,-0.0959423566117415,-0.0252381790117223,0.0354368707960192,-0.0455720896516216,-0.0710386903672406,-0.0713704586272814,0.140917802689129
"TWIST2",-0.13402006916452,-0.13402006916452,-0.00246162629026237,0.0100543033649542,-0.100397184215148,0.0417808264599293,0.0808603627241898,-0.00200014394344925,0.00550442979735748,-0.0977934905945867,-0.0102540690788195,0.0161043555795103,0.0765262483382377,0.0762148999534674,0.196907899496832
"miR141",-0.145481363908891,-0.145481363908891,-0.0888409355805323,0.0781605103931201,0.0150858367357096,0.0751889606786328,0.0661350680744391,0.0743111251676234,-0.0281346058727665,-0.0571134777546117,-0.0781163138738946,-0.0755358387315011,0.0248733495988883,0.0250112716960447,0.27092823913247
"ZEB2",-0.449007841085624,-0.449007841085624,-0.301934505432336,-0.0806437129312745,-0.0606164395232432,-0.0225607910408501,-0.0196421439134309,-0.0174436554780231,-0.00496212935525371,0.0164440331892935,0.0805878952015338,0.141875565452119,0.144332103977934,0.145295121133077,0.454572013489461
