"","miR200b","miR141","miR200c","miR200a","TWIST2","TGFbeta","GSC","FOXC2","SNAI2","TWIST1","miR101","SNAI1","miR34a","ZEB1","ZEB2"
"miR101",0.115043461251748,-0.148305651198171,0.25830045161898,0.25830045161898,-0.028333161174873,-0.124899591022917,-0.127786693188683,-0.103713768959924,-0.10485799496918,-0.19339979403607,0.117220917800947,0.241546836272054,-0.0117437725774276,0.147938421582483,-0.391067790769585
"TWIST2",0.125722480710659,-0.0745201481426707,0.200408528024613,0.200408528024613,-0.0620249853658601,-0.0665650134827281,-0.0682440641145649,-0.0298057728987864,-0.0813714710569435,-0.252654575389187,0.0642526069934659,0.226988472984097,-0.0689359082568615,0.0741978058177602,-0.345483724559065
"SNAI1",0.105698834365105,-0.0946317056258967,0.201454682449438,0.201454682449438,0.0322785150517159,-0.0780169674406511,-0.0797278907841482,-0.116850024086668,-0.0779703403601302,-0.25809471604993,0.151067111733162,0.186139288153786,-0.137621778981495,0.094190560069503,-0.34034159245757
"miR200b",0.200332735531934,0.259059574398069,0.0237179037882794,0.0237179037882794,0.160162808073003,0.184652645697668,0.184164094985149,-0.066936030882911,0.0985717889524257,-0.181446995571907,0.108258498587641,0.120398434119753,-0.25396264337428,-0.260062055144514,-0.32033165131117
"TGFbeta",-0.0203244069689246,-0.106451561654868,0.174111866521101,0.174111866521101,0.071745212418928,-0.175165289758442,-0.0776189904747094,-0.0656888950967403,0.0153387053515149,-0.15813052358644,0.0867027411271036,0.162127208006073,-0.0712458914156755,0.105454100020587,-0.257103549446463
"miR200c",0.220257063995002,0.30637125804905,-0.0701386843274136,-0.0701386843274136,0.100061339212089,0.0529176756130492,0.0549471319958627,0.0644909351915869,0.0171059688674101,0.0762220294980426,-0.0574357168739001,-0.132669289302676,-0.169693284205468,-0.305696457989808,-0.171616743426943
"miR200a",0.220257063995002,0.30637125804905,-0.0701386843274136,-0.0701386843274136,0.100061339212089,0.0529176756130492,0.0549471319958627,0.0644909351915869,0.0171059688674101,0.0762220294980426,-0.0574357168739001,-0.132669289302676,-0.169693284205468,-0.305696457989808,-0.171616743426943
"GSC",0.0288132849059418,-0.0626455080465078,0.108402633897814,0.108402633897814,-0.0249304203617479,-0.0609708610364204,-0.0613727918185134,-0.0157310479606852,0.0373927243724673,0.0305017571695147,-0.0959849898364004,-0.12462798892053,0.0801450909454093,0.0632243180955937,-0.168112833241755
"SNAI2",0.0171827804667471,-0.0917501686594243,0.103940714721729,0.103940714721729,-0.0147215474691421,-0.0612292457389697,-0.0624242126785028,-0.0202836051793135,-0.11776017834205,-0.117341648242472,0.0453288918232712,0.111335224591614,0.0104968818602862,0.0914062037860416,-0.121911104225833
"ZEB1",-0.16229856956253,-0.217627061966836,0.245316946671054,0.245316946671054,-0.234218221056711,-0.214493796688016,-0.215018462373601,-0.037227021998654,-0.140774377801026,0.120035650411653,-0.0647796253908843,0.0106904171570565,0.231215091712289,0.118622585619295,-0.0799338756811616
"miR34a",-0.0160991075039369,-0.131959543663317,0.126539130840123,0.126539130840123,-0.196749257020815,-0.0840745555742295,-0.0845120104484233,-0.0872581537569754,-0.0786850180760783,0.0560944609360032,0.000769758411578477,0.0731571539491941,0.0274624451162302,0.13219781527408,-0.0161027817470745
"FOXC2",0.160892509851123,0.216692642214804,-0.245926395736044,-0.245926395736044,0.234545700259141,0.215018462373601,0.21799073225792,0.0369817840870322,0.141188823580847,-0.120964618689328,0.0650818046365027,-0.00993083716011364,-0.230569718626958,-0.217627061966836,0.0809796176367079
"miR141",-0.0867684768293032,0.114307917288808,-0.17052857509516,-0.17052857509516,0.111296795110215,0.175699482177709,0.176235812911013,-0.0793725136359399,0.0842610218931118,-0.182398340753905,0.111563760699414,0.140969139926699,-0.156586462497995,-0.115792662549472,0.23355762614925
"TWIST1",-0.161421488200837,-0.17700067194021,-0.0531962408222335,-0.0531962408222335,-0.169657380612836,-0.0517661793217356,-0.0506606825834188,0.0220154995222966,-0.0474129824921599,0.271190597909484,-0.127920924888642,-0.277231672346343,0.202293626740716,0.177997086093803,0.327321859502218
"ZEB2",-0.446058382013746,-0.317909084606072,-0.18197183579119,-0.18197183579119,-0.127538276598773,-0.0618601758196275,-0.0618043580898868,-0.031206146805711,-0.0308526350491055,-0.00247490978306135,0.0139535501859687,0.0572633094152422,0.235272455073024,0.317247663521222,0.347173344766509
