"","miR200c","miR200b","miR141","miR34a","SNAI2","TWIST1","miR101","SNAI1","FOXC2","GSC","TGFbeta","TWIST2","ZEB1","ZEB2","miR200a"
"miR200b",0.197987948029102,0.0956571863755252,0.100394971992109,0.081265489781629,0.143272899143695,0.142410607821097,0.0333374408355829,0.0798625041333596,-0.0296884611746842,-0.152555554152816,-0.152516135635669,-0.119506047437813,-0.0987084346698343,-0.297447361461698,-0.197987948029102
"miR141",0.197987948029102,0.0956571863755252,0.100394971992109,0.081265489781629,0.143272899143695,0.142410607821097,0.0333374408355829,0.0798625041333596,-0.0296884611746842,-0.152555554152816,-0.152516135635669,-0.119506047437813,-0.0987084346698343,-0.297447361461698,-0.197987948029102
"TWIST1",0.221663457369853,0.0437979741234934,0.195836642306004,0.0921790656852758,0.107472641124586,0.123682243314146,0.0324883782667285,0.0104829986633345,-0.207959589456486,-0.0428246661366913,-0.0428995244406161,-0.139241517061291,-0.195822381890066,-0.2607841448484,-0.221663457369853
"miR200a",0.0838038086325898,0.0705742332107715,-0.0185710931467882,-0.0212319596036896,-0.121019579447511,-0.117898993194182,-0.0242695340417526,-0.0739499137926438,0.0301096484791486,0.087357773847087,0.0872634083060379,0.0817732630255032,0.0174890063576887,-0.185335785843211,-0.0838038086325898
"miR200c",0.108016071118024,0.0150262242725904,0.0290101993583037,0.135256816055493,-0.0766378362010965,-0.114639643270466,0.0321393248678306,-0.13967220686116,0.0689632238317688,0.0870477719700243,0.0872639765640733,-0.0290867531819408,-0.0275791418938488,-0.185111030184139,-0.108016071118024
"SNAI1",0.138346252555727,0.0434992330719305,0.113601322210087,-0.00109391962796073,0.0823229501982626,0.0283801249772356,-0.0231400938598714,-0.0686495963835068,-0.11554637599008,-0.0304927560858964,-0.0303519964597222,-0.0162968825568532,-0.112257791314441,-0.177201218226657,-0.138346252555727
"SNAI2",0.0687182940619726,0.00209117095032128,0.0755225906500971,0.0411802987213546,-0.0604813350948534,0.101609525119926,0.0146481871209664,0.0131631599297095,-0.0306790557035139,-0.0114336110303149,-0.011721874350732,-0.04236893886185,-0.0772933231579594,-0.0610955723085734,-0.0687182940619726
"FOXC2",-0.0201460431350971,0.0229865792967449,-0.0327935964641563,-0.0501750001150899,-0.0731629015476543,-0.00390108473059277,-0.0859477854908547,0.0972273491040519,-0.0985785370346101,-0.000406212424715177,-0.000765984384642116,0.112245923704221,0.029894225462138,-0.000275921052031218,0.0201460431350971
"ZEB1",-0.0185619385853544,0.0221922109164814,-0.029894225462138,-0.0477673481539765,-0.0745452857157177,-0.00456420678089446,-0.0841904057996701,0.0980175004321411,-0.0981235358778275,-0.000765984384642116,-0.000535643351946486,0.112628863094158,-0.0683062126484724,-0.000259039915960377,0.0185619385853544
"miR34a",0.0971547927651158,-0.0308803264750062,0.0979493560141574,0.104748165925243,0.0329776355208963,0.0271488580146914,0.0636415757693229,-0.111484233452884,0.10333016502043,-0.00841677297672392,-0.00819046137051825,-0.206445511662249,-0.0964885859014384,0.00116789661457886,-0.0971547927651158
"miR101",0.000534299446232232,-0.0842439112470518,0.102076995401607,0.0326978415170009,0.0793181073031036,0.0159108353657885,-0.0155532439596355,0.00882255483228729,-0.0991791854272613,0.00884303579400089,0.00874803060390254,-0.0322654104886315,-0.102717004676115,0.101289347915508,-0.000534299446232232
"TWIST2",-0.125933500740508,0.00747232007872824,-0.100914583742039,-0.0765379941740821,0.0505798960291469,-0.0328493424197791,-0.00908379737984273,0.0423068017690371,0.00930840065063034,0.0108762434503705,0.0107953185294562,-0.033805758289502,0.099864882337453,0.148967998259732,0.125933500740508
"TGFbeta",-0.173192502731268,-0.11807853389398,-0.150474953097579,0.0235907599099321,-0.12575228394866,-0.15821027797859,-0.00269903920313866,-0.12109383103212,0.0756212969193547,0.225705377030707,0.125950585780788,0.108439688948326,0.151476179922049,0.203000720610128,0.173192502731268
"ZEB2",-0.345478529178585,-0.206422261762465,-0.158186422011968,-0.135716048229686,-0.06831639540242,-0.0606971306108124,-0.0241356191457081,-0.0183906807483965,-0.00120744240784221,0.0898252466914163,0.0902185079691349,0.10163084165606,0.16001043124897,0.237046362343302,0.345478529178585
"GSC",-0.215166395633156,-0.0520328479388189,-0.167991134437897,-0.0494478006114118,-0.0979704372927347,-0.23212730005196,0.052200876916713,-0.102058140246735,0.0360042482524339,0.0415458911935323,0.0416954321595544,0.0703763273512586,0.168082034148492,0.278302959356474,0.215166395633156
