"","miR141","miR34a","miR200c","miR200b","ZEB2","TWIST2","SNAI2","FOXC2","miR101","TGFbeta","SNAI1","GSC","TWIST1","miR200a","ZEB1"
"GSC",-0.313578566568191,-0.23341799782952,-0.112417198921457,-0.116522028735605,-0.119078054673238,-0.044164935731408,-0.126114950305198,-0.158984279429719,-0.136294054401987,0.0252932671853603,-0.0409679471516231,-0.0252661352801326,-0.150055660234893,0.112417198921457,0.315597522842973
"miR34a",0.117864029781807,0.0406166477130322,0.146626891132363,0.121486254687823,-0.0957063826260077,0.0328840427564967,0.0705246283995455,0.0469873936226318,0.00191841312962591,-0.00644444473142285,-0.0420561588098653,0.00648509587784585,-0.0385647459609547,-0.146626891132363,-0.118570351764605
"miR101",-0.27575380472751,-0.178124223136877,-0.097570866825407,-0.101862726288906,-0.0864320317390696,-0.050097986808863,-0.123165522981565,0.00461531138025342,-0.0951680788057579,0.020553475366745,0.0337566477640364,-0.0205270850361622,0.0406612448783698,0.097570866825407,0.27719374035151
"TWIST2",-0.190914987694585,-0.0947067658318686,-0.0578696959091602,-0.0230174854459515,-0.0824351973979047,-0.1046112441233,0.048130352912983,-0.0174369292996069,0.0392214672951363,0.00307649992576397,0.0192027990277537,-0.00305895676109025,-0.0228915294714777,0.0578696959091602,0.191891249579034
"ZEB2",-0.201189412164785,-0.178561487784139,-0.106861227385181,-0.102540724077209,-0.0814289812940769,-0.0692838390036893,-0.0193014793232269,-0.0179911055044328,-0.00911850024621315,-0.00334810577032622,0.00212543382295103,0.00350287311187998,0.011629553253964,0.106861227385181,0.203937121577469
"miR200b",0.342622628082807,0.195058796727643,0.195461401316642,0.208934809180404,-0.0412426799047314,0.0572160788637025,0.0699768465063354,-0.0179527065995615,-0.0365873884329951,-0.103855680208723,-0.143884031993828,0.103940489745615,-0.138458623068182,-0.195461401316642,-0.344689608236836
"FOXC2",0.489001633789727,0.395998439232562,0.376859727729751,0.359069240188718,-0.029877172259393,0.168513056500306,0.124286430881469,0.0931015022128849,0.00102288321895908,-0.000796401258820562,-0.123546904049151,0.000907100323413466,-0.133810598151125,-0.376859727729751,-0.493910808189829
"SNAI2",0.0460216717267588,0.0117107533600959,0.0358447365514916,0.0311102727414325,-0.0239176694980464,-0.000939510097394195,-0.0907413150803165,0.0440782211847978,-0.0232139198404151,0.00197172314367165,-0.0525132838286939,-0.00202219060926396,0.0264947227570225,-0.0358447365514916,-0.0465833358870927
"miR200a",-0.327141799032118,-0.281544259216048,-0.158982267786307,-0.096490182461517,-0.0180365628739861,-0.103490069916342,-0.0178679515010631,-0.0521847344832137,-0.0370703910598563,-0.102712015983503,-0.054911162058638,0.102701265478826,-0.0280837147841962,0.158982267786307,0.329330039553445
"miR141",0.243468251724225,0.119572818955721,0.131542171762651,0.119455630332217,-0.0178293155565553,0.0305922214955866,0.0622342200764293,-0.0254264583686283,-0.039805449003519,-0.110527350968686,-0.142089212971216,0.110475987446343,-0.133862537322084,-0.131542171762651,-0.244425375539391
"miR200c",0.426296175390701,0.357030236987969,0.222901497340298,0.185969361309704,-0.00537680147418994,0.130113927284458,0.0256105779309692,0.0596584862522806,0.0402884516303801,0.109383686743466,0.0531163430360265,-0.109236763179554,0.0234876290380981,-0.222901497340298,-0.42959427225089
"ZEB1",-0.493910808189829,-0.399179046703967,-0.379821314496661,-0.361596272701542,0.0301066964779,-0.170176862125553,-0.124812976430085,-0.0930629427928186,-0.00105487866849515,0.000839910120551959,0.124213594232226,-0.000796401258820562,0.134981516366072,0.379821314496661,0.39710640903798
"SNAI1",0.126405165316,0.115097483371438,0.0344854005584514,0.0581963905577753,0.050352547824932,0.00841187147003058,0.0959460740181282,-0.017083772272275,0.0921499431850353,-0.0197332853360782,-0.112088438042722,0.0197305097941536,-0.0117609650651058,-0.0344854005584514,-0.126859294834109
"TWIST1",0.290907573186822,0.201615882112053,0.117124318940789,0.12639014387298,0.0835380213460811,-0.0247467198631959,0.123262335780843,0.118308191159133,0.0549870825506252,-0.0244904116762518,-0.0471988536920676,0.024479717632834,0.0418112151493138,-0.117124318940789,-0.292554262307162
"TGFbeta",0.166777814811027,0.194284860160734,0.0396636912418367,-0.0290021345125108,0.0941656451597101,0.0837126143166848,0.0275376712990297,0.0477942591636607,0.0600696957174485,0.0733219285155876,0.0899125359730564,-0.173339673885659,0.067213905328803,-0.0396636912418367,-0.167820458727578
