"","miR200b","GSC","TWIST2","FOXC2","SNAI1","miR101","TWIST1","SNAI2","TGFbeta","miR34a","miR141","ZEB1","ZEB2","miR200c","miR200a"
"miR101",0.0334866950717864,0.0271490448701462,0.000306190760824381,-0.0259879334273715,-0.0176350831784002,-0.0257608548393608,0.0119829199855294,0.0674155061177283,-0.0271279326056799,-0.037931474952007,-0.113435213338749,-0.113533754990498,-0.235963581065771,-0.0588340793805264,-0.173466071504521
"miR200c",0.123566149013855,0.142181401599271,0.00905496005993567,0.0235713051511135,-0.060263937894829,-0.0735795255379401,-0.0357675907088669,-0.086105313662766,-0.142132427077967,0.0578002687374079,-0.038021859499861,-0.0379413278055482,-0.222202865178353,-0.0911549095329446,-0.130065656483948
"TWIST1",0.0580731214752375,0.0375476689091352,0.12761058096848,0.072678668984813,-0.0102285687254319,-0.0826827333124799,-0.00493255334509984,-0.120647338786616,-0.0375302910885813,-0.0433057649276719,-0.128241172274269,-0.128312992914536,-0.210674917703653,-0.0277336188737999,-0.161744873747116
"miR200b",0.0991056342724243,0.142057894784524,0.0956060024294945,0.043048440664945,-0.0158316704186123,-0.076434791632653,-0.0994263191749606,-0.138067484868059,-0.141927694227886,-0.0313198113018765,-0.0204738898661969,-0.020166573515486,-0.205713337522322,-0.0925373828101478,-0.113689434980183
"miR141",0.0991056342724243,0.142057894784524,0.0956060024294945,0.043048440664945,-0.0158316704186123,-0.076434791632653,-0.0994263191749606,-0.138067484868059,-0.141927694227886,-0.0313198113018765,-0.0204738898661969,-0.020166573515486,-0.205713337522322,-0.0925373828101478,-0.113689434980183
"miR34a",-0.075680725537122,-0.0077120787231467,-0.172658940903063,-0.0253248972244554,-0.023133503683282,0.0227252772049177,0.0766050105738551,0.0845646731305251,0.00769812385198656,-0.0492621227287077,-0.128628251146125,-0.128835382308749,-0.13158182370922,0.0631974994380161,-0.171145393004441
"SNAI2",-0.179892241343819,-0.186821086233339,-0.173025006205298,0.0319722592754177,-0.00290622494851755,0.184715940523464,0.139077323489766,0.0739003767925371,0.186794569429384,-0.0280815931326135,-0.0478099340374883,-0.0478075895836288,-0.0862189058910993,-0.0182958989467013,-0.0663890933993889
"TGFbeta",-0.0654368471305662,-0.193813985487547,-0.0871501871660561,-0.0218823231615802,0.0054526679264401,0.0539441776191075,0.0941144791968121,0.0994513192650333,0.0938527026586126,-0.029059892842988,0.0597332348358848,0.0599751483055389,-0.0543665585688791,-0.0512247670851083,0.00333585380345932
"ZEB1",-0.00763438140195597,0.000709048063369359,-0.0846279248647225,-0.0754123484242935,-0.0699552304433255,0.00520085378681234,0.0805037035613496,0.0829850862701935,-0.000696251339330713,-0.0110516452458904,-0.0108791215821587,-0.110672096774271,-0.0219266906723996,-0.00227973540142862,-0.0169373155814496
"FOXC2",0.00750982886846518,-0.000614953858465391,0.0843083685462226,0.0760215872613414,0.0696624511565782,-0.00475884257655484,-0.0809846163996315,-0.0830502981549247,0.000709048063369359,0.0106778511236351,0.0106174840515898,0.0108791215821587,0.0220039885059871,0.00236828782967511,0.016742268729691
"SNAI1",0.0161100126678385,-0.00431534285783797,0.0652782838015704,0.024280815380186,-0.0788142229667917,0.0201953121847703,-0.0343503068474608,-0.0840918744137681,0.0042657796091851,-0.0156437959570298,0.089225156307493,0.0889917541385531,0.127514308533587,0.0194800888131055,0.104893799831492
"TWIST2",-0.0892895102908187,-0.0428043339690279,-0.189109233885446,-0.0269489522421908,-0.0323343825374122,0.0883573766746964,0.029058152161994,0.207542792688362,0.0427301999505679,0.0529567350349618,0.0728678516997474,0.072596961014693,0.138424046121635,0.0320992347483713,0.105731590840081
"ZEB2",-0.220651624596161,-0.0865663802111277,-0.0860826494960353,-0.013849386834281,0.00696065026720519,0.0394969344832824,0.0458315086550111,0.0713356958124391,0.0865511571939257,0.094041390184491,0.100268780218113,0.100335967461495,0.2027815917737,0.213510634374784,0.299599213373732
"miR200a",-0.0991056342724243,-0.142057894784524,-0.0956060024294945,-0.043048440664945,0.0158316704186123,0.076434791632653,0.0994263191749606,0.138067484868059,0.141927694227886,0.0313198113018765,0.0204738898661969,0.020166573515486,0.205713337522322,0.0925373828101478,0.113689434980183
"GSC",-0.116941811799502,-0.0319273962276477,0.0232870248191233,0.0752226055676609,0.120569727900664,0.111813880992388,-0.221261093582274,0.0047489135320913,0.03193559889667,-0.0483586511482876,-0.0198512024670211,-0.0197244342219752,0.25292291610047,0.120030335093434,0.11173559098717
