"","ZEB2","miR141","TWIST2","miR200b","TGFbeta","TWIST1","FOXC2","miR101","SNAI2","SNAI1","GSC","miR200c","miR200a","ZEB1","miR34a"
"TWIST1",-0.116778141878926,-0.181573329292599,-0.180908073061409,-0.0924901304862629,-0.0872176597626881,-0.148600937469207,0.0332433867130979,-0.14530067611787,-0.206006800235383,0.01844697499368,0.0871802306107258,0.157466801290399,0.157466801290399,0.181597442359548,0.0806407442382031
"ZEB2",-0.0996444293910635,-0.0876686664972132,-0.0474609345672129,-0.0435820537360048,-0.019847178223084,-0.00911756220168666,-0.00389331743360928,-0.000570634462699808,0.0033560058710134,0.00367863136421267,0.0199283676481614,0.0342293730651064,0.0342293730651064,0.0877348583740266,0.0926383681573222
"miR101",-0.072192240387426,0.10955618347559,0.0611891905424235,0.0854184335480009,0.0175392571241736,0.0498338658847005,0.0289929759323805,-0.0433225834392617,-0.0309940466596219,-0.0430076634189147,-0.0175937971407116,-0.0175853282209037,-0.0175853282209037,-0.109553796653576,-0.0637320178252092
"miR34a",-0.0655455098396184,0.0514140454367103,-0.16362375411868,-0.00553322403779722,-0.000183102478751765,-0.0972140799091756,0.118530242397123,-0.0755221700570558,-0.082706588607704,0.0629086584018184,0.000329325259168834,-0.0461341114992154,-0.0461341114992154,-0.0513343070164747,-0.0573850064008719
"ZEB1",-0.0575364219314491,-0.143708834684477,-0.192974817782447,-0.172251996955612,-0.0952010943794755,-0.143179556543966,0.157142425361941,-0.132250171228618,-0.142339672479209,0.121641493472261,0.0951345514144745,0.189957287388028,0.189957287388028,0.0436897863970688,0.133610918209163
"SNAI1",-0.0282291887989903,-0.0816299676864998,-0.00269513186172813,-0.0315400995495731,-0.0333798843521628,-0.000405419407540062,0.0699372471647743,-0.0753817142288334,-0.0580624068852392,-0.103759211888063,0.0331994741270663,0.0618322519651544,0.0618322519651544,0.081559792464845,-0.00657630105231716
"TGFbeta",-0.021667579713978,0.00424144290517989,0.113602486715128,0.131631159773766,0.107700617189867,0.115681005195037,-0.133416116883436,0.112023878646243,0.156992881204547,-0.0698856306399597,-0.207728041852705,0.00696842996260789,0.00696842996260789,-0.00426999559744776,0.0845373730892303
"miR141",-0.0216165714782454,-0.149879130215482,-0.141214137913329,-0.080369329825311,-0.160703520202302,-0.169733688713273,0.178497454201972,-0.161540466053525,-0.199166179143364,0.123524725155606,0.160592431653979,0.0842758579758235,0.0842758579758235,0.149890238035387,0.0570538328250782
"miR200b",0.0216165714782454,0.149879130215482,0.141214137913329,0.080369329825311,0.160703520202302,0.169733688713273,-0.178497454201972,0.161540466053525,0.199166179143364,-0.123524725155606,-0.160592431653979,-0.0842758579758235,-0.0842758579758235,-0.149890238035387,-0.0570538328250782
"miR200c",0.0223705174080192,0.195137445719674,0.0331250594964857,0.0612479291841989,-0.0580014310712481,-0.052345168558981,0.0885685767056592,-0.0694754900894569,-0.0973127308613246,0.0426853684916208,0.0580766846039834,-0.107452034905789,-0.107452034905789,-0.195123560944793,-0.18169145801819
"miR200a",0.0223705174080192,0.195137445719674,0.0331250594964857,0.0612479291841989,-0.0580014310712481,-0.052345168558981,0.0885685767056592,-0.0694754900894569,-0.0973127308613246,0.0426853684916208,0.0580766846039834,-0.107452034905789,-0.107452034905789,-0.195123560944793,-0.18169145801819
"SNAI2",0.0340142062830674,0.127597742589152,0.229352855866015,0.232281150742693,0.236508867068704,0.1753141769569,-0.0874191563698433,0.212874608240242,0.104478045983697,-0.022484282101489,-0.2366722447963,-0.0792308221495508,-0.0792308221495508,-0.127699223949069,-0.066909041861503
"FOXC2",0.0574383928781255,0.143712038409342,0.193014432202096,0.172331341532502,0.0951345514144745,0.143427480553764,-0.157588172257908,0.132616341373309,0.142282005771224,-0.121331076879083,-0.0949186882385184,-0.189984489767946,-0.189984489767946,-0.143708834684477,-0.13354153127629
"TWIST2",0.0617975680119579,0.0727484633190298,-0.13458824513859,-0.0512585537725443,0.00541704785848895,0.0966430195579118,-0.0472377652713141,-0.0663340865719367,-0.1565806546196,-0.0119297717977206,-0.005113154973657,-0.0644206955996988,-0.0644206955996988,-0.0727009694976242,-0.0124944669460147
"GSC",0.115254473302732,0.141104950789945,0.0906579733370971,0.0276950912268239,0.0617000264027947,-0.0430540531416333,0.0973705959417469,0.00932988315115177,0.0858403111695464,-0.02909031555875,-0.0617738504239955,-0.12972371674868,-0.12972371674868,-0.141142293373757,-0.0866857108664461
