"","miR200c","miR200a","miR200b","GSC","miR34a","TWIST1","SNAI1","FOXC2","miR101","TWIST2","SNAI2","TGFbeta","miR141","ZEB1","ZEB2"
"miR200a",0.372128411944081,0.372128411944081,0.270019914527091,0.1709111309228,0.271380942314118,0.0930088328620185,0.0905081046137049,0.0552584125411242,0.0244253624917602,-0.0467440747846151,-0.138097620070618,-0.172226275994889,-0.296938226238839,-0.298074000824147,-0.46319965074378
"miR200b",0.312334157078025,0.312334157078025,0.311993549108968,-0.0678570012366222,0.133849532591653,-0.105907713690134,-0.0172004552693749,-0.0873508376149922,-0.113426248824718,-0.19834297398769,0.241974143762867,0.0670101003682203,-0.22582198131491,-0.226522699620597,-0.415266657636322
"miR101",0.304969209927497,0.304969209927497,0.249968648028316,0.0529804520892256,0.170590152927097,0.00380107122550912,0.0340783837621078,-0.0330844695401412,-0.0324989381428214,-0.0801162573394806,-0.0686372626432332,-0.0538988355935096,-0.239520716217062,-0.240308708456481,-0.387166163383695
"FOXC2",0.378962815392121,0.378962815392121,0.370445551685962,0.02667754079426,0.262742681366511,-0.0380836044230833,0.08654781999561,-0.0994092851301934,-0.129537704803987,-0.266794521042318,0.16854036274719,-0.027972719849997,-0.270140881829988,-0.271143647712454,-0.324263883842688
"GSC",0.213636447968331,0.213636447968331,0.197145948095745,0.0246735674995275,0.0883305105562904,0.0110857935552444,-0.0625080857896458,0.144790645809577,0.0673830118760833,-0.0550598743111286,0.0289312049054969,-0.0253304119958521,-0.212029900895,-0.212549257619859,-0.214322702718268
"miR200c",0.0167196897168889,0.0167196897168889,-0.0442848607779906,0.147689290836743,-0.0880845443226832,0.126454214014845,0.0342028171535925,0.0949779097879644,0.116620503528479,0.192184400475724,-0.263868733016514,-0.147886383422479,0.170085849380691,0.169819261702966,-0.201408063893359
"SNAI1",0.0849598469501635,0.0849598469501635,0.023622065884365,0.0244913023911847,0.0968932959274467,0.0184005023868719,-0.0775379946332386,-0.0275168541223419,-0.00814097975865474,0.00441533477180938,-0.10423132922668,-0.0245638629872125,-0.0814458272309428,-0.0815305321240415,-0.0881992585261745
"miR34a",-0.140753264974429,-0.140753264974429,-0.00804947087411107,-0.0256888695625331,-0.110614051845586,-0.121792997588954,-0.0200165459208992,-0.0696028017987634,-0.102329835580913,-0.217172394280372,0.19337237478778,0.0260365278744791,0.198849709029803,0.199136578612663,-0.0445779127942052
"SNAI2",-0.0391404255969959,-0.0391404255969959,0.23669217096744,-0.216685214421388,-0.122707644441975,-0.268934907577674,-0.125018315311174,-0.0136206020202647,-0.277113581456259,-0.348753230796405,0.367244488472639,0.216995717641896,0.120104963275338,0.120412086730929,-0.0431684559156373
"TGFbeta",-0.13693386676515,-0.13693386676515,0.0505350424107845,-0.231177012605261,-0.152266260844194,-0.121572327432614,-0.0510975943770153,-0.0771315147377678,-0.106535269426855,-0.148111561438925,0.259788646982939,0.131759383386703,0.150712933600206,0.151202094558948,0.120179733213265
"TWIST2",0.0470474485046272,0.0470474485046272,-0.039085430436665,0.00922758829967002,0.156895940460656,0.210624595078446,0.060703329785678,0.0594585197616915,0.0849711950633873,0.112762485690674,-0.22560146330009,-0.00945904489165562,-0.22831658096244,-0.228492484004683,0.136939199211534
"TWIST1",0.00927783821858643,0.00927783821858643,-0.0270189158780817,-0.00682803678219428,0.0847657940994007,0.0147062636831527,0.0329234723465111,0.0971969969772897,0.0584083129565906,0.0765359243399789,-0.116740065488757,0.00668366719605376,-0.170112040302505,-0.170199417760158,0.179841290778652
"ZEB1",-0.381478746147594,-0.381478746147594,-0.372458689671717,-0.027972719849997,-0.263499968859703,0.0379223044649018,-0.0867300721620591,0.0992072337690459,0.129647911352389,0.267283098884652,-0.168511798863795,0.0287917101884704,0.271143647712454,0.171819861915459,0.326942653592877
"miR141",-0.312334157078025,-0.312334157078025,-0.311993549108968,0.0678570012366222,-0.133849532591653,0.105907713690134,0.0172004552693749,0.0873508376149922,0.113426248824718,0.19834297398769,-0.241974143762867,-0.0670101003682203,0.22582198131491,0.226522699620597,0.415266657636322
"ZEB2",-0.457617500524627,-0.457617500524627,-0.412656498582551,-0.121980458161209,-0.113199422264534,-0.0506473240320497,-0.047191387040918,-0.0183364565360145,-0.00850470892779188,0.0161672539494128,0.0630997053685171,0.123571263458819,0.12544964530032,0.12688446620899,0.487435692982175
