"","SNAI1","SNAI2","ZEB2","FOXC2","ZEB1","miR200a","TWIST1","miR101","GSC","TGFbeta","miR34a","miR200b","miR200c","miR141","TWIST2"
"miR101",0.0497992313991663,-0.128132377303565,-0.116277147438358,0.0594697049274429,0.132949943656816,0.125484967034202,0.00758829677944998,0.13824124091217,-0.0568638915037964,-0.0567970359996531,-0.0431393112287327,0.0160094809858787,-0.125484967034202,-0.132992565478506,0.0336180239989518
"ZEB1",0.10695892513584,-0.145569012799998,-0.0787605317069827,0.0954209147199846,0.182396163593121,0.279693596462679,0.0984595429290171,0.127387844087708,-0.0320645148599989,-0.0321617699626926,-0.246346549310442,-0.191967910551378,-0.279693596462679,-0.282298415802472,-0.0942347372329723
"SNAI1",-0.0681906842322009,-0.105821312351683,-0.0762368850338271,0.0537472273801426,-0.10454428692042,-0.0126582827576432,-0.0192100227851598,0.117875713299159,-0.0423295648976468,-0.0423593028468385,0.112400812140191,0.095118619816925,0.0126582827576432,0.104496988202741,0.108396317494814
"ZEB2",-0.0770385766066585,-0.0751491656852542,-0.0729428808378287,-0.0714468197018371,-0.0334344791602065,-0.028294863406765,-0.0149786164409274,-0.000808714556893384,0.00576801398208202,0.00623992751534431,0.0066385940669844,0.0184781044716004,0.028294863406765,0.0333324540869226,0.0410206427353265
"miR200a",0.13873626978763,0.0757374188781589,-0.055173823534368,0.1247456705932,0.237878376097822,0.146040168131992,0.0553183952205158,0.031352665399313,-0.114103795890874,-0.114162326416335,-0.120358779163348,-0.0936035528694444,-0.146040168131992,-0.237832093514884,-0.0936532284345141
"miR200b",0.114666270764723,0.0520873360329978,-0.0407875578864806,0.0967978131837357,0.219504049921045,0.12968678743907,0.0496239561923741,0.0315061058005222,-0.100470591297261,-0.100579290844545,-0.11518470849513,-0.117405997335933,-0.12968678743907,-0.219393897373651,-0.0778734831586464
"TWIST1",0.0561631160476228,-0.166782176796314,-0.0356105816800918,-0.0609629419229787,0.241732389255302,0.159207966834247,-0.0581263331790926,0.0948997293756051,-0.0361942613479575,-0.0365404810036093,-0.164396517560414,-0.0320062910155173,-0.159207966834247,-0.24165434588808,0.0666925451433286
"miR200c",-0.040526084171231,-0.157626802562093,-0.0215505325532356,-0.0607213025260335,0.258210391138841,0.140888002166439,0.0291538703505938,0.0585496856958789,0.0719281942120375,0.0716498755909689,-0.225717816818827,-0.0420338240034116,-0.140888002166439,-0.258127082489552,-0.0168304428340382
"SNAI2",-0.161252988459135,0.281504251524783,-0.0144919878882458,-0.14766654444689,-0.0127069813870933,0.0014414361553753,0.0854260629942913,-0.371976014371228,0.209569974632601,0.209700847890832,-0.0546472053689399,-0.234646667652146,-0.0014414361553753,0.0128225294701673,-0.370381737491693
"miR141",0.040526084171231,0.157626802562093,0.0215505325532356,0.0607213025260335,-0.258210391138841,-0.140888002166439,-0.0291538703505938,-0.0585496856958789,-0.0719281942120375,-0.0716498755909689,0.225717816818827,0.0420338240034116,0.140888002166439,0.258127082489552,0.0168304428340382
"FOXC2",-0.106760211483389,0.145454218325224,0.0785991243533229,-0.0949535745487807,-0.282298415802472,-0.279536748697615,-0.0984505818202292,-0.127133065508069,0.0316161836483976,0.0320645148599989,0.246333865677551,0.191910708647108,0.279536748697615,0.282075222970272,0.0941528674323648
"GSC",-0.104500334615914,-0.000314136656604819,0.0833352133946411,-0.177364983223416,-0.0378392287902386,-0.0572171088190418,0.00778665995930176,-0.102292804510493,0.0372886876927561,0.0370407146984664,-0.0434544787636961,-0.0219675266368891,0.0572171088190418,0.0379345506489166,-0.0192365445826911
"TGFbeta",-0.0768195370291972,-0.142418994096309,0.0899649286071867,-0.0808127802618741,0.0250742733197801,-0.0313816595458781,-0.0147268867693408,0.0333543596717276,0.0307833098326347,-0.0693360681114835,-0.106713389611151,0.0696688834802745,0.0313816595458781,-0.02507082189544,0.0905343545530237
"TWIST2",0.101153463086304,-0.144493902550094,0.0930791555454376,0.0810419158950177,-0.247376647839015,-0.171184044996003,-0.0639998243916561,0.126601127303368,0.0166311240795384,0.0169225669765374,0.193873572606885,0.102371293374651,0.171184044996003,0.247206901403251,0.202893205745555
"miR34a",-0.0565185970243828,0.176757944234081,0.106491348799813,-0.0647161475425669,-0.185213595516492,-0.191866708781463,-0.0227814036221648,-0.129587795812114,0.0587976062361136,0.058857672855455,0.0768482657362389,-0.0149706968275805,0.191866708781463,0.185203215367112,-0.019816024572535
