"","ZEB2","TWIST1","SNAI1","SNAI2","miR200b","miR200a","miR101","TGFbeta","ZEB1","miR141","miR34a","GSC","miR200c","TWIST2","FOXC2"
"SNAI1",-0.158230723337959,0.0999997312493659,0.0469467005426902,-0.205334191350259,0.0876607959192832,0.0328997622048994,0.228549912887089,-0.00452278616423262,-0.0829973913376851,-0.0830082113057816,-0.172380174534195,0.00447163689162285,-0.113933331830165,0.190633541711442,-0.15754121268251
"ZEB2",-0.0818412982385053,-0.0376812589973155,-0.0375368975002377,-0.023452707823934,-0.0130142219230046,-0.0106622385758538,-0.00725385189501002,-0.00495819435208601,-0.00168661694152965,-0.00168114242540222,8.33011857614286e-05,0.00492267397861466,0.0111679144604332,0.0132196233965417,0.0429098032085393
"TGFbeta",-0.0507550997547407,0.166140424459504,0.202136520972262,-0.0113136573921283,-0.0686632431060499,0.00505243252950389,0.1084434153488,0.0964379504555334,-0.0301611157135051,-0.0299235949657384,-0.170412898940918,-0.196397620069007,-0.0391805069119246,0.0290203350645739,-0.225035163812985
"miR200a",-0.0355225244403745,0.150294026067894,0.199214163987803,0.0276605331549378,-0.00820363427094128,0.0119746979473811,0.0863532428239328,0.114485537967348,-0.0080051251267198,-0.00767929574283354,-0.122417167131961,-0.114398339429417,-0.0213195513608774,0.0520789222674136,-0.210406733692517
"miR141",-0.0355225244403745,0.150294026067894,0.199214163987803,0.0276605331549378,-0.00820363427094128,0.0119746979473811,0.0863532428239328,0.114485537967348,-0.0080051251267198,-0.00767929574283354,-0.122417167131961,-0.114398339429417,-0.0213195513608774,0.0520789222674136,-0.210406733692517
"SNAI2",-0.0161032131209311,0.225073997749591,0.164349435609247,-0.00526404024529576,-0.192940635859021,-0.0233684238538261,-0.0650016746500542,0.19358434365623,-0.0620720056789763,-0.0619470797804643,-0.102161179776733,-0.193482553344273,-0.0381806112838275,-0.0963760809418677,-0.189221429494571
"GSC",-0.0105617934122325,-0.136866076670101,-0.048569227194002,0.137132167773692,-0.0206708380271201,0.00985184971407066,-0.145816803738087,0.0137437724274152,-0.0164103476878152,-0.0162167558717372,0.0420923664975196,-0.0137570228927589,-0.0134642596694764,-0.0893774483851226,0.180433014121696
"TWIST2",-0.0100691894643612,-0.0891424738410484,-0.021152837763989,0.207622370139002,-0.0717363939994263,-0.00532134530226169,-0.126772059076896,0.0265575739256708,-0.0185350098407983,-0.0183450345551758,0.0249914037304827,-0.026524185321937,-0.0145818503399531,-0.172654041900488,0.0472920663720933
"TWIST1",0.00641222350997213,-0.188550710489705,-0.206720566834442,-0.0327688539739426,0.0107595203062715,-0.015569715478344,-0.071074666764751,-0.00664116655496177,-0.0537083564827766,-0.0537371365949412,0.0614823194538735,0.00659705362586327,-0.0295848180800632,0.0357756249177721,0.125970847629305
"miR101",0.0141562089599664,-0.132047193927798,-0.178305792432677,0.202953572053543,0.0144940786912871,0.0389344537788846,-0.241644173303312,0.0112733528672992,0.0914016510848224,0.091245825704721,0.119142952189458,-0.0113102993301152,0.0514524735985046,-0.169300771217829,0.188771047600158
"FOXC2",0.0156269568143721,0.0124738964363038,-0.0750179988470876,0.0916146100253411,-0.0129511353250795,-0.00251874905157177,-0.0836303327595688,0.000474759625175815,0.00923721536062563,0.0088324781194599,0.00483135115457722,-0.000507969344553687,0.0107207584063395,-0.0957805404568831,0.0819876569634537
"ZEB1",0.0156462072326985,0.0124440260736776,-0.0748780762160719,0.0916302393200287,-0.0128754811936259,-0.002367689026916,-0.0838116403069399,0.000527226193734264,-0.0907412299983594,0.00923721536062563,0.00515590293737373,-0.000474759625175815,0.0110084091046304,-0.0957805404568831,0.0821557760349429
"miR200c",0.0245118453237104,-0.161350852252214,-0.153190968674807,-0.0870483388112241,-0.0114371247460775,-0.0062615399038265,-0.0335961803101266,-0.115317676730963,0.0102893298667243,0.010314322461511,0.0222492410490803,0.115259146205502,0.017093013719185,0.0437192353513395,0.186290815654158
"miR200b",0.0355225244403745,-0.150294026067894,-0.199214163987803,-0.0276605331549378,0.00820363427094128,-0.0119746979473811,-0.0863532428239328,-0.114485537967348,0.0080051251267198,0.00767929574283354,0.122417167131961,0.114398339429417,0.0213195513608774,-0.0520789222674136,0.210406733692517
"miR34a",0.0954975129675855,0.0661137165740382,-0.0610287831782858,0.116472981814273,-0.1052514297772,-0.0915916430588074,-0.0926454210027275,0.0145958944892275,-0.0246843509174067,-0.0244663677804312,0.0306897733626,-0.0145734453486655,-0.0157198037535304,-0.217742675067498,0.0528410887424642
