"","ZEB2","SNAI2","miR101","miR200b","miR200c","miR200a","miR34a","miR141","GSC","TWIST1","TGFbeta","ZEB1","SNAI1","FOXC2","TWIST2"
"TWIST1",-0.0932897493638214,-0.179334373661397,-0.127741304328708,-0.00826434430428034,0.0166795825529784,0.0166795825529784,0.00205712690291568,-0.0677771327003352,0.00247778144784385,-0.119439057709773,-0.00256734406146806,0.0677405741794774,0.00974899431709881,0.0137758060991516,0.135987460444215
"miR34a",-0.0873033230045685,-0.218323216822559,-0.173671173055953,-0.0288348687273992,-0.0517981863109984,-0.0517981863109984,0.0154712876851809,-0.0780529656533721,-0.0237439333074005,-0.060197539797258,0.0234253982048322,0.077917551886463,0.10913304589005,0.124614370816068,0.0673321166774581
"ZEB2",-0.0826065970080986,-0.0371900817808084,-0.0242573724352498,-0.0156166056722071,-0.014437959225656,-0.014437959225656,-0.0111549189998815,-0.00950602113817757,-0.00617382145268083,0.00243758702405666,0.00680811383609789,0.00977725852812736,0.010106073177866,0.0195380153451757,0.0264106526178974
"TGFbeta",-0.0794058052752839,-0.187830400313352,-0.104953165347169,-0.0739714983183437,-0.00499058809780652,-0.00499058809780652,0.0146521992345671,-0.0927782390543755,-0.0240197440120256,-0.000385043837088382,-0.0760770489156378,0.092782945542112,0.0199878327028245,0.068933825322529,0.152960575682607
"SNAI1",-0.0623089420783347,-0.10640596469157,-0.119780198639516,0.0121281933332607,-0.000304096887828557,-0.000304096887828557,0.0273194394737069,-0.0768085234520112,-0.014099317606462,-0.0286510960277943,0.0141108162801494,0.0768066686003375,-0.069297314686068,0.11994382399689,0.0247093221175306
"miR200b",-0.0204002708059612,-0.185905671228814,-0.126103438265673,-0.0593858951164702,0.002954982581652,0.002954982581652,0.0800269858642117,-0.0140279417039962,-0.0845367326960954,0.00160769307780151,0.0845140371862228,0.0140547856021005,0.0668726674925081,0.0748158763381918,0.0603379565381442
"miR200a",-0.0203076210224746,0.150801719904516,0.0877655139879298,0.0389753280568621,0.0238303991967111,0.0238303991967111,0.0310359928416606,0.0267116285268575,0.112191942042242,-0.0146356366865421,-0.111701002328683,-0.0264579999723551,-0.0254424255444422,-0.0663180460340107,-0.10280107958105
"miR141",-0.0203076210224746,0.150801719904516,0.0877655139879298,0.0389753280568621,0.0238303991967111,0.0238303991967111,0.0310359928416606,0.0267116285268575,0.112191942042242,-0.0146356366865421,-0.111701002328683,-0.0264579999723551,-0.0254424255444422,-0.0663180460340107,-0.10280107958105
"SNAI2",0.0119867413364018,0.0249452730761085,0.145574727378533,0.171340480510853,0.00162090597180197,0.00162090597180197,0.0219651591726631,0.0164491292154009,-0.18702937051547,0.113578892134883,0.187014829042333,-0.0164501339813407,0.0316856829030347,-0.00797180428950776,-0.164098247819679
"miR200c",0.0204002708059612,0.185905671228814,0.126103438265673,0.0593858951164702,-0.002954982581652,-0.002954982581652,-0.0800269858642117,0.0140279417039962,0.0845367326960954,-0.00160769307780151,-0.0845140371862228,-0.0140547856021005,-0.0668726674925081,-0.0748158763381918,-0.0603379565381442
"ZEB1",0.0457648657990518,0.0627130990409581,0.0636093931313916,-0.0123495895691133,-0.0245083911247868,-0.0245083911247868,-0.00750898380537073,-0.0142465148489291,-0.012770389737272,0.0141002161570868,0.0130608753729492,-0.0856076153711789,-0.0636966016925106,-0.0620123304150966,0.0251760517717153
"FOXC2",0.0459866898502283,0.0628602299875005,0.0643239581710304,-0.0121134010611604,-0.0245008670622561,-0.0245008670622561,-0.0082647791064578,-0.014570091060204,-0.0133128151537772,0.0146976234096109,0.012770389737272,0.0142465148489291,-0.0628288462161269,-0.0630719432785192,0.0247006787359302
"GSC",0.0600899293505941,0.0113935589698262,-0.0667071026843893,-0.0829086486876706,0.0148506462113328,0.0148506462113328,0.0749220567261569,0.0962442069716567,0.0442320763579433,-0.11799989865694,-0.0443954987638493,-0.0962697571605807,0.0501332336848796,-0.0217688102020285,-0.0444031458687153
"miR101",0.120923817421691,0.106663427823767,0.121861116453893,-0.0200285713550561,-0.0679931484634592,-0.0679931484634592,-0.0189068681795946,-0.016025450155762,-0.037116965967071,0.0282116334144049,0.0367299077851889,0.0158184785896317,-0.0346556906436791,-0.115520604871287,-0.000312544775498914
"TWIST2",0.149310690455271,0.208033380983538,0.167504844430822,0.024026470404606,-0.0817020402280349,-0.0817020402280349,-0.0513804674266403,-0.0146368678829382,-0.0525276379446408,0.0590818627786361,0.0522429859500962,0.0144930671459045,-0.106004404349452,-0.046778304979332,-0.14350065606888
