"","FOXC2","TWIST1","SNAI1","ZEB2","TWIST2","TGFbeta","ZEB1","miR200c","miR34a","miR101","miR200a","miR141","GSC","miR200b","SNAI2"
"TWIST1",0.219355932680012,0.131882235505711,0.0122086742873835,-0.097477551998133,0.147281274048304,0.0636300373804252,0.00213610963236393,0.0596929352547344,-0.00308778793955054,-0.0569397015163259,-0.0596929352547344,-0.00189834960664332,-0.0634402181097589,-0.0871573715827697,-0.155804745516999
"TGFbeta",0.208225907108882,0.184932793926521,0.134109606469819,-0.0952640230730143,0.162994833444502,0.204834529619372,0.122978733235472,0.110494009173412,-0.0446960342556433,-0.0262455068656204,-0.110494009173412,-0.12267720425449,-0.304353791411977,-0.192823545931459,-0.181386627913016
"SNAI1",0.106319170733648,0.0128214109149772,-0.0774792437614681,-0.090598493915745,-0.0228993993508636,0.0758151176889155,0.105232347395829,0.0988505072730187,-0.00296057819003737,0.102155741654646,-0.0988505072730187,-0.105250586770621,-0.0758194792547969,-0.0357836069878985,0.084137116587885
"ZEB2",-0.116550644553485,-0.100113742985251,-0.0924532782342553,-0.0786408393857053,-0.0514617378550365,-0.0285336872245233,-0.0224783590758656,-0.0214806817330089,0.00387197054662898,0.00617311398848234,0.0214806817330089,0.0221324691932691,0.0274706131899163,0.0416813164758908,0.104148012341063
"TWIST2",0.0971530819332781,0.150038725840496,0.0193066465447961,-0.0639231931452804,0.194630931246682,0.0727588270152394,0.0322740046725625,0.0500907471854094,0.0177846834462074,-0.151694011163807,-0.0500907471854094,-0.0324331969257925,-0.0726937475333853,-0.118048987507108,-0.277657946568456
"SNAI2",-0.118516977929383,-0.230177455523633,-0.05244702632472,-0.0196316991137723,-0.377027644409742,-0.233074783604682,-0.0389861996930398,-0.0101193212741329,-0.0062508138834926,0.29788735198565,0.0101193212741329,0.0387674956401489,0.23237764827489,0.265859126501744,0.336784861943104
"miR200c",0.18305718217605,0.14450784766751,0.143336565981147,-0.00904363144270389,0.0684496894517977,0.140187456257542,0.0347784793324073,0.0224483876659222,0.016869861400246,-0.00926006380342884,-0.0224483876659222,-0.0348192080053931,-0.139892414629199,-0.0618057381529235,-0.160563577866418
"miR34a",0.0763087620325166,0.0110227873129824,0.0711368860419428,-0.00716988426011441,-0.00336063610886723,-0.0420191565622481,-0.0621465511014597,-0.0743590244176248,-0.0673269303855506,0.0149598346392239,0.0743590244176248,0.062140889201798,0.0417964853572146,-0.000182279323534015,-0.0501658158161908
"miR101",-0.0384320645508849,0.0329377753217819,0.0335714918321002,-0.0041312704526319,0.0233997204728356,0.0261218471736522,0.0156581431765754,0.0108020007221992,0.00298037910929932,-0.102098125095155,-0.0108020007221992,-0.0159258082167934,-0.0261869433224233,-0.0555976092318588,-0.135561798411181
"FOXC2",0.162884956827193,0.0636529858628225,0.136185195793266,0.00753634859062519,0.0164562804330364,0.0209812508304963,0.0273794930179567,0.0148145615391464,-0.00111966982377407,2.99394432419805e-05,-0.0148145615391464,-0.0276881185131991,-0.0209867857837259,-0.0290015475725643,-0.131740755906887
"ZEB1",0.163136364246026,0.0642294838615082,0.136282788888849,0.00767110151890997,0.0163480010193299,0.0217567323072382,-0.0723628538313063,0.0146947553126953,-0.00143079187762728,-0.00011818763794351,-0.0146947553126953,-0.0273794930179567,-0.0209812508304963,-0.0290227676338257,-0.132020466387676
"miR200b",-0.18305718217605,-0.14450784766751,-0.143336565981147,0.00904363144270389,-0.0684496894517977,-0.140187456257542,-0.0347784793324073,-0.0224483876659222,-0.016869861400246,0.00926006380342884,0.0224483876659222,0.0348192080053931,0.139892414629199,0.0618057381529235,0.160563577866418
"miR141",-0.18305718217605,-0.14450784766751,-0.143336565981147,0.00904363144270389,-0.0684496894517977,-0.140187456257542,-0.0347784793324073,-0.0224483876659222,-0.016869861400246,0.00926006380342884,0.0224483876659222,0.0348192080053931,0.139892414629199,0.0618057381529235,0.160563577866418
"miR200a",-0.135488688602778,-0.130054064939611,-0.0802990759237614,0.0283994705384918,-0.0930332136775753,-0.133319597418345,-0.017778923265682,-0.0231388257271938,0.0839502241962989,0.0114087943165576,0.0231388257271938,0.0176882094031227,0.133103392824296,0.0569343213274685,0.101427538912728
"GSC",-0.285658732009993,-0.24568146809083,-0.135447508532922,0.124246408912268,-0.025489773570401,-0.130276136206609,-0.131586107388634,-0.128464753012646,-0.0134120511742354,-0.0872705158074618,0.128464753012646,0.13155564370184,0.130187168796444,0.133517129347239,0.0563570055885021
