"","ZEB2","miR34a","miR200b","SNAI2","SNAI1","GSC","miR200a","TWIST2","miR200c","TGFbeta","TWIST1","miR101","FOXC2","ZEB1","miR141"
"GSC",-0.103370127179872,-0.0343776315373795,0.0508368230480021,-0.0230103966517631,-0.113677912309071,0.0160137715418987,0.0455417349969664,0.00796597777579333,-0.0455417349969664,-0.0164699661344469,-0.219112311013723,0.119835654094791,-0.130460371480523,0.00356911300833856,0.00298735486053072
"TWIST2",-0.0953304131160604,0.0481459745573441,0.115235740746102,-0.0583997388718036,-0.115191855911375,0.0666505650703793,-0.0468813875858647,-0.0934287281605958,0.0468813875858647,-0.0660512679287833,-0.19050861079267,0.0835193259856488,-0.0258580687818953,-0.187980086001134,-0.188267247717596
"ZEB2",-0.069009444077471,-0.0348998917591282,-0.0310721769364835,-0.024641385120252,-0.0103805873699482,-0.00953081844152978,-0.00696638453457472,0.00443340968572365,0.00696638453457472,0.0110175997882594,0.0112026405274431,0.0190814586549547,0.022521389092651,0.025229651223133,0.0253097782319071
"miR200b",-0.0324116174229908,-0.0716607249075197,-0.049925551493151,0.0099481396849472,0.0593011647474337,0.0581678931794979,0.0892211377184617,0.0331404069996351,-0.0892211377184617,-0.0576363404482725,-0.0500567925846575,-0.0339059992250432,-0.0774653352905084,0.14742405802094,0.147495333198665
"miR101",-0.0313315112166169,0.0734814527790915,0.0849926901220759,0.0735155449151454,-0.0410068170257033,0.0478310253255687,-0.0711880502087112,-0.0135851180541515,0.0711880502087112,-0.0463953913418603,-0.0412241370555556,0.0344666535938153,0.0399662976835833,-0.175097739329153,-0.175306074793578
"SNAI1",-0.0293029462603086,0.00565988094452227,-0.0125407069310641,-0.0465032879950823,-0.0559631789661251,-0.0198076003406779,0.0876804081479619,-0.029126126409445,-0.0876804081479619,0.0206351083401863,0.0374320789965997,-0.0460814867310613,-0.0360690183050748,0.122563676961187,0.122628596769766
"miR200a",-0.0228919642313997,0.147875888047593,0.0548059295754389,0.0852617018171338,0.0247591749966549,0.132011849533595,-0.0582734776758634,-0.0282753623744473,0.0582734776758634,-0.129951336137271,-0.0563885880106662,-0.0536154172715492,-0.069271469089297,-0.146181602362864,-0.145907609471869
"FOXC2",-0.0142591588364971,-0.115753451498633,-0.12701974903433,-0.111727885753936,0.0585858067943999,-0.0618566265096778,0.140660342439132,0.0584599574348843,-0.140660342439132,0.0600854414761913,0.00654333888068795,0.0261171285355187,-0.0633679346710058,0.0904295137057693,0.0901956417906894
"ZEB1",-0.0136564726627399,-0.116086956434058,-0.126885047775888,-0.110911389841805,0.059050255863738,-0.0600854414761913,0.141174872561427,0.0580506084318472,-0.141174872561427,0.05956845382503,0.00663593700482918,0.0261988946843331,-0.0625674411104289,-0.00879903065418316,0.0904295137057693
"SNAI2",0.0113947306433763,0.0121955172544479,0.00977875387124537,-0.0954361482346715,-0.017869325912882,0.00870073494091381,-0.0229113488108397,-0.00244507033318895,0.0229113488108397,-0.00828416450458408,-0.0698507063176318,0.00663948220013187,-0.0090891047092423,-0.0369218971133948,-0.037157347265282
"miR200c",0.0123400712924071,-0.0855004884232788,-0.110842307462538,0.000893257297562855,0.0554997906990685,0.0442737375625867,0.0735550542461301,0.0348047540320108,-0.0735550542461301,-0.0446093922085965,-0.0450432686953073,-0.028614125326039,-0.0690255618795296,0.161999589773051,0.162284690483951
"TWIST1",0.0301990980750756,-0.0749417283646979,-0.0873450723645127,0.0137267538641148,0.0253705756395933,-0.0570278955554951,0.0709150834144118,0.0884044320562316,-0.0709150834144118,0.0557646616767655,0.0381013953832661,-0.0202632588980205,0.071044474584353,0.172573558018668,0.172841913118582
"miR141",0.0324116174229908,0.0716607249075197,0.049925551493151,-0.0099481396849472,-0.0593011647474337,-0.0581678931794979,-0.0892211377184617,-0.0331404069996351,0.0892211377184617,0.0576363404482725,0.0500567925846575,0.0339059992250432,0.0774653352905084,-0.14742405802094,-0.147495333198665
"TGFbeta",0.0716853194524355,-0.0262392634486211,0.0701945843593351,-0.0218287147615324,-0.012386708266221,-0.00189586305994102,-0.0703236658536106,-0.0409401571295025,0.0703236658536106,-0.0968619610350451,0.0739538683405999,0.0174486174393247,0.0763180277808675,-0.0703475588318974,-0.0705825694528714
"miR34a",0.0889216683960155,-0.0671097896264306,-0.12209299160165,0.0849371747331115,-0.0179203090997635,-0.0705365438907347,0.069461469696041,0.014266164221225,-0.069461469696041,0.07076770936517,0.0195396149975963,-0.0255771895698277,0.0739229107325223,0.105252777127046,0.105198045430316
