"","ZEB2","ZEB1","TWIST1","miR200c","TGFbeta","miR200b","miR101","miR200a","TWIST2","GSC","FOXC2","SNAI1","miR34a","miR141","SNAI2"
"TWIST2",-0.144566085375166,-0.0976010718572186,0.342894935232288,0.0245086505989911,-0.00600619668508175,0.0816788124365339,-0.239200814223085,-0.119012529248251,0.115507431696935,0.00618672150865977,-0.0426438652515769,-0.268388461584373,0.154461319428268,0.0978468963587533,0.222204789554268
"miR101",-0.106170433496142,-0.0436907638331443,0.236931894807943,0.0337895632923733,0.0021018997432669,0.0633693147934488,-0.27649711113323,-0.0718786581071375,0.0180495019571509,-0.00165502347873022,-0.12406241035591,-0.261747729291452,0.108175616367978,0.0439393342972448,0.189118767879439
"TWIST1",-0.0933451217636514,-0.0851603839124217,0.100366623725708,0.00359361000086876,-0.0406919666677319,-0.021331442188587,-0.0685073272984132,-0.0906214954823762,-0.136115353240892,0.040804254123619,-0.0200858943356488,-0.231693158105898,0.124084270038441,0.085382587120756,-0.0634821794530937
"ZEB2",-0.0848826221190192,-0.0386809344305546,-0.0258223231423953,-0.025206922824452,-0.0188895136953813,-0.0143588183266001,-0.0106020678387661,-0.00897695043193174,0.0100794410068539,0.0187017631498898,0.0195047426820786,0.0254400323527788,0.0271040501969103,0.0386674969818782,0.0462900257768965
"TGFbeta",-0.0809813638135618,0.154550867414513,0.0776226105729247,0.122359471057995,-0.0126791816287309,-0.0293129883533922,0.0184862728857883,0.0388153702889414,-0.140789855535388,-0.0868529858875626,-0.078257611008818,-0.121209944347243,0.0233675182369827,-0.154458306489029,-0.157505634889061
"SNAI2",-0.0548120556317544,-0.0632271302796162,0.209519386509146,-0.00453595842229929,0.186723253347137,0.23272205747911,-0.304203268121751,-0.0584494136057545,0.304224904492933,-0.186795960712821,0.0128683808896415,-0.0627180084343418,0.0596115513385301,0.0632957892855008,0.247102884691071
"miR200c",-0.0134172497487378,0.225845654242871,0.101997151293902,0.120323959581123,0.203492316205093,0.0331212308207614,0.0499695546266549,0.10728505509473,-0.0484299053971129,-0.203292834618319,-0.0706547337499697,-0.0969321224830421,-0.115385827218266,-0.225791966446662,-0.194292926748322
"miR200b",-0.0123688662443886,-0.147636098317699,0.0657504823085225,-0.0661644167994068,0.0156870442110737,-0.0636179196179929,-0.0368570984098397,-0.0783334311960234,-0.0962664035162571,-0.0156810717084757,-0.0691256437543947,-0.122118179458743,0.166744313148496,0.147865659929074,-0.0493791406440035
"miR200a",-0.0123688662443886,-0.147636098317699,0.0657504823085225,-0.0661644167994068,0.0156870442110737,-0.0636179196179929,-0.0368570984098397,-0.0783334311960234,-0.0962664035162571,-0.0156810717084757,-0.0691256437543947,-0.122118179458743,0.166744313148496,0.147865659929074,-0.0493791406440035
"ZEB1",-0.0102709756160752,0.0919114621645761,0.0542283146127771,0.199751103075573,0.185014181179864,0.165489503049732,0.129359164972051,0.190351540778874,0.035553102919112,-0.185247081557367,0.0426122821110224,0.0380973562926191,-0.189109695661126,-0.191842788075761,-0.21095497597792
"miR34a",-0.00761802723120379,0.221590180268944,0.0671998037348503,0.175592194711988,0.174163543410163,0.158585712507789,-0.114257568042351,0.168701922512895,0.0361373992919229,-0.173612022632573,-0.104905176512082,-0.108589515056623,-0.0721689010058775,-0.22163075721652,0.114609508137081
"FOXC2",0.0101942701030516,-0.191842788075761,-0.0537892202821719,-0.199766729974675,-0.185247081557367,-0.165700781050987,-0.129014325127051,-0.190517648928591,-0.0361658059430127,0.184903914457129,-0.043036435731752,-0.0382502129483506,0.18933128618869,0.192010449676983,0.210659097261246
"miR141",0.0134172497487378,-0.225845654242871,-0.101997151293902,-0.120323959581123,-0.203492316205093,-0.0331212308207614,-0.0499695546266549,-0.10728505509473,0.0484299053971129,0.203292834618319,0.0706547337499697,0.0969321224830421,0.115385827218266,0.225791966446662,0.194292926748322
"GSC",0.0653333895134887,-0.0817278092784148,0.0180984896873789,-0.0746157942746653,-0.0447852683372575,-0.0436738048344436,-0.199405281606103,-0.00440443303477603,0.0449835205923861,0.0450976007346452,0.0272086216609134,-0.120897069946505,0.0907135051467696,0.0817941414996598,0.174992760717919
"SNAI1",0.11275534323474,-0.202608214792975,-0.285895996652751,-0.165721527419054,-0.142179216908976,-0.162912196269168,0.26540749648412,-0.0543050929691575,-0.046478255323348,0.141642744305557,0.134152660529682,0.18445582065326,-0.064843477927798,0.202535257293809,-0.147294277445073
