"","FOXC2","ZEB2","TWIST2","miR101","miR200b","miR141","GSC","TGFbeta","miR200c","miR200a","ZEB1","miR34a","SNAI2","TWIST1","SNAI1"
"SNAI1",-0.117041305608945,-0.130321373357992,0.0397511775087125,-0.168303413302997,0.117301830901488,-0.0961634494114424,-0.0860018044745915,-0.0861100506096494,0.109271863965759,0.109271863965759,0.0961739602375933,0.0670636931049537,-0.136829970122233,0.137202966233468,-0.00359641575621867
"GSC",-0.172300801764356,-0.110707509237004,0.00272988283066918,-0.0671975604398079,0.105241838262904,-0.108318714939674,-0.0764605752644724,-0.0766252596194587,0.109456128843035,0.109456128843035,0.108336894881793,-0.0212869796993677,0.0120891865261463,0.156467359466342,0.0436124028972587
"TWIST2",-0.0744621409036077,-0.110098590827851,-0.138016162506328,0.0382543473416728,-0.0260376430042099,0.0613126792317686,-0.0105004617290859,-0.0106843820038911,0.0257802216699422,0.0257802216699422,-0.0613197153534583,0.0617898724140618,0.122374266861326,0.116845815179445,0.0486843787056954
"ZEB2",-0.108757631341624,-0.0978636916966333,-0.0479601541792472,-0.0177955618931077,-0.0122399144328507,-0.0084802037601511,0.00307357755079805,0.00350743354105532,0.00395902041910384,0.00395902041910384,0.00846477557833744,0.0365219604531892,0.0647718597481878,0.0710430878298193,0.100034655633476
"TGFbeta",-0.15902657095737,-0.0848094909157752,-0.108755020103156,-0.0358004609729369,-0.0282417340443534,-0.111687364144258,0.137696110049632,0.0375783453209749,0.0998011564841894,0.0998011564841894,0.111739135509359,0.0754138043659455,0.0794872078589766,0.0944646149410364,0.149579724818055
"FOXC2",0.0816572728116488,-0.00431713671983148,-0.0123008954223424,-0.00197722595494053,-0.000581004402789888,0.0117243580601546,0.00199887751205454,0.00181622405547625,-0.00730007314331964,-0.00730007314331964,-0.0116827096369212,0.00746568673947494,-0.0833963347739239,-0.0656363112399492,-0.0766778017159969
"miR101",-0.180642387190325,-0.000391769348023554,0.0347686226739931,-0.184506297219251,0.063291509749749,-0.104666262547502,-0.0340189578753294,-0.034061182404262,0.0527251243422026,0.0527251243422026,0.104715703860663,0.0180612278041196,-0.110433638074662,0.185197880400288,0.158012727176898
"ZEB1",-0.081482984232949,0.00432513304744399,0.0123299459967515,0.00205425203715699,0.000510885939491368,-0.0116827096369212,-0.00181622405547625,-0.00207727722586463,0.00720341787850158,0.00720341787850158,-0.0882781912468191,-0.00749627667762358,0.0834647803058319,0.0655795575509594,0.0766942632019987
"miR141",0.199175096399649,0.0110224588349097,0.0537632025397201,0.0298615709187332,0.0183948073415318,0.0309290690024602,-0.10247639407762,-0.102515812594767,-0.0212474902189801,-0.0212474902189801,-0.0309688720237872,0.00656932372840256,-0.127337264897252,-0.145222511637014,-0.186329228105028
"miR200a",0.156377099599068,0.0112799334561473,0.0364968612041333,0.0239864569876777,-0.0216881457930081,0.032721265425911,-0.0895452801465077,-0.0895010836272822,-0.0220612553412698,-0.0220612553412698,-0.0327545888856266,0.0213983670665684,-0.108146428112207,-0.117160914263921,-0.153981847021579
"miR200b",0.175281406605196,0.0194044386302119,0.0854747770429936,0.0320652159769625,0.050483853925755,0.0120298779306065,-0.10922702392457,-0.109108768373129,-0.0162640765624394,-0.0162640765624394,-0.0121057813666255,-0.102585112869455,-0.0743473058822486,-0.094869498544275,-0.138832413928626
"miR200c",0.132483409804615,0.0196619132514495,0.0682084357074067,0.0261901020459069,0.0104009007912151,0.0138220743540572,-0.0962959099934575,-0.0960940394056438,-0.0170778416847291,-0.0170778416847291,-0.0138914982284648,-0.0877560695312887,-0.0551564690972035,-0.0668079011711822,-0.106485032845176
"TWIST1",0.0832624803676211,0.0218386518289133,-0.141297272427695,0.180075645753022,-0.0842659671328019,0.0657351621162906,0.0373129705133337,0.0374038698823852,-0.0291781821014815,-0.0291781821014815,-0.0658080198777164,-0.0368631537505786,0.204859294728053,-0.183975032884509,-0.154010722757216
"miR34a",0.163597387341822,0.095292549112375,0.0461547317564452,0.00668059695409657,0.0699243461406011,-0.0604952379241041,-0.025412684979932,-0.0252312716548502,0.0388582037427173,0.0388582037427173,0.0604645693009366,-0.0998875524001964,-0.115311504039451,-0.0874142312321255,-0.151499970576706
"SNAI2",-0.030939228936352,0.0958508570204721,-0.184725591325682,0.159028511723438,-0.212775409930548,-0.0479960497492325,0.223088942820062,0.223407999848298,-0.0243931621398582,-0.0243931621398582,0.0479287304312676,-0.00690895016915102,0.0797029221946218,-0.0691886648852232,0.0644051714767406
