"","ZEB2","miR34a","miR200b","miR141","miR200c","miR200a","SNAI2","TGFbeta","GSC","miR101","FOXC2","ZEB1","SNAI1","TWIST2","TWIST1"
"SNAI1",-0.159001353015299,-0.200288682692031,0.0140423995120828,-0.0590718462600937,0.0480074840997235,0.0480074840997235,-0.0583389132439215,0.0104360043161806,0.0103880270914846,0.154227435764794,-0.114131896355988,0.0591080158677307,0.168734421066353,0.0619607492475893,0.266014932465651
"miR34a",-0.120333727216307,-0.12879675085417,-0.0461448933352104,-0.0716084849648624,-0.0342122063839606,-0.0342122063839606,-0.068867436983993,-0.00365051543191891,-0.00371058205126036,0.0671360383331189,-0.14444727531056,0.0716778432357182,0.217938811400136,-0.130707579459238,0.0690577203544613
"miR101",-0.120202608274746,-0.0932972777268971,0.0671393150772191,0.0333199585694873,0.0777532918122622,0.0777532918122622,-0.0785306154941619,0.011178370244497,0.0111942044428467,0.148066721396033,-0.135323829469483,-0.0335658012369995,0.274955305790986,0.0134264902370549,0.241395381422544
"TWIST1",-0.110665605562769,-0.0457682398913053,0.0777761391428667,0.0941718230341807,0.100492045406278,0.100492045406278,0.0188209610190572,0.0174770723720836,0.0175318793445999,0.105526655677139,-0.0193633236373978,-0.0942996482170381,0.259167313169097,0.0770807173297214,0.221655525687329
"ZEB2",-0.0930970537542782,-0.0531232733137832,-0.0175806436197648,-0.014244599926503,-0.00759229170673801,-0.00759229170673801,-0.00735913975292414,-0.00221218462687085,-0.00220203594873618,0.00602932240337393,0.0121030172410509,0.0139624135042984,0.0194868793080854,0.0279897826978732,0.0292540365484811
"miR200a",-0.0242608895125786,-0.0103842801312909,0.0202906744674746,0.0274781518918849,0.0248662935431903,0.0248662935431903,-0.121458517854675,-0.108069653475008,-0.107901228901744,0.0596250390694505,-0.0358859623349922,-0.0275901557425958,0.242072400483967,-0.0689382117627129,0.150545131663646
"miR141",-0.0222024885018924,-0.13325027887938,-0.0623614197258607,-0.0149341409272388,0.00325981646559363,0.00325981646559363,-0.0687396017291631,-0.110383714945867,-0.11031323941521,0.0458331905327005,0.0165645599410772,0.0151905464367175,0.161341100748982,0.0329996362393568,0.147164458483728
"FOXC2",-0.00456709111993873,-0.00779400267387443,0.00387058582465133,0.0119045567512527,0.0116050285293693,0.0116050285293693,-0.0855226741886286,-0.000545375243217293,-0.000307372254342549,0.0194783004039228,-0.108749796259616,-0.0119462051744861,0.124315794357015,-0.0908198104186951,0.017147744714348
"ZEB1",0.00468703603412628,0.00779624096203164,-0.00371650972766643,-0.0119462051744861,-0.01147248927402,-0.01147248927402,0.0854800978341346,0.000411009640811509,0.000545375243217293,-0.0194036443550053,0.108871644027025,-0.0879685788028966,-0.124349893149447,0.090822451380005,-0.0171567058231359
"SNAI2",0.00777899575494696,0.0129347175043705,0.0131517636896528,0.0220683408841195,0.00746203046931948,0.00746203046931948,-0.0778969496158915,0.0020526795559863,0.00194404619784692,0.0124250842043991,0.0145372106152608,-0.0221932667826314,0.000311535093277347,0.00648527481877117,0.0618505787741487
"GSC",0.0122310987508807,0.0523786169475826,-0.0398247527216768,-0.110046356281232,-0.0538014534134472,-0.0538014534134472,0.0125941110488382,0.002450854205614,0.00237955408257396,-0.190059520106228,-0.0358419638891916,0.109929906381713,-0.300521330243453,-0.0170289430624803,-0.365202501183622
"miR200c",0.0247555122155676,0.106701945076922,0.0145809183873,-0.00874907752794137,-0.0162270614446115,-0.0162270614446115,0.0667230415054817,0.106100519177749,0.106137548693857,-0.0438519988160814,-0.0117229148765958,0.00882498096396032,-0.155381383170735,-0.0227484341477056,-0.135378601646246
"miR200b",0.0247555122155676,0.106701945076922,0.0145809183873,-0.00874907752794137,-0.0162270614446115,-0.0162270614446115,0.0667230415054817,0.106100519177749,0.106137548693857,-0.0438519988160814,-0.0117229148765958,0.00882498096396032,-0.155381383170735,-0.0227484341477056,-0.135378601646246
"TGFbeta",0.0630353752995324,0.169332670030761,0.069400773173525,-0.0156393563350645,-0.0361681956218106,-0.0361681956218106,0.0889417410744149,0.0917349462483035,0.191886588501643,-0.0967963686532478,0.0264306443599449,0.015837342585845,-0.286259592928594,0.0328257507122094,-0.214262054529095
"TWIST2",0.0751038475145987,0.0467314713377105,-0.0440457445816433,-0.0253940221278772,-0.0514645354055476,-0.0514645354055476,-0.035147543267156,-0.0116219554683893,-0.0116655304258046,-0.0693212161920178,0.0769111919941451,0.0256073045665969,-0.122493798691152,-0.0777299513741633,-0.0310520197012454
