"","ZEB2","TWIST1","TWIST2","miR200c","miR34a","miR101","miR200a","GSC","TGFbeta","FOXC2","miR141","ZEB1","miR200b","SNAI2","SNAI1"
"miR101",-0.104979278094033,0.00829845561328583,0.0712134871909183,0.129364223679093,0.114520705784444,0.100834906258715,0.0256901062598191,-0.0621996306710543,-0.0617844228032171,-0.0902140596833363,-0.149823722726604,-0.14831968388278,-0.13596696934896,-0.0430559982159324,0.0523709293318955
"ZEB2",-0.086724189966399,-0.0344893649219893,-0.0176268800142074,-0.0117270630223136,-0.00902920109644183,0.00271704354054678,0.00320533038294137,0.00659550251094494,0.00718412584275598,0.0099100460151483,0.0107425435791176,0.012049957567004,0.0180429170846455,0.0212900006096535,0.025691327177221
"miR34a",-0.0792436690181736,0.0131032510186781,-0.0142831617215181,0.123973033906426,0.0660464854657175,-0.0636386666194358,0.062807709050197,-0.0170757650383771,-0.0166577256371018,-0.0814571324416479,-0.0903643908357516,-0.0891098082357129,0.00525433707316518,0.168033582377746,0.0279020694934877
"SNAI1",-0.0748898096318381,-0.00256975990397437,0.0839942962158821,0.106438150702995,0.145949167311131,0.101188431556423,0.0248909557016026,-0.0509928461757643,-0.0503826234583501,-0.069627985115782,-0.128000383146054,-0.127042970540482,-0.0916280603372568,-0.0472460196101581,-0.04998146567658
"TWIST2",-0.0537536331764934,0.160664808007675,-0.142486136231263,-0.0241777454070113,-0.112126952556979,-0.115147707770389,-0.0798635447941511,0.034241182190007,0.0338037348902396,0.00743484068777108,0.100570255471418,0.0993591630255743,0.0572330133084661,0.0978543035555271,-0.128140583059932
"TWIST1",-0.0163448282368403,0.143404750235707,0.114913439647964,0.0627213488418327,0.0084891107664203,0.0195344278971146,0.0289946941486037,-0.041922401384158,-0.0409692947645451,-0.0823388055875285,-0.0949290807695556,-0.0930635590846485,-0.0804112299508682,-0.120933413991356,-0.0505124023948054
"miR200c",-0.0145842073761951,0.154728809177572,0.0613472011978683,0.0300342582986902,0.0320124631888027,-0.0109387567385409,0.0182215106610322,-0.133872267562591,-0.132674183541424,-0.0614114408206681,-0.0469513181259775,-0.0440105228060723,-0.0950369810150786,-0.0865909737930986,-0.112371691530107
"miR200a",-0.0145842073761951,0.154728809177572,0.0613472011978683,0.0300342582986902,0.0320124631888027,-0.0109387567385409,0.0182215106610322,-0.133872267562591,-0.132674183541424,-0.0614114408206681,-0.0469513181259775,-0.0440105228060723,-0.0950369810150786,-0.0865909737930986,-0.112371691530107
"miR141",-0.00149562363280372,0.12446581842257,0.0170326993740598,-0.0134169053786954,-0.136538749031128,0.00436218301576023,-0.0157122430677841,-0.104679831904823,-0.105880304927029,-0.0142424687988573,0.0286281353635551,0.0261936715009958,-0.0274355341044443,-0.150272678730056,-0.140904737679171
"miR200b",0.00759057152525849,-0.141197961106392,-0.0550713814143272,-0.0209152939413641,-0.0244887706031835,0.0100973975587122,-0.0151000828963739,0.125237713178237,0.124414702320227,0.0566302802146147,0.0349597759334617,0.0328863162178219,0.0515076113847911,0.0794005748517711,0.102451284688209
"TGFbeta",0.00969143436474695,-0.16926057446809,-0.0840747058015714,-0.00866148208189492,0.113949820087656,0.0061785663191287,-0.000345363954948272,0.206461633175478,0.106211584779014,0.0371872423597165,0.00799513297671727,0.00767791570327975,0.115202295048366,0.13714697434777,0.149650652246052
"ZEB1",0.0166223259733661,-0.039103091549732,-0.0299038799089875,-0.0371903370280675,-0.0480225898912385,0.0213829140822301,-0.0211634574573682,0.0171563171890066,0.0189721723300905,0.101119507142172,0.0471905550605049,-0.0487581749701227,0.0339597989470848,-0.0993613540190216,-0.0555005127583028
"FOXC2",0.0186353274097434,-0.0350466963050937,-0.0224642918989518,-0.0391969466276137,-0.0555335388508076,0.0187604722369222,-0.0258787295679835,0.0199348637102885,0.0171563171890066,0.108376389998654,0.0533918984891313,0.0471905550605049,0.0346148530121104,-0.0962866944951222,-0.0484561725699363
"SNAI2",0.0425212848769995,-0.187132268547147,-0.219809161307457,-0.0509398216560235,-0.0188740588675126,-0.188794109786409,-0.00810284847549285,0.222656214917114,0.222831567975528,0.045606132995726,0.0579891881465425,0.0583338228638851,0.243378749918234,0.119335861608155,0.0459444154943448
"GSC",0.066658175067881,-0.235982756139157,-0.0144169562825144,-0.0998863000244223,-0.00867586028027314,0.108229632258879,-0.0287698889178125,0.0480755222385851,0.0475638018865014,0.118797027343362,0.125023142851387,0.123985412101244,0.104433775216139,0.021417562714359,0.143017373647984
