"","SNAI1","ZEB2","FOXC2","miR34a","miR200b","TGFbeta","miR200a","miR141","ZEB1","GSC","miR200c","TWIST2","SNAI2","miR101","TWIST1"
"SNAI1",0.109774911898265,-0.137827559357872,0.2235983373573,0.110745674525614,-0.0353059166513882,0.00928653960299497,0.104270475460596,-0.0836293159951097,-0.0836688861641485,-0.00928455707304885,-0.025193965850075,0.0406533882323602,0.171670333930126,-0.0678210414633455,-0.193564446780166
"TGFbeta",0.11923857665624,-0.0944153019959601,0.0707594449594339,0.125142048344437,0.136980970772145,0.141968581441667,0.0292637208197856,0.0323076159289496,0.0323575046989561,-0.242350913505937,-0.0658277831245382,-0.124013022676715,-0.0683126264314556,-0.0927506551573283,-0.158030460146036
"ZEB2",-0.0788104732887272,-0.076390839886598,-0.0279745881054242,-0.0153070887457099,-0.013937738363621,-0.0119159357516335,-0.00987361582191976,-0.00023790840135439,-8.61149996393734e-05,0.012088463279923,0.0126272145475632,0.0283056063041449,0.0551871605280356,0.066262297977322,0.0784560632067245
"miR200b",0.113502471120926,-0.0225616401012964,0.0534427752312851,-0.0138358637376878,-0.00837049165204743,0.105268953891883,0.016768472753729,-0.0119846536434787,-0.0121012857524834,-0.105848286643892,-0.00488012404433849,0.00385162103984562,-0.0357364008710639,-0.0741949607532621,-0.0930743176000946
"miR200a",0.113502471120926,-0.0225616401012964,0.0534427752312851,-0.0138358637376878,-0.00837049165204743,0.105268953891883,0.016768472753729,-0.0119846536434787,-0.0121012857524834,-0.105848286643892,-0.00488012404433849,0.00385162103984562,-0.0357364008710639,-0.0741949607532621,-0.0930743176000946
"miR141",0.10024021676663,-0.0148557049660393,0.0411739081768639,0.134972338983759,0.0956712452764346,0.14018680896549,-0.0142262694208793,0.03980778935803,0.0400373509694044,-0.139464136151127,-0.0279312151711896,-0.137260672063083,-0.137570235847168,-0.118547326315929,-0.164182291426712
"miR101",0.201002097917928,-0.0148227376637892,0.224529520611007,0.0204580959420854,-0.0969295257060243,-0.0426625880523134,0.0652677692955943,-0.116350692275363,-0.116447188079671,0.0419289368621095,0.0526793111992399,0.0778234169806759,0.186237878189274,-0.0569458521687874,-0.166835549177951
"FOXC2",0.062142832869583,-0.0112434989183552,0.0815242327710096,-0.0456212117393669,-0.0407596801893046,-0.0171479475158164,0.0328396443036526,-0.0466061071793929,-0.0469019177751789,0.0171258077028978,0.0235119112920137,0.134240513909014,0.124166437762733,0.0303967099440318,0.0458497544736617
"SNAI2",-0.0436577251539662,-0.0111459615221347,-0.0684039187896638,-0.0470546552316867,-0.208320669062342,-0.206406605436684,0.0313746031169387,-0.0503502323820619,-0.0503338212050456,0.206188483339632,0.0194503437325925,0.203260387408758,0.0734140247498256,0.206136855927537,0.177371323919902
"ZEB1",-0.0620828660277191,0.011298288570515,-0.0815782159591024,0.0458681695327132,0.040891613613669,0.0172528806529333,-0.032995334520635,0.0469019177751789,-0.053223901175862,-0.0171479475158164,-0.0236768618936493,-0.134190335644125,-0.124114160466709,-0.0304618858597534,-0.0460827433021461
"TWIST2",-0.196824309096216,0.013556791814712,-0.204522093274076,-0.122647721609264,0.0446662858890139,0.00472190560159583,0.0300618350619606,-0.0711604762799701,-0.0711811448874337,-0.00422899926511793,0.0417268439281346,-0.135070167932555,-0.237034825284126,-0.0412451222448858,0.218670682482172
"miR200c",-0.0757299826418361,0.0155256320217037,-0.0296748910222564,-0.132307187909889,-0.063951040585278,-0.130975351222381,0.016425486075141,-0.0459791588147379,-0.0461189322152118,0.131535571966077,0.0316996283450758,0.127457401763801,0.12275339290071,0.0987116222204335,0.132939961107683
"GSC",0.0876702682820125,0.0525260311109935,0.129791258483247,-0.0360161536432125,-0.112707320838178,-0.0726835617745951,0.0480419918993576,-0.149867944270999,-0.149908234953533,0.0720822430378062,0.108281572285567,0.0364421048922267,0.0363317866682143,-0.074677066352459,0.0273675114691403
"miR34a",-0.0765439300340999,0.0881310868980013,-0.0730028366412491,0.0408109844918392,0.112374481823314,0.0555583265864297,-0.165513315787413,0.152868063626786,0.152913358824079,-0.0551900393345078,-0.0962316808552728,-0.234693504028852,-0.132220247198795,-0.0304504354625742,-0.0650154256086477
"TWIST1",-0.199627915848154,0.10664644298969,-0.292146547586913,-0.0586863756021861,0.0321652144925527,-0.0149097365267693,-0.0574704649527851,-0.00943384623377888,-0.00953937331171595,0.0148535927988258,0.0484564301837522,-0.121620316375441,-0.211480797352962,-0.0396965736337048,0.0999510993417589
