"","ZEB2","miR34a","TWIST2","ZEB1","miR200c","SNAI2","SNAI1","miR101","FOXC2","TGFbeta","GSC","miR200a","TWIST1","miR141","miR200b"
"TWIST2",-0.126952082953763,-0.089519194382304,-0.120622528974778,-0.111836073154983,0.118624188781298,-0.0766346177880843,0.0451010116100799,0.0595381296816416,-0.0600138206962609,0.0612279660296915,0.0611108229623541,-0.118624188781298,-0.117751919074115,0.111945572798779,-0.0312634718669395
"miR34a",-0.103941901859658,-0.0615104611293727,0.140230159243141,0.00109625397079276,0.00123574766663034,0.0302462975777728,0.105726220436014,0.0471429150043872,0.0537227169494819,-0.00530050201901667,-0.00534358009955448,-0.00123574766663034,-0.116785024852968,-0.00116183764187413,-0.0193852336084785
"ZEB2",-0.0900267193911285,-0.0416124447130238,-0.0296964864200568,-0.00769749666187388,-0.0044737354879236,-0.004067066656808,-0.00186373386117844,0.000877923361656053,0.0015155549989716,0.00362912465178333,0.00364434766898534,0.0044737354879236,0.00525391839743784,0.0078363502981968,0.0142965020587467
"SNAI1",-0.0846238892705043,-0.0789028999394899,-0.0641281625421844,-0.0790569561879994,0.0814692159458995,-0.0605901058064022,-0.121617354293086,0.0708539800119211,0.0149258856962666,0.040194930257232,0.0402175310986177,-0.0814692159458995,0.0388526189393391,0.0791187845771225,-0.0253157549223391
"SNAI2",-0.0378879795369184,-0.0312805857149493,-0.0147020227619742,-0.033678062467164,0.0356740167496224,-0.102752236375593,0.0297215338860733,0.0193528273046348,-0.0110472211241076,0.0211275780196828,0.0212071284315487,-0.0356740167496224,-0.0688267506441258,0.0337252864663334,-0.00433801081356875
"miR101",-0.0112198019726301,0.0387983530395545,0.0175704661470876,-0.00103681043554404,0.0054422199263375,0.050295739425203,-0.0186779908754707,-0.0846533531279421,-0.0364740950813399,0.0105866698077862,0.0106007446507638,-0.0054422199263375,0.00929099803123981,0.00113535208729307,0.00762193812170531
"GSC",-0.00948451786123758,0.0406266057834825,0.0126759186168019,-0.0413428522638849,0.0272494014593106,-0.0115099458173772,-0.0994980326681079,-0.0935273543929245,-0.0708645970830838,0.0255107166199769,0.0256489000442757,-0.0272494014593106,0.200435499145252,0.0414160633821479,0.00116834870877755
"miR200a",-0.00849655397201331,-0.101597605261481,-0.0524725467331734,-0.0124747782953538,0.010497614138018,0.0141931365846175,0.0551368604858981,0.0205794259158734,0.0338656902615092,-0.0762659787471661,-0.076780808471117,-0.010497614138018,-0.0560079804037107,0.0124942169801879,0.0597167481619864
"ZEB1",-0.0084918565184365,-0.0331108583149702,0.0775588340348405,-0.110661117603251,0.0112871979629301,0.0862991281981162,0.129677197848376,0.0207436811617501,0.110126053442979,0.00923067178874261,0.00902336485931655,-0.0112871979629301,-0.130999922230668,0.0107242777141325,0.0112265893320925
"FOXC2",-0.00838316569496283,-0.0328489786005758,0.0776195761449686,-0.0107242777141325,0.0112125361116634,0.086251162431661,0.129626637569942,0.0205671136809769,0.109998036168359,0.00902336485931655,0.00964327962103681,-0.0112125361116634,-0.13074005007582,0.0105267146808458,0.0111075724667569
"miR141",0.00849655397201331,0.101597605261481,0.0524725467331734,0.0124747782953538,-0.010497614138018,-0.0141931365846175,-0.0551368604858981,-0.0205794259158734,-0.0338656902615092,0.0762659787471661,0.076780808471117,0.010497614138018,0.0560079804037107,-0.0124942169801879,-0.0597167481619864
"miR200b",0.0113871316942435,0.0307789846269992,-0.0284566720706679,0.0217061687873113,-0.0159609522904194,-0.0690892273100807,-0.143478247004648,-0.0372577146375038,-0.0819407155720972,0.0837241910104799,0.0837038845016466,0.0159609522904194,0.162002116858837,-0.0215543619152734,-0.0385875427340008
"miR200c",0.0124457066309634,0.0799745611737542,0.0424171137735509,-0.00809709717708805,-0.00226065315779755,-0.015751870846795,-0.0576634172048291,-0.0207197849472794,-0.0338802310657854,0.0845539435519306,0.0846841441085678,0.00226065315779755,0.0586478108411304,0.00795824942827289,-0.0135214862634178
"TGFbeta",0.0304432361285766,0.110390474703657,-0.00992489526756132,0.0160552018739861,-0.0222519976650525,-0.02147850083161,-0.0962726894144843,-0.0388160772215399,-0.0441250607845581,-0.102022062903365,-0.00193333605300702,0.0222519976650525,0.106036309684288,-0.0160316694353038,-0.0693982274414802
"TWIST1",0.105741716989463,0.07794720724191,-0.0160606729641265,0.113422516605992,-0.111321938703057,-0.00949117565018251,0.0219115216890762,-0.0192542622985337,0.108386863988935,-0.0743063412979357,-0.0740951339404338,0.111321938703057,0.0428546608568978,-0.113504189897271,-0.00885311490256753
