"","miR200b","miR200c","miR34a","GSC","TGFbeta","miR141","FOXC2","TWIST1","SNAI1","miR101","ZEB1","SNAI2","TWIST2","ZEB2","miR200a"
"GSC",0.151886836123422,0.174024207691809,-0.107730984689972,0.0193591991707769,0.0194683577662276,-0.0624369848881,0.107163161152498,-0.332908380744523,0.206288568860497,0.172697749814599,0.062463517776598,0.0369036859362928,0.0747635638824754,-0.321018096154503,-0.115994917223667
"miR200a",0.0608495756544966,0.103063605812106,-0.0615481192615983,-0.0730875348699596,-0.0730457273517734,0.0425204947725841,-0.0212119704512279,-0.0252788181794722,0.0700604216655627,0.111790784842264,-0.0426139855901196,0.153384764639102,0.115050609391715,-0.253551274655505,-0.148070255979658
"SNAI1",0.0754136336430066,0.058877911825398,-0.101742371431083,0.0612198543116807,0.0611837722666615,0.0929408632309477,0.0857500618996105,-0.208045135101144,0.101430655569744,0.100273284107152,-0.0928097870460066,-0.100868004702595,0.00049147459987539,-0.23061714821538,-0.148233660246554
"miR200b",0.10761374470668,0.0899965118899371,0.112105634059573,0.153004620870191,0.153175434444495,0.0172188357878361,0.0295352288585005,0.0316652890049898,-0.079778559748249,-0.138176039334255,-0.0171558914750399,-0.195054636543033,-0.160641406238989,-0.198321416842158,-0.107705177627638
"miR200c",0.0122372613361118,0.0657981836117336,0.0424029509093065,-0.0680292991874037,-0.0678871536255704,0.0476271371125411,0.014773600299059,-0.00805976335404208,0.107373414194082,0.0736860662635671,-0.047488289363726,0.0408456441853544,-0.0130890549636863,-0.180042413491583,-0.115145894328533
"miR34a",0.0987071686883646,-0.0341495971529918,-0.0081140898633292,0.0822929035472547,0.082286229478439,0.0669793209884312,0.105238670573931,0.0840099168706004,0.0627633431752926,-0.122154739831553,-0.0668759913196052,-0.284913773177984,-0.310831626175293,-0.11350591617035,-0.12622881952797
"ZEB1",0.0127179768393983,0.035002209682589,-0.0025693724437508,0.00237046256564412,0.0020531038094857,0.00379789937568507,-0.0950538842623841,-0.0195647236328237,-0.0616863203258132,0.0467100882715193,-0.103532727164129,0.154271496356823,0.130958134012156,-0.0894313864877851,-0.0362063843096438
"FOXC2",0.0126783045509531,0.0350514054760593,-0.00278499420289607,0.00248669658346667,0.00237046256564412,0.00352985439538797,-0.095178816783399,-0.0194243329284805,-0.0615463976947975,0.0469577567512614,-0.00379789937568507,0.154206284472092,0.130921160553817,-0.089309072291342,-0.0359650355346191
"miR101",-0.0034990633919081,0.0106069680490067,0.0858500997746142,0.0125831243553618,0.01275026311572,0.0226769981193964,-0.0681009678109423,0.212817476794074,-0.197719582362958,-0.126063839745753,-0.0226023246877942,0.0467948889794257,-0.0609869374993543,-0.0404902539726828,-0.0362843624799829
"TGFbeta",0.150943264233352,0.0587567249435947,0.0488825423777749,0.184004190747518,0.0840316154103563,-0.0924671314158342,0.0197456489593506,0.0336609230793951,-0.087823255163611,-0.11609182720189,0.092669510388502,-0.144091774309419,-0.143312808309527,-0.0289924136781712,0.0327960174508034
"TWIST2",-0.0962437253695561,-0.0648076714008473,-0.0627544386738923,-0.00723252121700594,-0.00721271441818077,0.0748266735426087,0.0178681346005191,-0.338315755239341,0.23073269968052,0.196924709383057,-0.0747356437182479,0.176071209647173,0.167946740915642,0.0530045976464701,-0.0108062785601517
"SNAI2",-0.288344613614482,-0.0434823949499231,-0.00248753721414617,-0.218866236547464,-0.219080937121424,0.0284661270282636,-0.0391372862185466,-0.198123307453193,0.0577747209430608,0.342318209841497,-0.0285106716515936,0.32295208689866,0.37262626325052,0.0591040098814567,0.014541792315289
"ZEB2",-0.211212186869657,-0.193431174851702,-0.119603171447634,-0.113296105978618,-0.113202230705873,-0.111009871016881,-0.0197596366906495,-0.0154171007154178,0.0281666866209681,0.0705876959838225,0.111155692219184,0.112563664818763,0.120385480000074,0.172913471464937,0.290110034902433
"miR141",-0.0608495756544966,-0.103063605812106,0.0615481192615983,0.0730875348699596,0.0730457273517734,-0.0425204947725841,0.0212119704512279,0.0252788181794722,-0.0700604216655627,-0.111790784842264,0.0426139855901196,-0.153384764639102,-0.115050609391715,0.253551274655505,0.148070255979658
"TWIST1",-0.0223224569355107,-0.0977694082958325,0.0409206390564002,-0.0230858095643143,-0.023048380412352,-0.0167088148475631,0.0268980030051905,0.226115018873086,-0.205350986588789,-0.167641986959824,0.0168506411660682,-0.162900225714659,-0.16616152253519,0.260793748632701,0.135762593130304
