"","ZEB2","miR34a","TWIST2","miR141","ZEB1","TWIST1","miR200a","miR200b","miR200c","TGFbeta","GSC","SNAI1","miR101","FOXC2","SNAI2"
"TWIST1",-0.0900537499324021,-0.0279399381465646,0.197636088912193,-0.0299294681823974,-0.0305914107621844,0.143034862867433,0.0361080174456223,0.1150317781282,0.0549711930328098,-0.0449039220354962,0.0454479814943776,0.0176795348509245,-0.20035208471278,-0.104757051988691,-0.314272877653756
"miR34a",-0.087287858839046,-0.0734089446882002,0.00670099650599786,-0.113967725991697,-0.114026232288202,0.0165457174488972,-0.0748163708576219,0.0438395171850353,0.143771153302156,-0.0392239844320401,0.0393956900206627,0.0195697273283419,-0.00392908396621805,0.0330826805173099,0.0391229613810035
"ZEB2",-0.0849826981246995,-0.0301410090380846,-0.0272405898137781,-0.0216123819153214,-0.0215262827071355,-0.0183818864973261,-0.0176333037855537,-0.00960616327862072,-0.00101051541651394,-0.000245382251423055,0.000301199981163757,0.00727181232860607,0.0088227420857822,0.0169253050575819,0.0246514829017741
"TGFbeta",-0.0725668528482062,-0.0203084949495638,-0.151686150909459,0.0807024590160678,0.0805176509309494,-0.104112571079726,0.0773581605435418,-0.116509160404238,-0.00104995471017535,0.115500645938822,-0.215447409828607,0.017696350376002,0.0783632515877652,0.0954729654292069,0.171810615443472
"TWIST2",-0.0716989348670567,-0.0548513322036819,0.147306572646916,-0.153059820542993,-0.153396674868888,0.0977028669827261,-0.0386330164645694,0.129490338962849,0.109677667092352,-0.0671528187553209,0.06762422056736,-0.0430001848967442,-0.0781224483807883,-0.0676599792484754,-0.206061701666355
"SNAI1",-0.0594775765692887,-0.0173178403455897,0.0776053719276484,0.101656384176401,0.101661948731422,0.0565864932610062,0.0850416190607379,0.0424310082801603,-0.0168548694827096,-0.00270292640386727,0.00266763737082642,-0.0552700084779665,-0.164503663210904,0.0391130702266385,-0.182045094638034
"SNAI2",-0.0289266838083727,-0.018958000517933,-0.390204097302138,-0.0386642273880126,-0.0385975779140075,-0.205238736824899,-0.00487325851290704,-0.233409000592205,0.0333468948774354,0.206435775030591,-0.206347670810998,-0.0123118440995634,0.330045201752019,0.0672609876859521,0.340293870388641
"ZEB1",-0.0209485331570379,0.105387462257796,0.0522789781760829,0.0950976948776824,-0.00390176876264584,0.0667496255214124,0.146921793381027,-0.153947751499103,-0.128416247582178,0.068615399143777,-0.0692846678109982,0.0957755724862228,0.00833922070025562,0.104356368559423,0.110985787925684
"miR101",-0.0154864973413936,-0.0557959798998229,-0.069707441975305,-0.15966795535405,-0.160116336918237,-0.0480860432731564,-0.0708019801885572,0.0630806348069395,0.084362915972334,-0.0382271200513001,0.0388305789439618,-0.0576746112409363,0.143800825811661,-0.0615650878809877,0.130055123292779
"miR200a",-0.0117531605078265,-0.128712893671631,-0.100971966489537,-0.130400907877595,-0.131331187794656,-0.0831590731451037,-0.0572499141511611,0.0435723233238178,0.0695451166261321,0.0744449943503548,-0.0733544153759529,0.0102206156394155,0.0385956931239291,0.0513264330579043,0.086282411265919
"miR200c",-0.0100495620913881,0.140912011076027,0.11095498275867,0.143485639882148,0.144128042133333,0.0901897073829818,0.0747298433536068,-0.00362167253122729,-0.0656278031967492,-0.0780789239835475,0.0772439681203417,-0.0118889953191909,-0.0418089812341578,-0.0582875804545695,-0.0943773409265398
"miR200b",0.0117531605078265,0.128712893671631,0.100971966489537,0.130400907877595,0.131331187794656,0.0831590731451037,0.0572499141511611,-0.0435723233238178,-0.0695451166261321,-0.0744449943503548,0.0733544153759529,-0.0102206156394155,-0.0385956931239291,-0.0513264330579043,-0.086282411265919
"FOXC2",0.02117272649047,-0.104221314127885,-0.0524902550808762,-0.0937681490590773,-0.0950976948776824,-0.0679713233528241,-0.146123663978727,0.153591623514455,0.12777322962282,-0.0692846678109982,0.0709008741540546,-0.0961106813084035,-0.00836410604989479,-0.104493640094859,-0.111263342641689
"GSC",0.0265060983111309,-0.0745334509813792,0.0690821065012235,-0.0631427777648585,-0.0635260305987183,0.225793001788271,-0.0472469163408615,0.0484361197166198,0.0105589409639512,-0.0251822578404768,0.0255930222661322,0.10728585804691,-0.209938428029101,-0.138708009416639,-0.206079445084584
"miR141",0.0277602182332873,-0.0822167415146526,0.0436354665090148,-0.166123820474195,-0.166345976872299,0.0320217239354637,-0.0952309786198258,0.0835006703620804,0.068370514469047,-0.154653696026362,0.154958293658862,-0.0718003211141386,-0.0454832350642044,-0.0951056351304609,-0.161942918112087
