"","SNAI1","TGFbeta","SNAI2","TWIST1","TWIST2","miR34a","FOXC2","miR101","miR141","ZEB1","GSC","ZEB2","miR200a","miR200b","miR200c"
"miR200c",-0.213410320876197,-0.0754883212973617,-0.0458637667242909,-0.0682896312773539,0.0116644183716865,-0.00862444684813412,0.0791996441996154,0.0838858070134745,0.0241360108296603,0.0242535685903238,0.0756280778581558,-0.185658202366341,-0.106373212926816,-0.0807187889739294,-0.0805901295255968
"miR200a",-0.118792076851698,-0.0596656788152341,-0.099082774510657,-0.0602991770675647,0.10427907151543,-0.10912684535957,0.0318609292571949,0.0106510100804634,-0.00291209981128067,-0.00276214424256029,0.0598579933988909,-0.182118007746739,-0.0908047390852945,-0.0282956699777096,-0.092934913521173
"SNAI2",-0.0427872622592999,-0.164760442286399,0.0526290766435822,0.100122100683682,-0.154481377016028,-0.04345931049609,-0.0164633257974269,0.194528171269357,-0.0455622768498808,-0.0456021325654919,0.165081210076181,-0.146034220408486,-0.0506690335815707,-0.224482221730492,-0.0962673617163286
"miR101",-0.242982486090802,-0.0333288658076849,0.172039940295955,-0.198849587676567,-0.072255281249263,-0.0175921078632065,0.241738955201913,0.257254783835174,0.13686618315603,0.136904031333691,0.0331687644688155,-0.118724107771294,-0.128923370548268,-0.155777562979479,0.0119315936525767
"SNAI1",0.144569905072727,0.0765501642587533,-0.176721200856816,0.198528054643028,0.0644506808118483,0.0633430237772515,-0.239697939900106,-0.260362112365063,-0.18062942701327,-0.18062231674852,-0.0763443776503466,-0.0619901945240903,0.0645572971625143,0.101243114748796,-0.131047496933169
"GSC",-0.193159588301109,0.0278865105262835,0.0376203255402213,-0.116074304716483,0.0350071176496686,-0.110882937852697,0.0285027574814742,0.166632639568062,-0.0721747452312566,-0.0720740185249216,-0.0278896653989844,-0.0595688571228206,0.00127222336195955,-0.00647855757618988,-0.0671763918128422
"miR34a",-0.0957420162986499,0.0113259288219053,0.112503307943153,0.0259917817297361,-0.17346388164514,-0.0787599485909986,0.0907814738925713,0.106929912443313,-0.0671547965954002,-0.0671760287191316,-0.0112864911425397,-0.0337853157492485,0.0654515523092938,-0.0310858166731661,-0.0950825949187773
"TGFbeta",0.233794125365783,-0.0755382454874103,0.0396697242574754,0.123451468787353,-0.103119980371765,0.125777028985071,-0.107987514225079,-0.0980593114496256,-0.0563166665941444,-0.056476373411335,-0.0244246505569854,-0.0337399725727817,0.0171503400771262,-0.0727846425277944,-0.0461087437121046
"ZEB1",-0.133413991100155,-0.00770592270163398,0.0837999538549552,-0.00857974727417081,-0.0916078984984881,-0.00336783936445669,0.10811290477048,0.107053473351242,0.0208247700941003,-0.0791566828892124,0.00769312597759533,-0.00390415123575325,-0.0144542746943292,-0.0189155886825764,0.010861182149414
"FOXC2",-0.133279947571283,-0.00769312597759533,0.0838004927961514,-0.00857676023790819,-0.0916844863764757,-0.00325965543685786,0.108046582567966,0.10699066746882,0.0208621468841816,0.0208247700941003,0.00763224149206924,-0.00387601600896851,-0.0144340176029002,-0.0189257374075275,0.0109219534237008
"TWIST2",-0.138560572877878,-0.0751392230611395,0.221523863138403,-0.151420830172605,-0.182942709588219,0.0218541944234676,0.134649443611239,0.189700722561796,0.151537176183626,0.151462417390673,0.0749122937374568,0.0788033210300909,-0.0346395581542217,-0.0983888216334554,0.118895900551207
"ZEB2",-0.0794715284218769,-0.0737025919051401,-0.0263844086809934,-0.0206238137942213,0.003136357602852,0.0164149981686547,0.0244897029436771,0.026384287750849,0.0417505942443142,0.0417700038924024,0.0736696087012024,0.0859563092849889,0.173654961702499,0.180657382074077,0.211141407303851
"miR200b",0.118792076851698,0.0596656788152341,0.099082774510657,0.0602991770675647,-0.10427907151543,0.10912684535957,-0.0318609292571949,-0.0106510100804634,0.00291209981128067,0.00276214424256029,-0.0598579933988909,0.182118007746739,0.0908047390852945,0.0282956699777096,0.092934913521173
"miR141",-0.24274041129416,-0.133744237442734,-0.0533999112001538,-0.0768543279452525,0.0126343922340864,-0.000809617704212002,0.0897035360746068,0.0940594525528928,0.0460255217843892,0.046145856500029,0.133738264940136,0.206864121545142,0.0787137654956911,0.0753818198240503,0.127555287699623
"TWIST1",-0.189503381983864,-0.00871588892520856,-0.0646736338214311,-0.202845398980337,0.117214824363417,-0.0723404447995869,0.114435226420867,0.0463471562131555,-0.0321810753135092,-0.0320900679317994,0.00861429551273931,0.212369242103255,0.106172403552272,0.0962028875848903,0.084481806241918
