"","ZEB2","miR34a","ZEB1","miR141","SNAI2","miR200b","TGFbeta","miR101","TWIST2","GSC","TWIST1","miR200c","miR200a","SNAI1","FOXC2"
"TWIST1",-0.0986601400299581,0.170615528657955,0.208560406410066,0.207434352111588,-0.059563726105933,0.0859543106440736,0.0267356064438013,0.0820113088634399,-0.153475811665058,-0.0264228056738302,0.161549096181821,-0.0614257854280612,-0.159898511117829,-0.0694365273260266,-0.273899698280409
"miR34a",-0.0968675125906415,-0.0216517261331034,-0.0876359687523272,-0.0879214228602714,0.0673907099798054,0.0148877587812045,0.0429773541838578,-0.00233091000122483,-0.0118445389311311,-0.0425229107708604,0.0258384023228208,0.130459355122993,0.0534069380438247,-0.0365043753413431,-0.117181648971624
"ZEB2",-0.0868629055405486,-0.0840962063632378,-0.0666307967936685,-0.0655413680843106,-0.0592643089069455,-0.0575825335617023,-0.0148087332800496,0.00239157521684802,0.0104849651859072,0.0141490692012959,0.0168361704726404,0.022492361095529,0.0393869216233822,0.0541982060584453,0.0637230757087325
"TGFbeta",-0.0550684633533622,0.11225745445273,0.0980710048924695,0.0974412768333309,0.048041624976357,0.130744915177143,0.114664144357071,-0.00969176849597255,0.0276225001410705,-0.214165660779604,-0.0647750013610777,-0.018045932631,-0.0786026532157532,-0.0249825069456603,-0.0609774111427852
"miR200c",-0.0346680454611792,-0.15394983522875,-0.261526176192102,-0.260074754391155,0.0226898312932235,-0.0474285296300127,0.130657780887498,-0.00471701956522051,0.0745660124868179,-0.131502292754861,-0.105054789489821,0.1499934251221,0.114883068828858,-0.0144382849722637,-0.0422216045308656
"miR200a",-0.00940470548995061,-0.296405832450925,-0.325434673187937,-0.324700631422534,-0.104773938026688,-0.192275819136439,-0.117308425444755,0.00510786788261002,0.0785486323074158,0.117808921162471,-0.0029499442441118,0.16999294920046,0.162698264539303,0.0967133166836555,0.109196470069788
"GSC",0.00617520591928094,0.0413453591067898,-0.0488993746429765,-0.0492501983908944,-0.0878778448231188,-0.0669728704743011,-0.0181777627933487,0.159356366760534,-0.0619806512267757,0.0183020647777636,0.246878086207905,0.0117685630898018,0.0310238224586033,-0.134155144851271,-0.0659250075820539
"SNAI2",0.0200134378062113,-0.0402698990737181,-0.0595743923645538,-0.0593309040851484,-0.080519012453395,-0.0229041102523342,-0.00515204411782909,-0.01632019918434,0.0271762134941964,0.00509473360605477,-0.0907372507671402,0.0201630320313299,0.0404015993975552,0.0112473374294117,0.0309971154651437
"miR200b",0.0314996112074274,0.262922735690717,0.292221197635643,0.291243709483984,0.0846710893732738,0.126925237269213,0.0951922628755661,-0.00372001537044871,-0.0755374251743146,-0.0949019992493014,0.0099106508735479,-0.163487178067721,-0.133721230266205,-0.0782581993996988,-0.0843017478031831
"miR101",0.0330130840337064,0.210669496100912,0.285262633091007,0.28353968857098,-0.048206799279947,0.0899843010218546,-0.0191154057682217,0.117299192313175,-0.111079609941712,0.0199827679667122,0.103790731457003,-0.160872649767524,-0.130657999963866,-0.0817531940609417,-0.174554337863049
"miR141",0.0346680454611792,0.15394983522875,0.261526176192102,0.260074754391155,-0.0226898312932235,0.0474285296300127,-0.130657780887498,0.00471701956522051,-0.0745660124868179,0.131502292754861,0.105054789489821,-0.1499934251221,-0.114883068828858,0.0144382849722637,0.0422216045308656
"FOXC2",0.0512451661299344,0.364986554693533,0.402721874871794,0.400200543403741,0.117811612258083,0.285675230261332,-0.0131587544140245,-0.000896467676870473,-0.159559740561287,0.0135572710465589,0.131191151175986,-0.335294272338186,-0.292620815258079,-0.116020575755129,-0.130799994655069
"ZEB1",0.0519621701725222,0.366281031344457,0.303455735207746,0.402721874871794,0.118563435226679,0.28682941707168,-0.0138075483227838,-0.00131240852083933,-0.161141676385927,0.0131587544140245,0.13054595134326,-0.336419987847594,-0.294228070769454,-0.117542087389872,-0.130517739700184
"TWIST2",0.0609387658011831,-0.0890779348076228,-0.180327275637204,-0.180341787638189,-0.0794507009314377,-0.111095822821434,-0.0324310817409003,0.0568504463539282,-0.0522468546699263,0.0330077425409818,-0.0278065549981216,0.0614116706951269,0.123372566939821,-0.0206589005208022,0.0278381080737464
"SNAI1",0.0695913275170918,-0.169323980537909,-0.15263313905854,-0.152721862796932,0.0597008224644213,-0.0610951601384363,-0.0207966897004971,-0.118109910984932,0.101916205400726,0.0214600442204672,-0.0757128616912641,0.040488932278942,0.118082189911448,-0.0276019983739935,0.175014879990238
